characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,ARE,2006-02-28,-228,56,1,-0.132139149458182,-0.102877466792561,-0.0974309061180571
age,-1,ARE,2006-03-31,-228,57,1,0.1369002403875,0.0995254206144837,0.113379301728066
age,-1,ARE,2006-04-30,-228,58,1,0.172193079338597,0.208551649897568,0.191348312820803
age,-1,ARE,2006-05-31,-228,62,1,0.0394808395295082,0.0292303563844853,0.0328852185130773
age,-1,ARE,2006-06-30,-228,59,1,0.0482795156913793,0.0695617148570919,0.0621085549182469
age,-1,ARE,2006-07-31,-228,58,1,-0.0176952353929825,-0.0325142731802064,-0.0228269559911925
age,-1,ARE,2006-08-31,-228,61,1,-0.015887547515,-0.0577189425654402,-0.037522349065535
age,-1,ARE,2006-09-30,-228,61,1,-0.156368506431667,-0.135737765458901,-0.139498594475562
age,-1,ARE,2006-10-31,-228,60,1,-0.0227192690745763,-0.0210401600497816,-0.0147622522547573
age,-1,ARE,2006-11-30,-228,59,1,-0.0725164119103448,-0.0415621396062433,-0.048250203520594
age,-1,ARE,2006-12-31,-228,57,1,-0.0400750024446429,-0.0698779172165023,-0.0644099962012194
age,-1,ARE,2007-01-31,-228,57,1,-0.18976433735,-0.223193061221662,-0.225084033370702
age,-1,ARE,2007-02-28,-228,62,1,0.275756768198361,0.259944286839831,0.260113673006592
age,-1,ARE,2007-03-31,-228,59,1,0.270139032265517,0.315875972496611,0.319813409247459
age,-1,ARE,2007-04-30,-228,63,1,-0.02743040985,-0.00223855027331184,-0.00630606563907726
age,-1,ARE,2007-05-31,-228,65,1,0.200434864545313,0.192722710766532,0.185373671451942
age,-1,ARE,2007-06-30,-228,71,1,-0.0987208368085714,-0.0569045025875626,-0.055039143792545
age,-1,ARE,2007-07-31,-228,72,1,-0.0555760084112676,-0.0277560339136337,-0.0337938690911699
age,-1,ARE,2007-08-31,-228,73,1,-0.035267012857025,-0.0303746926343633,-0.0308026939228094
age,-1,ARE,2007-09-30,-228,71,1,-0.0634603707428571,-0.0554873573644008,-0.0546192662507795
age,-1,ARE,2007-10-31,-228,73,2,-0.0410836617570422,-0.00560845963721565,-0.00719286242029488
age,-1,ARE,2007-11-30,-228,75,2,0.174946699629452,0.276151528377375,0.267250967508762
age,-1,ARE,2007-12-31,-228,78,3,-0.051005183036,-0.042166099458979,-0.0487744353996765
age,-1,ARE,2008-01-31,-228,80,3,-0.0930537507779221,-0.0799350907399826,-0.0908180886547538
age,-1,ARE,2008-02-29,-228,76,3,-0.0293655095232877,-0.000543779423541793,-0.00794356838103489
age,-1,ARE,2008-03-31,-228,78,3,0.034958731344,-0.0479214337809868,-0.0447913080650656
age,-1,ARE,2008-04-30,-228,77,3,0.157853300876577,-0.117481240052173,-0.119332081375909
age,-1,ARE,2008-05-31,-228,78,3,0.323760672158667,0.0414865829300561,0.0317322432336503
age,-1,ARE,2008-06-30,-228,78,3,-0.061691742996,-0.048195034266559,-0.056230009253261
age,-1,ARE,2008-07-31,-228,80,3,0.0986676905030303,0.0290582457219575,0.0271507725654302
age,-1,ARE,2008-08-31,-234,79,4,0.00883070150333333,-0.0030341127579714,0.0033333290561107
age,-1,ARE,2008-09-30,-234,77,4,-0.00369889679726028,0.0139743997787924,0.0143469385762638
age,-1,ARE,2008-10-31,-234,78,4,0.062459442227027,0.0103989975530419,0.0248014675617332
age,-1,ARE,2008-11-30,-234,80,4,0.0437303899526316,-0.0502703993013688,-0.0582460937877229
age,-1,ARE,2008-12-31,-234,75,4,0.0457083169676056,-0.0514566152625815,-0.0540786426263587
age,-1,ARE,2009-01-31,-228,72,3,0.179011974485507,0.189969285523667,0.202183911368977
age,-1,ARE,2009-02-28,-228,73,3,-0.0603647808185714,-0.0703971780315788,-0.0518809905058113
age,-1,ARE,2009-03-31,-228,73,2,-0.0453309834042254,-0.0253489710996575,-0.0304189207002381
age,-1,ARE,2009-04-30,-234,77,4,-0.107246925645548,0.0042117892778019,-0.0252395041315087
age,-1,ARE,2009-05-31,-240,78,5,-0.112062492603836,-0.0673161652356857,-0.0895944579777356
age,-1,ARE,2009-06-30,-240,78,5,-0.127596885867945,0.0126644438389572,0.0178177258968887
age,-1,ARE,2009-07-31,-240,77,5,-0.0364903479502778,-0.0489201053475008,-0.0521077744219776
age,-1,ARE,2009-08-31,-240,76,5,-0.0318552657923944,-0.0902793765767199,-0.09141374028571
age,-1,ARE,2009-09-30,-240,79,5,0.0708164315794595,0.0296730352425752,0.0288093529696307
age,-1,ARE,2009-10-31,-240,83,5,0.116759869269744,0.00940830700797974,0.00470338553501639
age,-1,ARE,2009-11-30,-240,78,5,-0.0445079172763973,-0.0190656629489507,-0.0199394875453197
age,-1,ARE,2009-12-31,-240,73,5,-0.0960895825970588,-0.0912121115918166,-0.0789621021795041
age,-1,ARE,2010-01-31,-234,71,4,-0.0787265675208955,-0.0704764249503013,-0.0618005413252052
age,-1,ARE,2010-02-28,-234,69,4,-0.0572291651946154,-0.0922880323393855,-0.080679947792
age,-1,ARE,2010-03-31,-234,71,4,0.0258098187191791,-0.0240146333921396,-0.0416994948632165
age,-1,ARE,2010-04-30,-234,69,4,-0.118784549023846,-0.13812976749441,-0.139724323641226
age,-1,ARE,2010-05-31,-234,71,4,-0.0773311937417911,-0.117950072346784,-0.105274657375499
age,-1,ARE,2010-06-30,-234,75,4,0.0550640947098592,0.0208911325991031,0.0290731256457939
age,-1,ARE,2010-07-31,-234,70,4,-0.078627288669697,-0.0764781490532294,-0.084867494365413
age,-1,ARE,2010-08-31,-234,69,4,-0.0113094046346154,-0.0201261423161733,-0.0180305668299412
age,-1,ARE,2010-09-30,-234,71,4,-0.072462242663806,-0.0642956776106925,-0.069368544917596
age,-1,ARE,2010-10-31,-234,72,4,0.136250219402941,0.00422499803859568,0.0033966963713406
age,-1,ARE,2010-11-30,-234,75,4,-0.0544069977390845,-0.053192495604193,-0.0523051722275812
age,-1,ARE,2010-12-31,-234,76,4,-0.066630358575,-0.0216926271208178,-0.0233342288330554
age,-1,ARE,2011-01-31,-240,75,3,-0.034810306189125,-0.054494407713129,-0.0541657192991201
age,-1,ARE,2011-02-28,-240,73,3,-0.0954549938157143,-0.0867179836170761,-0.076043969823877
age,-1,ARE,2011-03-31,-234,72,4,0.00954264812500001,-0.0223339918299721,-0.0346112988814582
age,-1,ARE,2011-04-30,-234,75,4,0.0395919057869718,0.0495033328421551,0.0373418081015122
age,-1,ARE,2011-05-31,-240,78,5,-0.0302561956019178,-0.00165793358818242,0.00163731879408561
age,-1,ARE,2011-06-30,-240,77,5,-0.0673717779085167,-0.0993069117648384,-0.0907210479375232
age,-1,ARE,2011-07-31,-234,69,4,0.0217183358726923,-0.0068882687570831,-0.0129727096722004
age,-1,ARE,2011-08-31,-234,70,4,-0.0515485761878788,-0.0124454044301851,-0.00997844973753893
age,-1,ARE,2011-09-30,-234,76,4,-0.0439258781666667,-0.0426272481831328,-0.0357515680685613
age,-1,ARE,2011-10-31,-234,74,4,-0.0158891174788286,-0.0209131929718766,-0.0244052471709464
age,-1,ARE,2011-11-30,-240,73,3,0.0582260895928143,0.0522631289884738,0.0533751360968408
age,-1,ARE,2011-12-31,-240,74,3,0.133220209165462,0.0929105398435108,0.0870023103496865
age,-1,ARE,2012-01-31,-240,71,3,0.208589909255392,0.265495411312277,0.265358050944654
age,-1,ARE,2012-02-29,-234,76,4,0.0918539052666666,0.322100935823876,0.306420395589019
age,-1,ARE,2012-03-31,-234,77,4,0.398201287082534,0.12625208188191,0.123747673716585
age,-1,ARE,2012-04-30,-234,78,4,0.0529241952810811,0.0284499335410249,0.0267126469630066
age,-1,ARE,2012-05-31,-240,78,3,-0.0222200424746667,-0.0401525669163676,-0.034845115206366
age,-1,ARE,2012-06-30,-264,75,2,-0.0388618645328767,-0.0647958917119446,-0.0594688699641801
age,-1,ARE,2012-07-31,-264,71,2,0.0491119907403044,0.115200986822424,0.114634370102966
age,-1,ARE,2012-08-31,-264,70,2,0.0638309178117647,0.0543768159369735,0.0564167021840928
age,-1,ARE,2012-09-30,-264,71,2,-0.00752984092246377,-0.0250527585703282,-0.0266696682617915
age,-1,ARE,2012-10-31,-264,74,2,-0.107138358256111,-0.0693198742957863,-0.0711703057486133
age,-1,ARE,2012-11-30,-264,73,2,0.35701755280493,-0.0404082974430692,-0.0373435851559906
age,-1,ARE,2012-12-31,-264,74,2,-0.0106673560111111,0.0823101965581999,0.0713169548586828
age,-1,ARE,2013-01-31,-228,78,3,0.0620461064533334,-0.0704278848034394,-0.0771001834062068
age,-1,ARE,2013-02-28,-228,81,3,-0.127010762325641,-0.101714949032852,-0.101500208260622
age,-1,ARE,2013-03-31,-228,79,3,-0.0373693954776316,-0.0415255432362163,-0.0408279485566668
age,-1,ARE,2013-04-30,-264,74,2,0.818611143406944,0.15045477609835,0.146408229983854
age,-1,ARE,2013-05-31,-264,75,2,0.0727770275862192,0.0217430457587284,0.0172764197153349
age,-1,ARE,2013-06-30,-264,82,2,-0.101784013481163,-0.097728355246642,-0.0993986038551299
