characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,ARG,1988-09-30,-48,41,18,0.125762737124396,-0.355601250247945,-0.057603830325306
age,-1,ARG,1988-10-31,-48,41,18,0.0518262067731884,-0.0063574170905702,0.0573371252584253
age,-1,ARG,1988-11-30,-48,41,18,0.163759529943237,0.853999976858649,0.43978285886911
age,-1,ARG,1989-07-31,-48,47,20,0.145483813372407,0.504082877173411,0.305249138447959
age,-1,ARG,1989-09-30,-48,44,18,0.131957453698291,0.708798018937952,0.265384414674183
age,-1,ARG,1989-10-31,-48,45,19,0.0996858809858299,0.290187399050696,0.0901554744133278
age,-1,ARG,1989-11-30,-48,44,18,-0.00337400931623932,0.0112050635197636,0.0108611905855972
age,-1,ARG,1989-12-31,-48,37,12,-0.08567610337,0.111126522447189,0.0609719860368645
age,-1,ARG,1990-04-30,-48,42,16,0.448013702317788,1.57881179072725,1.3292248033522
age,-1,ARG,1990-05-31,-48,42,16,0.0920801058701923,-0.27581066332428,-0.230583988210192
age,-1,ARG,1990-06-30,-48,38,13,0.0277926507710769,0.163996137970006,0.152271729672764
age,-1,ARG,1990-07-31,-48,38,13,-0.0332887488670769,-0.126088517057832,-0.0902732950890636
age,-1,ARG,1990-08-31,-48,40,15,-0.0705039659013333,-0.101033418035315,-0.0984007157413865
age,-1,ARG,1990-10-31,-48,34,11,-0.0431725250632411,0.0147506671670677,0.0147506671670677
age,-1,ARG,1990-11-30,-48,38,13,-0.0397080952061538,-0.0489177933917045,-0.0489177933917045
age,-1,ARG,1990-12-31,-48,37,13,-0.10451915194359,-0.119978274697306,-0.119978274697306
age,-1,ARG,1991-01-31,-48,36,12,-0.219391421020833,-0.273024164540056,-0.273024164540056
age,-1,ARG,1991-04-30,-48,43,17,0.191442742622624,0.110340047060389,0.0819856629732675
age,-1,ARG,1991-05-31,-48,44,18,0.0647582261029915,0.0504341159991806,0.054616307871645
age,-1,ARG,1991-06-30,-48,39,15,0.03151784143,0.010383011418623,0.010383011418623
age,-1,ARG,1991-07-31,-48,39,15,-0.0376121646016667,-0.0915662271664594,-0.0915662271664594
