characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,BGD,2010-07-31,-300,229,15,0.00300792469866043,0.0431078405363157,0.0431078405363157
age,-1,BGD,2010-08-31,-300,231,16,0.0140331464853488,0.191386552737735,0.191386552737735
age,-1,BGD,2010-09-30,-300,233,16,0.092169726347379,0.165964289244914,0.165964289244914
age,-1,BGD,2010-10-31,-288,219,9,-0.122136246945397,-0.0687510423884353,-0.0687510423884353
age,-1,BGD,2010-11-30,-282,216,8,0.146674374747596,0.0825067357159695,0.0825067357159695
age,-1,BGD,2010-12-31,-282,219,8,0.00696131199893364,-0.0343873481533013,-0.0343873481533013
age,-1,BGD,2011-01-31,-282,220,8,-0.00428884618018868,-0.0238364164677442,-0.0238364164677442
age,-1,BGD,2011-02-28,-294,230,10,-0.0286906774227273,-0.0322222379387682,-0.0322222379387682
age,-1,BGD,2011-09-30,-294,230,10,0.0249081731077273,-0.0199036978915325,-0.0199036978915325
age,-1,BGD,2011-10-31,-294,230,10,-0.0263266303481818,-0.0650336961974447,-0.0650336961974447
age,-1,BGD,2015-09-30,-300,286,13,-0.00893497977948718,0.020403669556727,0.020403669556727
age,-1,BGD,2015-10-31,-300,287,13,-0.0345009359758563,-0.0425807100618099,-0.0425807100618099
age,-1,BGD,2015-11-30,-300,288,13,-0.0520064150727273,-0.0469997348674085,-0.0469997348674085
age,-1,BGD,2015-12-31,-300,289,13,-0.0519619470877369,-0.0369153786978584,-0.0369153786978584
age,-1,BGD,2016-01-31,-300,290,13,0.062905610255679,0.1182875634593,0.1182875634593
age,-1,BGD,2016-02-29,-300,291,13,-0.0302480808525457,-0.0651438490814058,-0.0651438490814058
age,-1,BGD,2016-03-31,-300,290,13,-0.0304067064388781,0.00208459610711286,0.00208459610711286
age,-1,BGD,2016-04-30,-300,286,13,-0.0321775930794872,-0.134734027221333,-0.134734027221333
age,-1,BGD,2016-06-30,-300,289,13,-0.00737362252761984,-0.0213999882088558,-0.0213999882088558
age,-1,BGD,2016-07-31,-300,290,13,0.00640318398222716,-0.0478504195747454,-0.0478504195747454
age,-1,BGD,2016-08-31,-300,291,13,0.046635775194964,-0.0110595592063759,-0.0110595592063759
age,-1,BGD,2016-11-30,-300,292,13,0.000196550541797638,0.0129990573539711,0.0129990573539711
age,-1,BGD,2017-08-31,-300,295,13,-0.0144818181455265,-0.0247908208479995,-0.0247908208479995
age,-1,BGD,2020-02-29,-300,318,14,-0.070416307287453,0.00403523508292911,0.00403523508292911
age,-1,BGD,2020-03-31,-300,318,14,0.0251399189692669,0.0131254130344526,0.0131254130344526
age,-1,BGD,2020-06-30,-300,288,10,0.0314445219030216,0.0053073946858046,0.0053073946858046
age,-1,BGD,2020-07-31,-300,317,13,0.0129994561816549,-0.0403819060888211,-0.0403819060888211
age,-1,BGD,2020-08-31,-300,319,14,0.391721092360586,0.11428168326162,0.11428168326162
age,-1,BGD,2020-09-30,-300,320,14,0.0465727169608777,0.161111607519175,0.161111607519175
age,-1,BGD,2020-10-31,-300,319,13,-0.12396040525636,-0.116595670182212,-0.116595670182212
age,-1,BGD,2020-11-30,-300,320,13,-0.0381842405736601,-0.0136926492915515,-0.0136926492915515
