characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,BHR,2007-10-31,-192,27,1,-0.0846566947076923,-0.0722869058987583,-0.0722869058987583
age,-1,BHR,2007-11-30,-192,29,1,0.0780643890107143,0.0646040569037394,0.0646040569037394
age,-1,BHR,2007-12-31,-192,31,1,-0.03209400878,-0.044177093653135,-0.044177093653135
age,-1,BHR,2008-01-31,-192,30,1,-0.0501391588344828,-0.0347149337384295,-0.0347149337384295
age,-1,BHR,2008-02-29,-192,30,1,-0.0913423096068965,-0.0556493464616801,-0.0556493464616801
age,-1,BHR,2008-06-30,-144,31,1,0.0896836616666667,0.10123467346535,0.10123467346535
age,-1,BHR,2008-07-31,-144,31,1,0.0881722520633333,0.106974592191832,0.106974592191832
age,-1,BHR,2008-08-31,-144,29,1,0.125826990371429,0.141830094025951,0.141830094025951
age,-1,BHR,2008-09-30,-168,31,2,0.0334311667275862,0.0569816927925226,0.0569816927925226
age,-1,BHR,2009-05-31,-192,21,1,-0.040497763785,-0.0237046718529963,-0.0237046718529963
at_be,-1,BHR,2007-10-31,-9.6356832961,24,4,-0.02020491602,-0.0294461673580098,-0.0294461673580098
at_be,-1,BHR,2007-11-30,-10.8565720379,26,4,0.0197734944454546,-0.0307884248658409,-0.0307884248658409
at_be,-1,BHR,2007-12-31,-10.7091648453,28,4,-0.0594124950083334,-0.0329300880218608,-0.0329300880218608
at_be,-1,BHR,2008-01-31,-10.8286775733,27,4,0.0905116653,0.105006766506591,0.105006766506591
at_be,-1,BHR,2008-02-29,-10.4294269939,27,4,0.0665181003565218,0.082942996795619,0.082942996795619
at_be,-1,BHR,2008-03-31,-10.7300284919,27,4,0.100352620721739,0.0858626596206095,0.0858626596206095
at_be,-1,BHR,2008-04-30,-10.5797277429,26,4,-0.0531910361545455,-0.00991595767068074,-0.00991595767068074
at_be,-1,BHR,2008-05-31,-8.35236859605,24,4,0.04436040076,-0.00175597976687397,-0.00175597976687397
at_be,-1,BHR,2008-06-30,-8.35236859605,24,4,0.03225701256,0.0234242316729501,0.0234242316729501
at_be,-1,BHR,2008-07-31,-8.1997147803,24,4,0.020407215595,-0.00147439238696365,-0.00147439238696365
at_be,-1,BHR,2008-08-31,-9.7235748902,21,4,-0.0243578989058824,-0.0274980101947403,-0.0274980101947403
at_be,-1,BHR,2008-09-30,-9.7235748902,23,4,0.0203025607710526,0.0297234819440279,0.0297234819440279
at_be,-1,BHR,2008-12-31,-8.3183212019,17,4,0.0266744261066923,0.0751410177214521,0.0751410177214521
at_be,-1,BHR,2009-01-31,-8.2736522739,18,4,0.0606809462857143,0.133907616201724,0.133907616201724
at_be,-1,BHR,2009-04-30,-8.40606064795,17,4,0.0796767699115385,0.0168465026863526,0.0168465026863526
at_be,-1,BHR,2009-05-31,-9.4182157832,16,4,0.03136103895,-0.0151705515386091,-0.0151705515386091
at_be,-1,BHR,2009-06-30,-8.45205762505,16,4,0.0156547904666667,0.0239239085821345,0.0239239085821345
at_be,-1,BHR,2009-07-31,-8.59982815805,17,4,0.0995313434538462,0.103396879363517,0.103396879363517
at_be,-1,BHR,2009-08-31,-9.7735090328,19,4,-0.0700441605,-0.111715872745322,-0.111715872745322
at_gr1,-1,BHR,2007-10-31,-0.3793857671,19,5,0.0444148451385714,0.0178091276357098,0.0178091276357098
at_gr1,-1,BHR,2007-11-30,-0.32762428275,21,4,-0.0825770929602941,-0.0655493970518061,-0.0655493970518061
at_gr1,-1,BHR,2007-12-31,-0.32900320125,23,5,-0.0263914055444445,-0.00951478037625499,-0.00951478037625499
at_gr1,-1,BHR,2008-04-30,-0.274214369,22,5,-0.0623729937294118,-0.0779823446877655,-0.0779823446877655
at_gr1,-1,BHR,2008-05-31,-0.4201329321,13,5,0.0429754375975,0.0536332039813341,0.0536332039813341
at_gr1,-1,BHR,2008-06-30,-0.4201329321,13,5,0.0188360926,0.00559038672211511,0.00559038672211511
at_gr1,-1,BHR,2008-07-31,-0.53585989085,21,5,-0.01978278075875,-0.0103062105472216,-0.0103062105472216
at_gr1,-1,BHR,2008-08-31,-0.4640310567,22,5,0.03326219548,0.0127773859413679,0.0127773859413679
at_gr1,-1,BHR,2008-09-30,-0.47773134545,25,5,0.031730223595,-0.0221742555307919,-0.0221742555307919
at_gr1,-1,BHR,2008-12-31,-0.33115504615,15,7,0.0610644904645,0.0843731032621724,0.0843731032621724
at_gr1,-1,BHR,2009-01-31,-0.2057338178,16,7,0.0435028308666667,0.0455303836238261,0.0455303836238261
at_gr1,-1,BHR,2009-04-30,-0.4826822912,15,4,-0.104074795806818,-0.0589729097119323,-0.0589729097119323
at_gr1,-1,BHR,2009-05-31,-0.4701554132,13,5,-0.1378855189575,0.0397068737535836,0.0397068737535836
at_gr1,-1,BHR,2009-06-30,-0.3853053754,12,5,-0.0194469642171429,0.00384930102646981,0.00384930102646981
at_gr1,-1,BHR,2009-07-31,-0.3763420522,13,5,0.0920376461525,0.0680198256642806,0.0680198256642806
at_gr1,-1,BHR,2009-08-31,-0.3127428281,16,5,-0.0819025071581818,-0.103379439910876,-0.103379439910876
at_me,1,BHR,2007-10-31,3.8992713761,23,5,0.0344714268888889,0.0497569798414357,0.0497569798414357
at_me,1,BHR,2007-11-30,4.10467886375,24,4,0.063551752645,0.0655318024130607,0.0655318024130607
at_me,1,BHR,2007-12-31,4.22511116865,27,5,0.0565123839118182,0.0283953048870321,0.0283953048870321
at_me,1,BHR,2008-01-31,3.7554047691,25,5,-0.08791707616,-0.0999229250931938,-0.0999229250931938
at_me,1,BHR,2008-02-29,4.37988093675,25,5,-0.05770816739,-0.0832794632425754,-0.0832794632425754
at_me,1,BHR,2008-03-31,4.1323431124,26,5,-0.0750392200657143,-0.0852260580731368,-0.0852260580731368
at_me,1,BHR,2008-04-30,4.25462953865,25,5,0.019766202705,0.00580019742774651,0.00580019742774651
at_me,1,BHR,2008-05-31,4.5226505513,24,5,-0.0221284970336842,0.0293981541503602,0.0293981541503602
at_me,1,BHR,2008-06-30,4.3007732201,24,5,-0.0347396119568421,-0.032975780314678,-0.032975780314678
at_me,1,BHR,2008-07-31,4.4079057829,24,5,-0.00427942659789474,0.0268677110088118,0.0268677110088118
at_me,1,BHR,2008-08-31,4.6952653225,22,5,0.0314531133058824,0.03772796047308,0.03772796047308
at_me,1,BHR,2008-09-30,4.2443937775,22,5,-0.0129049604764706,-0.0417172938503988,-0.0417172938503988
at_me,1,BHR,2008-12-31,4.6605844133,17,4,-0.109759924510538,-0.142722414827351,-0.142722414827351
at_me,1,BHR,2009-01-31,4.7538296233,18,5,-0.0818567747476923,-0.183187602084178,-0.183187602084178
at_me,1,BHR,2009-04-30,7.58437987965,16,4,0.0187901620916667,0.0864353373712989,0.0864353373712989
at_me,1,BHR,2009-05-31,7.97907181425,16,4,0.0100546870916667,0.0634840618752876,0.0634840618752876
at_me,1,BHR,2009-06-30,6.62106429865,16,4,-0.03010980995,-0.0724441784075337,-0.0724441784075337
at_me,1,BHR,2009-07-31,7.1802247508,18,5,-0.113041173695385,-0.129642637543608,-0.129642637543608
at_me,1,BHR,2009-08-31,9.8286303558,18,4,0.0612382445785714,0.10368358161685,0.10368358161685
at_turnover,1,BHR,2007-10-31,0.20837974805,21,5,0.08242966937625,0.0713358329465654,0.0713358329465654
at_turnover,1,BHR,2007-11-30,0.35295184825,20,4,0.03414459966875,0.0618337359697049,0.0618337359697049
at_turnover,1,BHR,2007-12-31,0.2503182482,22,4,-0.0528346204361111,-0.0822182553985511,-0.0822182553985511
at_turnover,1,BHR,2008-01-31,0.18602440835,25,4,0.00415013680238096,0.0211555045363682,0.0211555045363682
at_turnover,1,BHR,2008-02-29,0.1754424279,26,5,0.0124489648314286,-0.0436578142916421,-0.0436578142916421
at_turnover,1,BHR,2008-03-31,0.1763796473,26,6,0.0315784546716667,0.0323086726530197,0.0323086726530197
at_turnover,1,BHR,2008-04-30,0.17515307315,25,6,-0.0487443563122807,-0.000749012179456237,-0.000749012179456237
at_turnover,1,BHR,2008-05-31,0.1951514397,26,6,0.01786453013,0.0318568321156979,0.0318568321156979
at_turnover,1,BHR,2008-06-30,0.1951514397,26,6,0.0349755670466667,0.0509852057378307,0.0509852057378307
at_turnover,1,BHR,2008-07-31,0.2004350832,26,7,-0.00464812289172932,-0.0268444328129338,-0.0268444328129338
at_turnover,1,BHR,2008-08-31,0.2149158339,24,7,-0.00124913285042017,-0.00857164313323736,-0.00857164313323736
at_turnover,1,BHR,2008-09-30,0.2149158339,26,7,0.00297903849097744,0.0450890498575592,0.0450890498575592
at_turnover,1,BHR,2008-12-31,0.2815451948,18,4,0.0136187796794286,0.066727093030155,0.066727093030155
at_turnover,1,BHR,2009-01-31,0.4690752212,17,3,0.0324104773833333,0.109349545682254,0.109349545682254
at_turnover,1,BHR,2009-04-30,0.4807556853,17,5,0.079289842575,0.0401631554933945,0.0401631554933945
at_turnover,1,BHR,2009-05-31,0.2870972185,15,5,0.0407002714,-0.0170654780854187,-0.0170654780854187
at_turnover,1,BHR,2009-06-30,0.42654812975,14,4,0.01372989177,0.0260309489548186,0.0260309489548186
at_turnover,1,BHR,2009-07-31,0.3491043451,16,4,-0.0132968731416667,-0.0054673795452409,-0.0054673795452409
at_turnover,1,BHR,2009-08-31,0.3033016024,17,4,-0.00242824374038462,-0.0730350536766981,-0.0730350536766981
be_gr1a,-1,BHR,2007-10-31,-0.092234297,17,7,-0.0306360846528571,-0.0677931672168229,-0.0677931672168229
be_gr1a,-1,BHR,2007-11-30,-0.0642098185,19,7,0.019629667997619,0.0448387578631661,0.0448387578631661
be_gr1a,-1,BHR,2007-12-31,-0.07041216785,21,7,0.0521294897214286,0.0726608316720078,0.0726608316720078
be_gr1a,-1,BHR,2008-04-30,-0.05369441305,24,8,-0.03976694980625,-0.0150841996148417,-0.0150841996148417
be_gr1a,-1,BHR,2008-05-31,-0.08392460795,21,6,-0.0384827140666667,-0.0446581681947103,-0.0446581681947103
be_gr1a,-1,BHR,2008-06-30,-0.08392460795,21,6,-0.0228962653233333,-0.0151310981132347,-0.0151310981132347
be_gr1a,-1,BHR,2008-07-31,-0.1590495237,20,7,-0.0104153136868132,0.00632424104970775,0.00632424104970775
