characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,BRA,1994-09-30,-48,15,1,0.0547774724071429,0.0186540248275906,0.01689377107582
age,-1,BRA,1994-10-31,-48,14,1,-0.0688402889076923,-0.0908691331909768,-0.0964778418890401
age,-1,BRA,1994-11-30,-48,13,1,-0.035460603225,-0.00310284196812618,-0.00306925250705582
age,-1,BRA,1994-12-31,-48,13,1,0.0597963785416667,0.0740066148898121,0.0656459601597023
age,-1,BRA,1995-01-31,-48,12,1,-0.001410192,0.0316166839522238,0.0357432865751336
age,-1,BRA,1995-02-28,-84,13,2,0.744696805172727,0.218698301135312,0.220986191028344
age,-1,BRA,1995-03-31,-48,14,1,0.0892181339384615,0.122236737052039,0.12468025122113
age,-1,BRA,1995-04-30,-48,13,1,-0.206003588633333,-0.267011060820891,-0.260182164678318
age,-1,BRA,1995-05-31,-48,13,1,-0.0278503655083333,0.00906209810405565,0.00019116889499185
age,-1,BRA,1995-06-30,-48,13,1,-0.0637836331,-0.0732054954160652,-0.0755923616968131
age,-1,BRA,1995-07-31,-48,13,1,-0.276308364208333,-0.257318226068849,-0.253985559627716
age,-1,BRA,1995-08-31,-48,13,1,-0.00125033220833333,0.0114322618732208,0.00842211302328196
age,-1,BRA,1995-09-30,-48,14,1,-0.288567721353846,-0.305692291172525,-0.305106356906425
age,-1,BRA,1995-10-31,-48,14,1,-0.214997968692308,-0.192935479774575,-0.197778483947947
age,-1,BRA,1995-11-30,-48,13,1,0.711256776066667,0.701405564377152,0.701910475443355
age,-1,BRA,1995-12-31,-48,13,1,-0.12188249965,-0.151937310773854,-0.15192912787526
age,-1,BRA,1996-01-31,-48,16,1,0.0393115690133333,0.0116293488684709,0.00893028181287112
age,-1,BRA,1996-02-29,-48,15,1,0.381161094578571,0.399828496999588,0.398941187871836
age,-1,BRA,1996-03-31,-48,15,1,-0.0880965121428572,-0.108991120993697,-0.108892982726924
age,-1,BRA,1996-04-30,-48,15,1,-0.100395347528571,-0.0975309456450272,-0.0987830772047018
age,-1,BRA,1996-05-31,-48,15,1,-0.2735901442,-0.257320700350616,-0.257168154707281
age,-1,BRA,1996-06-30,-48,16,1,-0.18970523106,-0.185478491184421,-0.187326108440332
age,-1,BRA,1996-07-31,-48,16,1,-0.221516406666667,-0.243303567072576,-0.243303567072576
age,-1,BRA,1996-08-31,-48,15,1,-0.16865654665,-0.177555351047243,-0.177555351047243
age,-1,BRA,1996-09-30,-48,15,1,0.103199198957143,0.101019763764383,0.101019763764383
age,-1,BRA,1996-10-31,-48,16,1,-0.372758859533333,-0.433866359221514,-0.433866359221514
age,-1,BRA,1996-11-30,-48,16,1,0.47714732126,0.481863183382922,0.481261395914734
age,-1,BRA,1996-12-31,-48,16,1,0.140630925186667,0.123454539321081,0.123454539321081
age,-1,BRA,1997-01-31,-48,16,1,-0.0390197340533333,-0.0252242180214197,-0.0260813196494647
age,-1,BRA,1997-02-28,-48,22,1,-0.343717442838095,-0.371707956473163,-0.372009742747388
age,-1,BRA,1997-03-31,-96,24,2,0.550780657727273,-0.037988826640341,-0.0371548647262869
age,-1,BRA,1997-04-30,-96,23,2,-0.0649681170809524,-0.0203029250188707,-0.0213511788612254
age,-1,BRA,1997-05-31,-96,24,2,-0.0100021419681818,-0.0519550576824271,-0.0462020695628054
age,-1,BRA,1997-06-30,-96,24,2,-0.161848789940909,-0.0781849528867655,-0.0829740658101549
age,-1,BRA,1997-07-31,-96,24,2,-0.28380029305,-0.107520229544972,-0.105574921383509
age,-1,BRA,1997-08-31,-96,25,2,0.00538583838913043,-0.0922496243544771,-0.101485025026119
age,-1,BRA,1997-09-30,-96,27,2,0.91213906467,0.195921561613462,0.193577530931607
age,-1,BRA,1997-10-31,-96,26,2,0.0618932122166666,-0.0336424817929566,-0.041477659860787
age,-1,BRA,1997-11-30,-96,25,2,-0.340918098813043,-0.300143487210989,-0.290100582406507
age,-1,BRA,1997-12-31,-144,24,1,-0.213859234756522,-0.249532406190432,-0.247666019766712
age,-1,BRA,1998-01-31,-144,24,1,0.0945796284086956,0.175571076472765,0.167458264909346
age,-1,BRA,1998-02-28,-96,24,2,0.201690266931818,-0.0465958805439684,-0.0451683999038369
age,-1,BRA,1998-03-31,-96,24,2,0.378261449672727,0.358720508997402,0.359473644330523
age,-1,BRA,1998-04-30,-96,27,2,0.145288101822,0.0587208312728609,0.0551997932823143
age,-1,BRA,1998-05-31,-96,27,2,0.0447154195,0.00393172439526354,0.0011617638380069
age,-1,BRA,1998-06-30,-96,26,2,0.3006461869,0.0513618996895784,0.0493334038229031
age,-1,BRA,1998-07-31,-96,26,2,-0.1435014800375,-0.268349393738172,-0.268349393738172
age,-1,BRA,1998-08-31,-96,26,2,-0.0452134268041667,0.109915938120833,0.109915938120833
age,-1,BRA,1998-09-30,-96,25,2,0.745002935867391,-0.253399126798559,-0.253399126798559
age,-1,BRA,1998-10-31,-144,24,1,-0.196340497691304,-0.2204719287438,-0.2204719287438
age,-1,BRA,1998-11-30,-144,24,1,-0.540390478378261,-0.605958851293629,-0.605958851293629
age,-1,BRA,1998-12-31,-144,25,1,0.667889520608333,0.76472416642105,0.76472416642105
age,-1,BRA,1999-01-31,-144,26,1,0.2330762912,0.265095046559372,0.265095046559372
age,-1,BRA,1999-02-28,-144,24,1,0.128636409178261,0.0703925634451473,0.0703925634451473
age,-1,BRA,1999-03-31,-144,25,1,-0.241733415420833,-0.167794647663901,-0.167794647663901
age,-1,BRA,1999-04-30,-144,26,1,-0.341916235064,-0.383744339428274,-0.383744339428274
age,-1,BRA,1999-05-31,-144,26,1,0.318646457872,0.348772658872633,0.348772658872633
age,-1,BRA,1999-06-30,-144,26,1,-0.037267483852,-0.0697496928907199,-0.0697496928907199
age,-1,BRA,1999-07-31,-144,28,1,-0.13089428127037,-0.0300246679467143,-0.0491065444271886
age,-1,BRA,1999-08-31,-144,28,1,-0.115965731918519,-0.146409479713622,-0.132803546662417
age,-1,BRA,1999-09-30,-144,27,1,-0.0857224673807692,-0.0292786299611889,-0.043221739708549
age,-1,BRA,1999-10-31,-144,25,1,0.12830588015,0.123581265261185,0.128686271517825
