characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,COL,1993-01-31,-48,14,2,0.00877256276666667,0.031483547518283,0.0261696642295853
age,-1,COL,1993-02-28,-48,20,3,0.00402678261176471,0.0563742994506259,0.00226644572773312
age,-1,COL,1993-03-31,-48,20,3,0.00545597137647059,0.306669843829844,0.153678511408515
age,-1,COL,1993-04-30,-48,20,3,-0.0519407365745098,0.176615753723778,0.0542907386894559
age,-1,COL,1993-05-31,-48,20,3,0.0177956422803922,0.294730222146455,0.191871779224777
age,-1,COL,1993-06-30,-48,19,3,-0.0845794647666667,-0.026559811527996,-0.026559811527996
age,-1,COL,1993-07-31,-48,19,3,-0.0993948376041667,0.0317103586265805,0.0317103586265805
age,-1,COL,1993-08-31,-48,20,3,0.155029069492157,0.200357950408234,0.122157456016022
age,-1,COL,1993-09-30,-48,20,3,-0.0255929821294118,-0.76071652015811,-0.401489030645049
age,-1,COL,1993-10-31,-48,20,3,-0.0495154902764706,0.0936241310997674,0.0198356744562117
age,-1,COL,1993-11-30,-48,19,3,0.0744325838916667,0.0241793099937257,0.0241793099937257
age,-1,COL,1993-12-31,-48,19,3,-0.185469485710417,-0.135790969330898,-0.135790969330898
age,-1,COL,1994-01-31,-48,18,3,-0.111828724886667,0.0216240529101181,0.0216240529101181
age,-1,COL,1994-02-28,-48,19,3,0.000149114414583346,-0.0185343571362922,-0.0185343571362922
age,-1,COL,1994-03-31,-48,18,3,-0.0509417408466667,0.0528356776579384,0.0528356776579384
age,-1,COL,1994-04-30,-66,17,2,-0.04196784118,-0.0545089600211176,-0.0545089600211176
age,-1,COL,1994-05-31,-66,19,2,-0.00984572174117647,-0.00641912839042585,-0.00641912839042585
age,-1,COL,1994-06-30,-48,17,1,-0.0841704687375,-0.100706433509234,-0.100706433509234
age,-1,COL,1994-07-31,-48,18,2,-0.07583266506875,-0.00320817063216884,-0.00320817063216884
age,-1,COL,1994-08-31,-48,19,2,0.00845924468823529,0.0103291100849768,0.0103291100849768
age,-1,COL,1994-09-30,-48,20,2,-0.0182995951055556,-0.0117131018568667,-0.0117131018568667
age,-1,COL,1994-10-31,-48,21,2,0.0296773577105263,0.0941454237844548,0.0941454237844548
age,-1,COL,1994-11-30,-48,19,3,-0.04757590686875,0.0479092694481529,0.0479092694481529
age,-1,COL,1994-12-31,-48,19,3,0.02510671830625,-0.102812240895042,-0.102812240895042
age,-1,COL,1995-01-31,-48,21,3,-0.136218346905556,-0.0327238547170286,-0.0327238547170286
age,-1,COL,1995-02-28,-48,19,3,0.00487878338125,0.102764657372499,0.102764657372499
age,-1,COL,1995-03-31,-48,17,2,0.0351655404666667,0.0187270973840725,0.0187270973840725
age,-1,COL,1995-04-30,-48,18,1,0.0623523297176471,0.0390563424550306,0.0390563424550306
age,-1,COL,1995-05-31,-84,16,1,-0.134893519906667,-0.115990822266072,-0.115990822266072
age,-1,COL,1995-06-30,-66,18,2,-0.000351803999999997,0.0222145885871511,0.0222145885871511
age,-1,COL,1995-07-31,-66,20,2,0.0957997529722222,0.16971498930183,0.16971498930183
age,-1,COL,1995-08-31,-48,19,1,-0.0308012543055556,-0.0426334153037705,-0.0426334153037705
