characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,CYP,1999-12-31,-168,38,7,0.0129362860562212,-0.136037799180148,-0.125404858087132
age,-1,CYP,2000-01-31,-168,37,7,0.0300523370614286,-0.0868473584971624,-0.0854552036963039
age,-1,CYP,2001-01-31,-192,71,17,0.0177033716765795,-0.0531801917490417,-0.0531801917490417
beta_dimson_21d,-1,CYP,1999-12-31,-1.64342403,22,7,-0.0574445922523809,0.0183537489492378,0.0183537489492378
betadown_252d,-1,CYP,2000-01-31,-0.27387241,14,7,0.0504934104285714,0.0622493417330469,0.0690850312399987
chcsho_12m,-1,CYP,1999-12-31,-0.39509680795,29,10,0.0134124044447368,-0.076731892002011,-0.0614504436656352
chcsho_12m,-1,CYP,2000-01-31,-0.4419211922,27,8,0.0333025086572369,0.0833188762931669,0.0894688667892491
coskew_21d,-1,CYP,1999-12-31,-0.808357575,26,12,-0.026390122722619,0.0990585964625701,0.0990585964625701
eqnpo_12m,1,CYP,1999-12-31,0.3339766622,29,9,0.00393193771166669,-0.0285931580144183,-0.0158977816366715
eqnpo_12m,1,CYP,2000-01-31,0.347573603,26,7,0.018999181456391,0.0495601466653857,0.0539453259016329
iskew_capm_21d,-1,CYP,1999-12-31,-1.39247764,20,6,0.0678180510404762,0.0258097095992885,0.0258097095992885
ivol_capm_21d,-1,CYP,1999-12-31,-0.058302305,21,5,-0.12853103803875,-0.00166981487059797,-0.00166981487059797
ivol_capm_252d,-1,CYP,1999-12-31,-0.031251205,16,8,0.01097493075,0.13101233519137,0.121622139460873
ivol_capm_252d,-1,CYP,2000-01-31,-0.027911035,21,9,0.127092204725,0.192205531221246,0.200756873551448
market_equity,-1,CYP,1999-12-31,-963.764585925,33,6,0.10697914827037,-0.0318995554013955,-0.0214873641825375
market_equity,-1,CYP,2000-01-31,-996.3575806105,33,5,-0.00551745257500003,-0.105265915199988,-0.109469327216386
market_equity,-1,CYP,2001-01-31,-1220.279826769,67,4,0.0718052006222222,0.0451890323562503,0.0451890323562503
mispricing_perf,1,CYP,1999-12-31,0.62195121955,28,8,-0.08929469453,-0.127468376040549,-0.113555071907432
mispricing_perf,1,CYP,2000-01-31,0.6621621622,25,10,-0.0536551648466667,-0.15762059540282,-0.149240957537977
prc,-1,CYP,1999-12-31,-15.96713597,27,11,0.07290095046875,-0.0982764109444442,-0.0889672412880803
prc,-1,CYP,2000-01-31,-12.5420838984,28,11,-0.137349824750802,-0.208160315474876,-0.215736456706667
prc,-1,CYP,2001-01-31,-3.7083388792,54,13,0.119909230429831,0.0839855678457889,0.0839855678457889
prc_highprc_252d,1,CYP,1999-12-31,0.14558025,20,7,0.035817225043956,-0.0222080797192159,-0.00684796653440911
prc_highprc_252d,1,CYP,2000-01-31,0.280825115,18,8,0.0614025411950001,0.187798032221209,0.193843974678661
ret_12_1,1,CYP,1999-12-31,8.34112319485,28,8,-0.08929469453,-0.127468376040549,-0.113555071907432
ret_12_1,1,CYP,2000-01-31,11.1098883544,25,10,-0.0536551648466667,-0.15762059540282,-0.149240957537977
ret_12_7,1,CYP,1999-12-31,0.48376001195,19,9,0.123315032996667,0.127578571411762,0.120785177492984
ret_12_7,1,CYP,2000-01-31,0.9521960353,22,8,0.144513160432143,0.217320339263412,0.225814533935971
ret_1_0,-1,CYP,1999-12-31,-0.9208386283,30,9,0.0385803671047619,0.0823390836173295,0.0743122775710117
ret_1_0,-1,CYP,2000-01-31,-0.2570341755,27,12,-0.051825879925,-0.192113929300991,-0.197903686905489
ret_3_1,1,CYP,1999-12-31,1.02181252135,21,7,-0.180277490371429,-0.189179516410932,-0.184642729473573
ret_3_1,1,CYP,2000-01-31,2.7087681945,24,8,-0.2066434920625,-0.241491385530297,-0.252093498280313
ret_6_1,1,CYP,1999-12-31,6.6411586654,19,6,-0.142707108794872,-0.179415633386216,-0.167385763662968
ret_6_1,1,CYP,2000-01-31,6.0049055815,26,11,-0.1283963342,-0.213051472084051,-0.223841318689719
ret_9_1,1,CYP,1999-12-31,13.05810099355,25,7,-0.145309315807143,-0.129036432450836,-0.115242890874376
ret_9_1,1,CYP,2000-01-31,10.7921490285,24,10,-0.0660016973857143,-0.194204045769903,-0.201521252837603
rmax1_21d,-1,CYP,1999-12-31,-0.166054925,24,10,-0.08621039111,0.0341583606155939,0.0341583606155939
rmax5_21d,-1,CYP,1999-12-31,-0.109291985,25,7,-0.156999767915079,-0.0340481278747651,-0.0340481278747651
rmax5_rvol_21d,-1,CYP,1999-12-31,-0.9095872448,16,5,-0.128268832490909,-0.102749582363046,-0.102749582363046
rskew_21d,-1,CYP,1999-12-31,-0.637301835,29,12,-0.0223908765799019,-0.0181162430813149,-0.0181162430813149
rvol_21d,-1,CYP,1999-12-31,-0.065804455,21,7,-0.101054616271429,0.0154240004424034,0.0154240004424034
seas_1_1an,1,CYP,1999-12-31,0.0954850691,25,11,0.102164380492208,0.19646507329311,0.190440894311114
seas_1_1an,1,CYP,2000-01-31,0.1539131224,31,13,-0.112978322023504,0.0372500226534359,0.0213241572269425
seas_1_1na,1,CYP,1999-12-31,0.1948643398,20,8,-0.0722770363166667,-0.13224806704932,-0.124747926904437
seas_1_1na,1,CYP,2000-01-31,0.17154962175,22,10,-0.0241835651366667,-0.155789924460394,-0.163346151034539
