characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,CZE,1995-09-30,-132,177,75,-0.0510134528366667,-0.00153904128740563,-0.00153904128740563
age,-1,CZE,1995-10-31,-132,177,72,-0.0272246771417857,0.0163419350838449,0.0163613169486453
age,-1,CZE,1995-11-30,-132,178,70,0.0251509671122487,-0.0200265617381446,-0.0204841222887341
age,-1,CZE,1995-12-31,-132,174,71,0.00420735206413236,-0.0247033316686165,-0.0247033316686165
age,-1,CZE,1996-01-31,-132,169,69,0.000218701187217393,-0.00203231320183829,-0.00203231320183829
age,-1,CZE,1996-02-29,-132,165,68,-0.0647777215875986,-0.0660921644783544,-0.0661515322186003
age,-1,CZE,1996-03-31,-132,175,73,-0.0226615396726296,-0.0821085049260778,-0.0815987332584489
age,-1,CZE,1996-04-30,-132,185,77,-0.095209746725469,-0.132205308550967,-0.131416588905909
age,-1,CZE,1996-05-31,-132,181,77,-0.0630533594930944,-0.131064442381782,-0.134159885090074
age,-1,CZE,1996-06-30,-132,181,79,-0.0937076845092827,-0.0257679101180858,-0.0255813656852225
age,-1,CZE,1996-07-31,-132,180,79,-0.0273670884633413,-0.11650847648503,-0.116922618033624
age,-1,CZE,1996-08-31,-132,192,79,0.0185127406179344,0.0653248411246325,0.064984015749043
age,-1,CZE,1996-09-30,-132,193,79,-0.000605695104985565,0.0105778857212589,0.0103908980668588
age,-1,CZE,1996-10-31,-132,190,78,-0.00273866818559981,0.0976806964208315,0.0960609712482682
age,-1,CZE,1996-11-30,-132,188,77,-0.0588911435680473,-0.0518562553939379,-0.0512066369648569
age,-1,CZE,1996-12-31,-132,187,76,-0.0547193450972025,-0.0249867717436697,-0.024103254416704
age,-1,CZE,1997-01-31,-132,194,77,-0.00685346638927739,0.0768754904692506,0.0750427169564221
age,-1,CZE,1997-02-28,-132,199,77,-0.0198522446022035,-0.178500460652235,-0.177322637499855
age,-1,CZE,1997-03-31,-132,198,76,-0.036985023230673,-0.0436180967080825,-0.0439883993718764
