characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,EGY,1997-07-31,-156,16,1,0.00246764285333333,0.00551374828609225,0.00551374828609225
age,-1,EGY,1997-08-31,-156,16,1,-0.0520859902666667,-0.0572592896094406,-0.0572592896094406
age,-1,EGY,1997-09-30,-156,16,1,0.02658517516,0.0106368228966495,0.0106368228966495
age,-1,EGY,1997-10-31,-156,16,1,0.0415123125,0.0342084269176996,0.0342084269176996
age,-1,EGY,1997-11-30,-156,17,1,-0.0528538654625,-0.0529036053292737,-0.0529036053292737
age,-1,EGY,1997-12-31,-156,21,1,0.102238409085,0.0956590766992614,0.0956590766992614
age,-1,EGY,1998-01-31,-156,21,1,0.077052816235,0.0812410556228496,0.0812410556228496
age,-1,EGY,1998-02-28,-156,21,1,-0.0048908198,-0.00243648968539167,-0.00243648968539167
age,-1,EGY,1998-03-31,-156,22,1,-0.0148643248095238,-0.0142828583221654,-0.0142828583221654
age,-1,EGY,1998-04-30,-156,23,1,0.215417554618182,0.222284841026224,0.222284841026224
age,-1,EGY,1998-05-31,-156,23,1,0.0209108227863636,0.0165714123608663,0.0165714123608663
age,-1,EGY,1998-06-30,-156,22,1,0.156036451338095,0.145235418797446,0.145235418797446
age,-1,EGY,1998-07-31,-156,21,1,-0.000399469975,-0.0116641019761867,-0.0116641019761867
age,-1,EGY,1998-08-31,-156,21,1,0.107211315095,0.125330214408361,0.125330214408361
age,-1,EGY,1998-09-30,-156,21,1,-0.006442910505,-0.00567926338976834,-0.00567926338976834
age,-1,EGY,1998-10-31,-162,24,2,0.112364073563636,0.235214916459119,0.235214916459119
age,-1,EGY,1998-11-30,-156,22,1,0.12003288072381,0.110581485171125,0.110581485171125
age,-1,EGY,1998-12-31,-168,52,3,0.00827319082721088,0.0500813082381003,0.0500813082381003
age,-1,EGY,1999-01-31,-168,54,3,-0.166762955676471,-0.270246350889662,-0.270246350889662
age,-1,EGY,1999-02-28,-168,58,3,0.0801084449157576,0.0163372601596787,0.0187207995676832
age,-1,EGY,1999-03-31,-168,58,3,0.132383907934545,0.181144911745755,0.185566327916607
age,-1,EGY,1999-04-30,-168,56,3,0.0390090343157233,-0.0603774288542097,-0.0549865412491432
age,-1,EGY,1999-05-31,-168,56,3,-0.00853065133710691,-0.0670993643847299,-0.0698548740838979
age,-1,EGY,1999-06-30,-168,55,3,0.0023244757576923,-0.00140056632002661,-0.00557216915010736
age,-1,EGY,1999-07-31,-162,50,2,0.0687972651958333,0.0798188468208669,0.078627682011949
age,-1,EGY,1999-08-31,-156,46,1,0.0728710999,0.0554202983335606,0.0554202983335606
age,-1,EGY,1999-09-30,-156,44,1,-0.106807797111628,-0.138603214982874,-0.138584003273053
age,-1,EGY,1999-10-31,-156,45,1,-0.0235114944113636,-0.0488070398048703,-0.0508093062909973
age,-1,EGY,1999-11-30,-156,44,1,-0.139149882772093,-0.199520384251773,-0.201120123214636
age,-1,EGY,1999-12-31,-156,43,1,-0.160116689833333,-0.220216086652753,-0.226444845773443
age,-1,EGY,2000-01-31,-162,50,2,0.200113343029167,0.303848444299013,0.306414799469735
age,-1,EGY,2000-02-29,-162,52,2,0.092592616116,0.132033768466212,0.134986300950858
age,-1,EGY,2000-03-31,-162,52,2,-0.068290913416,-0.0848433820543409,-0.0826015650977047
age,-1,EGY,2000-04-30,-168,51,1,-0.018884932568,0.0334335659109278,0.0298086469143413
age,-1,EGY,2000-05-31,-168,53,1,0.0390007675769231,-0.0117418236794721,-0.0117418236794721
age,-1,EGY,2000-06-30,-168,56,1,0.0455750380272727,0.0902119559733721,0.0902119559733721
age,-1,EGY,2000-07-31,-186,71,6,0.00362887128769231,-0.025588552063338,-0.025588552063338
age,-1,EGY,2000-08-31,-186,73,6,-0.132354637937065,-0.19833016332204,-0.19833016332204
age,-1,EGY,2000-09-30,-180,72,6,-0.0347213039651515,-0.0116521002810715,-0.0116521002810715
age,-1,EGY,2000-10-31,-180,69,5,0.0864757896190625,0.251205388678091,0.251205388678091
age,-1,EGY,2000-11-30,-180,67,5,-0.0695024690464516,-0.144369850654608,-0.144369850654608
age,-1,EGY,2000-12-31,-180,70,5,0.0799621987230769,0.0904775035390169,0.0904775035390169
age,-1,EGY,2001-01-31,-180,68,5,0.253790942953968,0.150989496146108,0.150989496146108
age,-1,EGY,2001-02-28,-186,70,8,-0.0471058142193549,0.0214242223543444,0.0214242223543444
age,-1,EGY,2001-03-31,-180,76,7,-0.0990451390169772,-0.00188283339009318,-0.00188283339009318
age,-1,EGY,2001-04-30,-180,76,6,-0.0855705585119048,-0.185229700664458,-0.185229700664458
age,-1,EGY,2001-05-31,-180,78,7,-0.0262203571937626,-0.0722065280560964,-0.0722065280560964
age,-1,EGY,2001-10-31,-180,80,6,-0.0161814234216216,0.00838700495803531,0.00838700495803531
age,-1,EGY,2001-11-30,-180,78,6,0.0239493216111111,0.0155346733118366,0.0155346733118366
age,-1,EGY,2005-02-28,-186,80,2,0.236609532967949,0.294482643576645,0.294482643576645
age,-1,EGY,2005-03-31,-192,96,3,0.0963391753064516,-0.0584534840280823,-0.0583228365394571
age,-1,EGY,2005-04-30,-192,94,3,0.065672105052381,0.0607262104293223,0.0625424849083516
age,-1,EGY,2005-05-31,-186,92,2,-0.143946468436667,-0.209692229191879,-0.204604902829452
age,-1,EGY,2005-06-30,-186,94,2,-0.061371426525,-0.112542387311381,-0.109818143329471
age,-1,EGY,2005-07-31,-186,96,2,-0.0880467735904255,-0.0675129969356662,-0.071011302971397
age,-1,EGY,2005-08-31,-192,95,3,0.0695262499192029,0.137762521700591,0.132882697916991
age,-1,EGY,2005-09-30,-186,97,2,-0.04761857231,-0.013714158418363,-0.0202720566275649
age,-1,EGY,2005-10-31,-186,102,2,0.135121835207,0.135329249591347,0.134865442961857
age,-1,EGY,2005-11-30,-186,103,2,-0.252505431713861,-0.181556927641656,-0.180818690842977
age,-1,EGY,2005-12-31,-186,103,2,0.0937292901069307,0.168291889882996,0.162518332599867
age,-1,EGY,2006-01-31,-186,104,2,0.0900839530421569,0.0729985992708829,0.0746472408945442
age,-1,EGY,2006-02-28,-186,105,2,-0.189231470648544,-0.219591402001892,-0.219187251365886
age,-1,EGY,2006-03-31,-204,105,3,0.266663196245098,0.424760770563171,0.424323967047976
age,-1,EGY,2006-04-30,-222,109,4,-0.102926691545238,-0.167483441764127,-0.168393451152069
