characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,HRV,2007-07-31,-276,98,49,-0.0289068518081633,-0.00504622493647607,-0.00504622493647607
age,-1,HRV,2007-08-31,-276,98,49,-0.00500243203061225,0.00405930632744409,0.00405930632744409
age,-1,HRV,2007-09-30,-276,97,48,-0.0255681881477466,-0.0163859072789382,-0.0163859072789382
age,-1,HRV,2007-10-31,-276,97,47,0.0190345464553192,0.0402302971645524,0.0402302971645524
age,-1,HRV,2007-11-30,-264,128,58,-0.0118873519703941,-0.00928154366152468,-0.00928154366152468
age,-1,HRV,2007-12-31,-264,127,57,-0.0201378460388221,-0.0622966191433701,-0.0622966191433701
age,-1,HRV,2008-01-31,-264,128,57,-0.0349312117164319,-0.0379060783351325,-0.0379060783351325
age,-1,HRV,2008-02-29,-264,130,59,0.0191821816323705,-0.0134865371484609,-0.0134865371484609
age,-1,HRV,2008-03-31,-252,125,56,-0.0248364230846532,-0.038705469165089,-0.038705469165089
age,-1,HRV,2008-04-30,-252,123,56,0.0108652151763593,-0.00535272645911284,-0.00535272645911284
age,-1,HRV,2008-05-31,-252,124,55,0.00685372816801055,-0.0188651384852124,-0.0188651384852124
age,-1,HRV,2008-06-30,-252,123,53,-0.0212532187944744,-0.0283152764323269,-0.0283152764323269
age,-1,HRV,2008-07-31,-240,116,46,0.0103551196099379,-0.0579935221800758,-0.0579935221800758
age,-1,HRV,2008-08-31,-240,115,47,-0.0203593150841051,-0.0296598986084274,-0.0296598986084274
age,-1,HRV,2008-09-30,-240,116,50,0.0111903904308485,-0.0506550940245927,-0.0506550940245927
age,-1,HRV,2008-10-31,-240,116,49,0.0124104074023454,-0.0231807303353257,-0.0231807303353257
age,-1,HRV,2008-11-30,-252,115,47,0.0126058329230914,-0.0678832869489305,-0.0678832869489305
age,-1,HRV,2008-12-31,-240,108,41,-0.0374797420919913,-0.0180589811794528,-0.0180589811794528
age,-1,HRV,2009-01-31,-240,106,42,-0.00140235539910713,0.0102388904914677,0.0102388904914677
age,-1,HRV,2009-02-28,-252,101,39,-0.0428683862550869,-0.104122234154693,-0.104122234154693
age,-1,HRV,2009-03-31,-252,102,40,0.0323880308169355,-0.00566791485356397,-0.00566791485356397
age,-1,HRV,2009-04-30,-246,105,42,-0.0991119962103175,0.317823216237854,0.317823216237854
age,-1,HRV,2009-05-31,-246,109,44,0.100810023256853,-0.0910707947804045,-0.0910707947804045
age,-1,HRV,2020-04-30,-264,84,37,-0.0592079089247844,0.0750495896128008,0.0750495896128008
age,-1,HRV,2020-05-31,-240,75,30,-0.00395796561,-0.0117517375137311,-0.0117517375137311
age,-1,HRV,2020-06-30,-240,63,21,-0.0147117906714286,-0.0198709720012721,-0.0198709720012721
age,-1,HRV,2020-11-30,-264,61,19,-0.0875823386597744,-0.0209334027932748,-0.0209334027932748
age,-1,HRV,2022-05-31,-270,63,20,0.00154879703011628,0.00112041736169782,0.00112041736169782
aliq_at,-1,HRV,2007-11-30,-0.2940190954,55,26,0.0155212335064987,0.0323179022069766,0.0323179022069766
aliq_at,-1,HRV,2007-12-31,-0.3142710124,48,18,-0.0880061449011111,-0.137187673553463,-0.137187673553463
aliq_at,-1,HRV,2008-01-31,-0.287512077,55,27,0.0595283930103175,0.128445051816562,0.128445051816562
aliq_at,-1,HRV,2008-02-29,-0.3271943795,43,18,-0.00102998979155555,-0.0607608431122137,-0.0607608431122137
aliq_at,-1,HRV,2008-03-31,-0.3213375575,46,21,-0.0369979338110476,-0.0317136826457717,-0.0317136826457717
aliq_at,-1,HRV,2008-04-30,-0.2855099203,47,18,0.0496668389775862,0.0145879951210159,0.0145879951210159
aliq_at,-1,HRV,2008-05-31,-0.36363644365,51,22,-0.0224356225365204,0.0223788480345553,0.0223788480345553
aliq_at,-1,HRV,2008-06-30,-0.4158910821,51,22,0.0439501917829154,0.129506033110406,0.129506033110406
aliq_at,-1,HRV,2008-07-31,-0.35040888315,49,24,-0.0278207867618333,-0.0112700556032953,-0.0112700556032953
