characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,HUN,2000-09-30,-156,44,11,-0.0703455573515152,-0.00696221746730247,-0.013026288276749
age,-1,HUN,2000-10-31,-156,43,11,0.00346577479431819,-0.0865650949578638,-0.0870712141212001
age,-1,HUN,2000-11-30,-156,44,12,0.169049825336458,0.167211396104292,0.167211396104292
age,-1,HUN,2000-12-31,-156,44,12,-0.147449595176042,-0.200868160755073,-0.200868160755073
age,-1,HUN,2001-01-31,-156,46,12,0.0482691431921569,-0.0643009999146743,-0.0643009999146743
beta_dimson_21d,-1,HUN,2000-10-31,-0.896568685,23,6,0.063837647304902,0.0763857467564891,0.0763857467564891
beta_dimson_21d,-1,HUN,2000-11-30,-1.4881086,13,6,0.00299906086666668,0.075913910670336,0.075913910670336
coskew_21d,-1,HUN,2000-10-31,-0.4190002,24,9,-0.0582188839222222,-0.0832533553937307,-0.0832533553937307
coskew_21d,-1,HUN,2000-11-30,-0.507663665,21,7,-0.0137454040928571,0.143750024041371,0.143750024041371
dolvol_126d,-1,HUN,2001-01-31,-8209185.39830775,27,5,-0.0502294979118182,-0.186576599504297,-0.186576599504297
dolvol_var_126d,-1,HUN,2001-01-31,-1.47201657,17,6,0.0402016747772727,0.137895348055105,0.137895348055105
iskew_capm_21d,-1,HUN,2000-10-31,-1.319540905,21,4,0.0156405067426471,-0.0601650500473697,-0.0601650500473697
iskew_capm_21d,-1,HUN,2000-11-30,-1.04287452,25,11,0.0186568176753247,0.0947579306525062,0.0947579306525062
ivol_capm_21d,-1,HUN,2000-10-31,-0.025823575,19,7,-0.140413351565476,-0.245741216731481,-0.245792587498563
ivol_capm_21d,-1,HUN,2000-11-30,-0.02622337,12,5,0.00428376890571429,-0.075781098690346,-0.075781098690346
market_equity,-1,HUN,2000-09-30,-1399.879217143,41,4,-0.0446808415581081,0.0451179105408913,0.0376961234704079
market_equity,-1,HUN,2000-10-31,-1504.244231169,40,4,0.0515021546305556,0.0548173118577935,0.0548640042518296
market_equity,-1,HUN,2000-11-30,-1385.994497887,41,4,0.0911369421067568,0.0994658352279629,0.0994658352279629
market_equity,-1,HUN,2000-12-31,-1247.653811689,41,4,-0.139482427497973,-0.153273854823877,-0.153273854823877
market_equity,-1,HUN,2001-01-31,-1591.345662139,43,4,-0.0795576816,-0.159266902594386,-0.159266902594386
prc,-1,HUN,2000-09-30,-45.6447548822,35,4,0.00847882935,-0.0102113344783425,-0.00104855061429779
prc,-1,HUN,2000-10-31,-45.4475317052,34,4,0.05546624244,0.0410434607111741,0.0419132234029824
prc,-1,HUN,2000-11-30,-41.5138297185,38,5,-0.01686690208,-0.170541230624454,-0.170541230624454
prc,-1,HUN,2000-12-31,-42.192402282,38,5,-0.0976687872769697,-0.0359406302150643,-0.0359406302150643
prc,-1,HUN,2001-01-31,-54.4095631728,35,4,0.14819364595,0.147030283398768,0.147030283398768
ret_1_0,-1,HUN,2000-10-31,-0.1703643981,33,9,-0.00816915849861111,-0.0877457472346761,-0.0873742814458855
ret_1_0,-1,HUN,2000-11-30,-0.1645605014,33,16,-0.0102111475113971,-0.0661812153106666,-0.0661812153106666
ret_1_0,-1,HUN,2000-12-31,-0.26591390615,30,6,0.3595523192,0.01065099595261,0.01065099595261
ret_1_0,-1,HUN,2001-01-31,-0.3152263658,32,9,0.159984789533816,-0.0151171595028303,-0.0151171595028303
ret_3_1,1,HUN,2000-11-30,0.2900338728,31,9,-0.12501026490101,0.105227025025123,0.105227025025123
ret_3_1,1,HUN,2000-12-31,0.1962004322,25,11,-0.134260006068831,-0.0657746862628076,-0.0657746862628076
ret_3_1,1,HUN,2001-01-31,0.2156337875,37,14,-0.000269267286645961,-0.192316684649893,-0.192316684649893
ret_6_1,1,HUN,2000-11-30,0.3692102377,30,12,-0.0507863581944444,0.142324873169011,0.142324873169011
ret_6_1,1,HUN,2000-12-31,0.261114259,36,15,0.0680883937314286,-0.0640728264469912,-0.0640728264469912
ret_6_1,1,HUN,2001-01-31,0.2749658165,37,14,0.0186602236891304,-0.0308243467193903,-0.0308243467193903
ret_9_1,1,HUN,2000-11-30,0.4649285522,37,17,0.0233714338261765,0.160348989514424,0.160348989514424
ret_9_1,1,HUN,2000-12-31,0.385436089,32,14,0.107416141963492,-0.0448214335787822,-0.0448214335787822
ret_9_1,1,HUN,2001-01-31,0.462168113,31,12,-0.0563881420570175,-0.109936076641638,-0.109936076641638
rmax1_21d,-1,HUN,2000-10-31,-0.06891739,19,7,-0.126490617577381,-0.249725721962576,-0.249536939626172
rmax1_21d,-1,HUN,2000-11-30,-0.06886287,15,4,0.0844582168522727,0.0712398812778569,0.0712398812778569
rmax5_21d,-1,HUN,2000-10-31,-0.02364398,24,9,-0.0701513003977778,-0.0959512462374468,-0.0959747143978346
rmax5_21d,-1,HUN,2000-11-30,-0.04081058,21,5,0.055055800245,0.0734502632828472,0.0734502632828472
rskew_21d,-1,HUN,2000-10-31,-1.29842486,20,5,-0.0318824689,-0.148437479481641,-0.148561933698232
rskew_21d,-1,HUN,2000-11-30,-1.00395206,24,10,0.0539155994657143,0.139889563705472,0.139889563705472
rvol_21d,-1,HUN,2000-10-31,-0.031307895,21,6,-0.13195030052,-0.250712517372108,-0.250712517372108
rvol_21d,-1,HUN,2000-11-30,-0.02299453,22,5,0.0889005214611765,0.071368219109199,0.071368219109199
turnover_126d,-1,HUN,2001-01-31,-0.0099358,23,10,-0.103494745757692,-0.202463909452849,-0.202463909452849
turnover_var_126d,-1,HUN,2001-01-31,-1.44767162,20,8,0.000919886829166662,0.136650755138571,0.136650755138571
zero_trades_126d,1,HUN,2001-01-31,0.00505871,23,9,-0.0940836089595238,-0.034231450605466,-0.034231450605466
zero_trades_21d,1,HUN,2000-10-31,0.0062265,19,9,0.02996666406,-0.0688094683922266,-0.0688094683922266
zero_trades_21d,1,HUN,2000-11-30,0.004513045,20,6,0.0799589798261905,0.0968547077781607,0.0968547077781607
