characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,IRN,2002-05-31,-216,24,12,0.0152718983666667,0.0510926187779689,0.0510926187779689
age,-1,IRN,2002-06-30,-216,26,12,-0.046044316827381,0.0367266081217747,0.0367266081217747
age,-1,IRN,2002-07-31,-216,26,12,0.0723620091547619,0.0302066767320158,0.0302066767320158
age,-1,IRN,2002-08-31,-216,27,12,-0.0453978235466667,0.00268712686308151,0.00268712686308151
age,-1,IRN,2002-09-30,-216,26,12,0.0573812344952381,0.0518018465377093,0.0518018465377093
age,-1,IRN,2003-01-31,-216,31,15,-0.130534334297917,-0.315000729891555,-0.315000729891555
market_equity,-1,IRN,2002-05-31,-1955.240507105,20,4,0.02888761946875,0.0237662388616327,0.0237662388616327
market_equity,-1,IRN,2002-06-30,-1822.166518125,22,4,0.0406441128972222,0.0482305895735354,0.0482305895735354
market_equity,-1,IRN,2002-07-31,-1487.29648763,22,5,0.0161336045211765,0.0410823559382123,0.0410823559382123
market_equity,-1,IRN,2002-08-31,-1601.9723097,22,5,-0.0821804802305882,-0.0623089453924404,-0.0623089453924404
market_equity,-1,IRN,2002-09-30,-1552.49146026,21,5,-0.00280734557500006,-0.00219908920957124,-0.00219908920957124
market_equity,-1,IRN,2003-01-31,-432.537127915,27,4,0.346781945383696,0.306658453424261,0.306658453424261
prc,-1,IRN,2002-05-31,-4.7904691554,17,6,-0.0298406765015152,0.00882514364138095,0.00882514364138095
prc,-1,IRN,2002-06-30,-7.68850901245,16,6,0.0155631454133333,0.0396364877644489,0.0396364877644489
prc,-1,IRN,2002-07-31,-6.2034996913,18,6,0.0660081939166667,0.0615163913969161,0.0615163913969161
prc,-1,IRN,2002-08-31,-4.5003704812,19,6,0.0650995293038462,0.0553747207562212,0.0553747207562212
prc,-1,IRN,2002-09-30,-4.4391586428,17,6,0.128404767228788,0.101919317534827,0.101919317534827
prc,-1,IRN,2003-01-31,-2.8037059962,20,8,0.00201397540416667,-0.0184471170217852,-0.0184471170217852
ret_1_0,-1,IRN,2002-06-30,-0.10452356195,15,7,0.0297706553839286,-0.0577505208020886,-0.0577505208020886
ret_1_0,-1,IRN,2002-07-31,-0.1714191945,19,9,0.0338335381311111,-0.0580082496860393,-0.0580082496860393
ret_1_0,-1,IRN,2002-08-31,-0.22476332535,13,6,-0.0512944940428571,-0.0937944216554537,-0.0937944216554537
ret_1_0,-1,IRN,2002-09-30,-0.1287072899,20,7,-0.124584595585714,-0.0992008417198796,-0.0992008417198796
ret_3_1,1,IRN,2002-08-31,0.1465714271,13,6,0.0185209315904762,0.0412681380347702,0.0412681380347702
ret_3_1,1,IRN,2002-09-30,0.2940406641,18,7,0.00168785236363633,0.00895973247494497,0.00895973247494497
