characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,ISL,2006-09-30,-228,20,4,-0.09844715041875,-0.0909543091958,-0.0909543091958
age,-1,ISL,2006-10-31,-228,21,4,-0.0420500216573529,0.040474537144021,0.040474537144021
age,-1,ISL,2006-11-30,-228,21,4,-0.127606885405882,-0.106856039710955,-0.106856039710955
age,-1,ISL,2007-04-30,-228,23,4,-0.0499175745578947,-0.0228979324550724,-0.0223437520267327
age,-1,ISL,2007-05-31,-228,23,4,0.0212693187171053,0.0979888137380596,0.0960987884288119
age,-1,ISL,2007-06-30,-228,23,4,-0.0751363602263158,-0.0649097559548953,-0.0650124487204293
age,-1,ISL,2007-07-31,-228,22,4,-0.0570025913277778,-0.0338163585281614,-0.0308645769794027
age,-1,ISL,2007-08-31,-228,20,4,-0.0605376177375,0.0206734964662064,0.0194923635685147
age,-1,ISL,2007-09-30,-228,19,3,-0.0683952757604167,-0.00601304276396175,-0.00875378055235773
age,-1,ISL,2007-10-31,-228,20,3,-0.0683066271960784,0.0224033232484115,0.0227453022301816
age,-1,ISL,2007-11-30,-228,21,3,0.00617097517777777,0.0414812311205277,0.0403841312634439
age,-1,ISL,2007-12-31,-228,21,3,-0.0685405348833333,0.0257443961822526,0.027344402849619
age,-1,ISL,2008-01-31,-228,23,3,0.217814654533333,0.0662952558771854,0.0670353082635219
age,-1,ISL,2008-02-29,-228,21,3,-0.0707686199444445,0.0163695657533247,0.0163695657533247
age,-1,ISL,2008-03-31,-228,20,3,-0.111123725798039,-0.212828531646324,-0.212828531646324
age,-1,ISL,2008-04-30,-228,22,4,-0.0101879853416667,-0.0756691250366255,-0.0756691250366255
age,-1,ISL,2008-05-31,-228,21,4,0.0407607702558824,0.0154027461568158,0.0154027461568158
age,-1,ISL,2021-12-31,-402,25,4,0.101294731359524,0.0281262901495546,0.0281262901495546
age,-1,ISL,2022-01-31,-402,26,4,0.0789897554,0.0313677645651689,0.0313677645651689
age,-1,ISL,2022-02-28,-402,26,4,-0.0823495895431818,0.0145586661931285,0.0145586661931285
age,-1,ISL,2022-03-31,-402,26,4,0.00255372141363636,-0.0286975835316674,-0.0286975835316674
age,-1,ISL,2022-04-30,-402,26,4,0.0105147885159091,0.028501468323796,0.028501468323796
age,-1,ISL,2022-05-31,-402,26,4,-0.05332636335,-0.0997138502209015,-0.0997138502209015
age,-1,ISL,2022-06-30,-402,26,4,-0.0378276756318182,-0.0419124847281117,-0.0419124847281117
age,-1,ISL,2022-07-31,-408,28,6,-0.0371021863151515,-0.0159649090662377,-0.0159649090662377
age,-1,ISL,2022-08-31,-408,28,6,0.0111293935,0.0327563005087199,0.0327563005087199
age,-1,ISL,2022-09-30,-408,28,6,-0.0462324969166667,0.0386806122055312,0.0386806122055312
age,-1,ISL,2022-10-31,-408,28,6,-0.0134725007166667,-0.0452350478875809,-0.0452350478875809
age,-1,ISL,2022-11-30,-408,28,6,0.0253507058545455,-0.0349859580952413,-0.0349859580952413
age,-1,ISL,2022-12-31,-408,28,6,-0.0168295907075758,0.0131466857256887,0.0131466857256887
ami_126d,1,ISL,2006-09-30,0.29727925,13,3,-0.0513819386566667,-0.0324388935868325,-0.0324388935868325
ami_126d,1,ISL,2006-10-31,0.3020519,13,3,0.0129040353166667,0.0487993178007749,0.0487993178007749
ami_126d,1,ISL,2006-11-30,1.267714625,13,3,-0.06696363342,-0.0346526924318749,-0.0346526924318749
ami_126d,1,ISL,2007-04-30,0.79868723,17,3,-0.0469709026952381,-0.00303880740335982,-0.00300049516563154
ami_126d,1,ISL,2007-05-31,0.105257525,17,3,0.0052215874404762,0.011173411904084,0.00804628651089365
ami_126d,1,ISL,2007-06-30,0.16526972,17,3,-0.0398383880238095,-0.0318191785252232,-0.0319265254816046
ami_126d,1,ISL,2007-07-31,0.272859315,17,3,-0.0137184658380952,-0.0597613602216399,-0.0551381493053712
ami_126d,1,ISL,2007-08-31,0.436515855,15,4,-0.0144150893363636,0.0116344794858685,0.00790741697848955
ami_126d,1,ISL,2007-11-30,0.08676502,12,3,0.122594747966667,0.0903649881679667,0.0883053930530265
ami_126d,1,ISL,2007-12-31,0.12148452,11,4,0.0126675076214286,0.0400069026823663,0.0409897863724017
ami_126d,1,ISL,2008-01-31,0.43484341,11,4,0.108707381057143,0.0310358481243195,0.0311319750885456
ami_126d,1,ISL,2008-02-29,0.292557995,12,4,0.035938328625,0.0563884513865654,0.0563884513865654
ami_126d,1,ISL,2008-03-31,0.55976036,10,4,-0.128526061416667,-0.14016725370128,-0.14016725370128
