characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,JAM,2022-05-31,-372,79,13,-0.0478685766625874,-0.0639545257416223,-0.0639545257416223
age,-1,JAM,2022-10-31,-378,81,14,-0.0280375704684435,-0.00204787541213209,-0.00204787541213209
ami_126d,1,JAM,2022-05-31,220.662378515,62,4,-0.042447941287069,0.0192322889702294,0.0192322889702294
ami_126d,1,JAM,2022-10-31,406.98820429,62,5,0.0148207323508772,0.045641802762898,0.045641802762898
at_be,-1,JAM,2022-05-31,-6.22365250815,64,12,0.0103816356596154,-0.0177303635945862,-0.0177303635945862
at_be,-1,JAM,2022-10-31,-6.4179427258,68,11,0.0316030329886762,0.0201169254144194,0.0201169254144194
at_gr1,-1,JAM,2022-05-31,-0.21604818245,68,20,-0.0471394113775,0.000837485669569503,0.000837485669569503
at_gr1,-1,JAM,2022-10-31,-0.2383841657,65,27,-0.00132317027407407,0.0253560947702879,0.0253560947702879
at_me,1,JAM,2022-05-31,4.35092545595,53,12,0.0389559403136179,0.0314094846733505,0.0314094846733505
at_me,1,JAM,2022-10-31,4.2274947993,50,15,0.0107911528114286,-0.0149058808255268,-0.0149058808255268
at_turnover,1,JAM,2022-05-31,1.1697773786,45,12,0.0240444084886364,0.0144928839179727,0.0144928839179727
at_turnover,1,JAM,2022-10-31,0.8461007134,62,10,-0.000534664616923079,0.0295568354710231,0.0295568354710231
be_gr1a,-1,JAM,2022-05-31,-0.072373144,66,18,-0.02646058415,0.000739512744152571,0.000739512744152571
be_gr1a,-1,JAM,2022-10-31,-0.0906518824,66,15,0.0329265822635294,-0.00527062323875433,-0.00527062323875433
be_me,1,JAM,2022-05-31,0.8664800252,56,23,0.0593764001852437,0.075687316871209,0.075687316871209
be_me,1,JAM,2022-10-31,0.85428238775,65,26,0.0185131754153846,0.0130516098168877,0.0130516098168877
beta_60m,-1,JAM,2022-05-31,-0.72549806705,50,8,-0.0216840214910714,-0.000282374302093177,-0.000282374302093177
beta_60m,-1,JAM,2022-10-31,-0.76440748835,39,7,0.00750589901116071,0.017248876201681,0.017248876201681
beta_dimson_21d,-1,JAM,2022-05-31,-2.750409745,58,22,0.0162483394949495,0.0143758249025373,0.0143758249025373
beta_dimson_21d,-1,JAM,2022-10-31,-2.861169895,62,20,0.03245210174,0.0467520367475432,0.0467520367475432
betabab_1260d,-1,JAM,2022-05-31,-0.9294715017,25,7,-0.0129453586960317,0.0221503474962238,0.0221503474962238
betabab_1260d,-1,JAM,2022-10-31,-0.8203020126,28,9,-0.0241627625052632,-0.0327771699512478,-0.0327771699512478
betadown_252d,-1,JAM,2022-05-31,-1.72827531,41,12,-0.026568155462931,0.00328228408571026,0.00328228408571026
betadown_252d,-1,JAM,2022-10-31,-1.229077995,59,24,0.00741196923416667,-0.00440627537861792,-0.00440627537861792
bev_mev,1,JAM,2022-05-31,0.8177890878,62,21,0.0500798572853659,0.0249159710398444,0.0249159710398444
bev_mev,1,JAM,2022-10-31,0.8296762106,57,21,0.0065300862265873,-0.019653477609896,-0.019653477609896
bidaskhl_21d,1,JAM,2022-05-31,0.01758481,64,23,0.0250152632109226,0.00688349805886366,0.00688349805886366
bidaskhl_21d,1,JAM,2022-10-31,0.022720765,75,5,0.0452464310828572,0.0564915656118804,0.0564915656118804
cash_at,1,JAM,2022-05-31,0.2351290958,68,25,-0.0285355106338605,0.0120093484696346,0.0120093484696346
cash_at,1,JAM,2022-10-31,0.22785843915,71,23,-0.00828058043623189,0.0288794071838652,0.0288794071838652
chcsho_12m,-1,JAM,2022-05-31,-0.2613368476,71,4,0.0716423830216418,0.123020245472506,0.123020245472506
chcsho_12m,-1,JAM,2022-10-31,-0.0120920156,74,3,0.0247804104230047,0.0255744365441535,0.0255744365441535
corr_1260d,-1,JAM,2022-05-31,-0.41369091,25,4,-0.010019282047619,0.00980200696345438,0.00980200696345438
corr_1260d,-1,JAM,2022-10-31,-0.38576928,24,4,-0.022567842625,-0.0265765884266055,-0.0265765884266055
coskew_21d,-1,JAM,2022-05-31,-0.426416995,51,20,-0.0280741254722581,-0.0249330703834844,-0.0249330703834844
coskew_21d,-1,JAM,2022-10-31,-0.41287662,52,24,0.038510051239881,0.0126813278952118,0.0126813278952118
dbnetis_at,-1,JAM,2022-05-31,-0.115471254,50,21,0.00326096680426929,-0.0267877836238684,-0.0267877836238684
dbnetis_at,-1,JAM,2022-10-31,-0.1251983057,56,28,-0.001137483825,0.0396171256831158,0.0396171256831158
debt_gr3,-1,JAM,2022-05-31,-1.51673667915,50,22,0.0145716994022727,0.00364785075364322,0.00364785075364322
debt_gr3,-1,JAM,2022-10-31,-1.7125683744,42,17,0.0372857308870588,0.0547285759733297,0.0547285759733297
debt_me,1,JAM,2022-05-31,0.7240062107,54,23,0.0154713088453015,0.0282043995450325,0.0282043995450325
debt_me,1,JAM,2022-10-31,0.63632173845,52,26,0.0243550313076923,-0.0416179486162056,-0.0416179486162056
dolvol_126d,-1,JAM,2022-05-31,-99659.436189455,67,9,-0.0400817785978927,-0.0149172921238224,-0.0149172921238224
dolvol_126d,-1,JAM,2022-10-31,-107917.40289422,73,7,0.0384757702608225,0.0609123782112915,0.0609123782112915
dolvol_var_126d,-1,JAM,2022-05-31,-2.04334466,65,27,-0.0657624947641326,-0.0839608418419859,-0.0839608418419859
dolvol_var_126d,-1,JAM,2022-10-31,-3.479299205,47,17,0.0199643459011765,0.0142477981365052,0.0142477981365052
ebit_bev,1,JAM,2022-05-31,0.3237882465,53,18,-0.0116737465322222,0.0159224270044653,0.0159224270044653
ebit_bev,1,JAM,2022-10-31,0.17610646925,70,34,0.0130293476176471,0.0362438169441482,0.0362438169441482
ebit_sale,1,JAM,2022-05-31,0.63630802405,68,22,0.0194852037335968,0.018837622276623,0.018837622276623
ebit_sale,1,JAM,2022-10-31,0.6184006128,66,21,0.00919284834317461,-0.02825778961133,-0.02825778961133
ebitda_mev,1,JAM,2022-05-31,0.1056397971,60,20,0.0340939961175,0.00865397537447644,0.00865397537447644
ebitda_mev,1,JAM,2022-10-31,0.0984137173,65,27,-0.00303448808625731,0.0279329158256358,0.0279329158256358
eq_dur,-1,JAM,2022-05-31,-3.149894893,60,22,0.0444793069337321,0.0677603419557222,0.0677603419557222
