characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,JOR,2008-03-31,-240,177,37,-0.0107128165793243,0.076875879735854,0.0619723014711166
age,-1,JOR,2008-05-31,-240,184,40,-0.00147736790958333,-0.0478223343698374,-0.04461927324567
age,-1,JOR,2008-06-30,-240,196,47,-0.0195531929352135,-0.11700798704883,-0.121835882190144
age,-1,JOR,2008-07-31,-246,199,48,0.00583814271618378,-0.0366889711707278,-0.0264202926443237
age,-1,JOR,2008-08-31,-246,200,48,-0.00144181166875,0.0874308144173565,0.0905559061560358
age,-1,JOR,2008-09-30,-246,202,48,-0.0144829567627165,0.00128537457260673,-0.00513260672793212
age,-1,JOR,2008-10-31,-246,201,50,0.012746929149245,0.0302676836508854,0.0466341660874536
age,-1,JOR,2008-11-30,-240,197,48,-0.0527014379456096,-0.0735059285383743,-0.0925580825968537
age,-1,JOR,2008-12-31,-240,196,47,-0.0288171319874625,-0.0953504572103921,-0.0810806712597294
age,-1,JOR,2009-01-31,-258,204,52,0.0181938623185223,-0.00299237082040043,-0.0196209010335322
age,-1,JOR,2009-02-28,-258,199,52,0.0245396162358059,0.0906726187185166,0.0794745602060758
age,-1,JOR,2009-03-31,-264,202,51,0.0214453691874302,0.056605053803188,0.0449820621944209
age,-1,JOR,2009-04-30,-264,206,52,0.000218211784890107,0.0216843579047287,0.0356705446550512
age,-1,JOR,2009-05-31,-264,206,52,0.0300714994823926,-0.14983929205171,-0.137896063572425
age,-1,JOR,2009-06-30,-264,205,51,-0.0330948961929463,-0.051135410015432,-0.0615444764632689
age,-1,JOR,2009-07-31,-264,204,52,-0.0235487483436235,-0.0311171596002196,-0.0320485375710335
age,-1,JOR,2016-01-31,-264,177,35,-0.0169194343004225,-0.00799488491915041,-0.00799488491915041
age,-1,JOR,2016-02-29,-264,179,37,-7.35636860106589e-05,0.011513681045305,0.011513681045305
age,-1,JOR,2016-03-31,-264,177,35,-0.00218354639088531,-0.0439135098682277,-0.0439135098682277
age,-1,JOR,2016-04-30,-264,181,39,-0.0149472880922535,-0.0327187858465241,-0.0327187858465241
age,-1,JOR,2022-10-31,-276,142,29,-0.0182140757828502,-0.0193560954437569,-0.0193560954437569
ami_126d,1,JOR,2008-03-31,3.350841795,101,9,0.0188569083245169,0.0979279244516412,0.0877920413678261
ami_126d,1,JOR,2008-05-31,3.47922773,112,4,0.0272326483638889,-0.0119302390025248,-0.00527387034378818
ami_126d,1,JOR,2008-06-30,2.370800445,123,4,-0.196527455480042,-0.146325570625007,-0.195409265605057
ami_126d,1,JOR,2008-07-31,3.260116925,112,4,0.0271940619074074,-0.0757412521754348,-0.0601187632364744
ami_126d,1,JOR,2008-08-31,2.47570858,124,3,0.0644748116283747,-0.040921626967903,-0.0223580112478325
ami_126d,1,JOR,2008-09-30,2.812294605,136,4,0.0729239414734849,0.0612840315716955,0.0629074567892036
ami_126d,1,JOR,2008-10-31,3.49626204,140,5,0.128354266137037,-0.0265508698793577,-0.0114094048396008
ami_126d,1,JOR,2008-11-30,7.78113986,130,10,0.0982515906808333,0.084018333086277,0.0862962646055895
ami_126d,1,JOR,2008-12-31,8.340226195,135,7,0.134215649220759,0.00734776215428216,0.0409576792823439
ami_126d,1,JOR,2009-01-31,9.26950399,136,5,0.0174669816303817,0.0830472094934372,0.0665536234959771
ami_126d,1,JOR,2009-02-28,12.55563543,130,5,0.002233484916,0.0716849763261123,0.0560468716597164
ami_126d,1,JOR,2009-03-31,23.12368773,116,13,-0.0531270703318895,0.0310074831181544,0.0124622622362518
ami_126d,1,JOR,2009-04-30,11.701538635,133,8,-0.0024294874419,-0.0521521239734567,-0.0378759868062958
ami_126d,1,JOR,2009-05-31,10.044146365,150,8,-0.124456120176056,-0.185025828725971,-0.182359019636018
ami_126d,1,JOR,2009-06-30,12.04793843,150,11,0.0261689743359058,0.102024014003786,0.0997361350839631
ami_126d,1,JOR,2009-07-31,13.445301265,137,12,0.078311249399,-0.0158041800493965,-0.010608911639191
at_be,-1,JOR,2008-03-31,-6.63798210665,112,14,0.0360030860765306,0.0943536631419236,0.0840496946503788
at_be,-1,JOR,2008-05-31,-6.8758003246,122,13,0.0518605838730416,0.00532739328705458,0.0127072795359596
at_be,-1,JOR,2008-06-30,-6.88664921965,129,13,-0.000430291478116712,-0.0168217694679276,-0.014531426445147
at_be,-1,JOR,2008-07-31,-6.88664921965,129,13,-0.0218582373690981,-0.105970508845299,-0.0967409095753715
at_be,-1,JOR,2008-08-31,-7.2895843628,117,14,0.0121927195764216,-0.127957949195757,-0.130526969056054
at_be,-1,JOR,2008-09-30,-7.29353994475,118,14,-0.016431989304533,0.0242692195506745,0.0103364819727161
at_be,-1,JOR,2008-10-31,-7.2895843628,115,14,-0.0537225349953324,-0.160752401711125,-0.173733463053522
at_be,-1,JOR,2008-11-30,-7.5765846217,126,13,0.00187030096038121,0.0278780918888565,0.000166036134351025
at_be,-1,JOR,2008-12-31,-7.71575685305,147,11,-0.0247141644592246,-0.0406554316256123,-0.0170768988059482
at_be,-1,JOR,2009-01-31,-7.5206538943,154,13,0.0365067647894708,0.0789978979775083,0.0627175642108844
at_be,-1,JOR,2009-02-28,-7.5209681343,148,11,0.0264748058478434,0.0651053256929403,0.0531212742725779
at_be,-1,JOR,2009-03-31,-7.42053029195,151,12,0.0111685261623501,0.0936677644621714,0.0848355726263864
at_be,-1,JOR,2009-04-30,-6.8813774528,135,15,0.0335363232508333,-0.101206176345685,-0.0857912119867549
at_be,-1,JOR,2009-05-31,-7.48662627,129,12,0.000394019273717947,0.0235909160510382,0.0508143483632915
at_be,-1,JOR,2009-06-30,-7.3755321988,122,11,-0.0523619698581491,-0.0238691646103949,-0.0511640545922633
at_be,-1,JOR,2009-07-31,-7.362826871,122,11,-0.0102782316906634,0.041748238755824,0.0457642201130041
at_be,-1,JOR,2016-01-31,-7.0658776678,128,13,-0.0193777560160535,-0.0553673156205941,-0.0553673156205941
at_be,-1,JOR,2016-02-29,-7.05425477315,129,14,0.00381455258142857,0.023554685005404,0.023554685005404
at_be,-1,JOR,2016-03-31,-7.05351718745,128,14,0.0105766341753133,0.0209487909569713,0.0209487909569713
at_be,-1,JOR,2016-04-30,-7.05230538035,130,14,-0.0207878539,-0.0370730531684527,-0.0370730531684527
at_be,-1,JOR,2022-10-31,-12.12478040475,129,9,-0.00381994400611111,-0.033058137514024,-0.033058137514024
at_gr1,-1,JOR,2008-05-31,-0.2579281657,152,55,-0.0209510932764011,-0.0362428683492274,-0.0339749940762028
at_gr1,-1,JOR,2008-06-30,-0.2779659515,162,57,-0.0331320591888221,0.181944734496097,0.184485838957915
at_gr1,-1,JOR,2008-07-31,-0.2896796301,159,53,0.0174556924877359,0.023899464279265,0.0223270357532089
at_gr1,-1,JOR,2008-08-31,-0.2698590989,157,56,0.0271218145472772,0.0298521791798702,0.0387567709009929
at_gr1,-1,JOR,2008-09-30,-0.2771478329,159,56,-0.00980045291525659,-0.0068208746261666,-0.0189037619244619
at_gr1,-1,JOR,2008-10-31,-0.2764384369,157,56,0.0394131836879597,-0.148107743978354,-0.134937662355395
at_gr1,-1,JOR,2008-11-30,-0.2837536174,150,58,0.000950292443740633,0.0649461835547594,0.0440364457182514
at_gr1,-1,JOR,2008-12-31,-0.2841926959,149,58,-0.0162777258530693,-0.0844825137594323,-0.0695062155044802
at_gr1,-1,JOR,2009-01-31,-0.2833145389,149,58,-0.00548468583586586,0.046578708352769,0.0261755167071839
at_gr1,-1,JOR,2009-02-28,-0.26244295395,144,66,-0.0017485680974359,0.00903985120197778,-0.00741868759818596
at_gr1,-1,JOR,2009-03-31,-0.2687615738,150,65,-0.026076794600905,0.0398987030400931,0.0268249123216087
at_gr1,-1,JOR,2009-04-30,-0.2713117658,147,67,-0.000341955839421641,-0.0304390173641143,-0.00958671933344645
at_gr1,-1,JOR,2009-05-31,-0.3946126511,148,51,-0.0325880651215282,-0.200669764587052,-0.205269106076435
at_gr1,-1,JOR,2009-06-30,-0.4000052451,148,53,0.0360684099889772,0.0988497600037302,0.0977451474367139
at_gr1,-1,JOR,2009-07-31,-0.4017400041,147,53,0.00971533917392613,-0.00806980352337999,-0.0134997259526967
at_gr1,-1,JOR,2016-01-31,-0.1441294016,157,54,0.0112707341262316,-0.0533497450189312,-0.0533497450189312
at_gr1,-1,JOR,2016-02-29,-0.1736247903,138,49,0.025551542934992,-0.00956385371088357,-0.00956385371088357
at_gr1,-1,JOR,2016-03-31,-0.17129746825,133,46,-0.0246797714412544,-0.0504495381840777,-0.0504495381840777
at_gr1,-1,JOR,2016-04-30,-0.17304212875,136,48,-0.00612394288787879,-0.0566085326341699,-0.0566085326341699
at_gr1,-1,JOR,2022-10-31,-0.28569480415,86,14,-0.0318321583097222,0.0186355886997708,0.0186355886997708
at_me,1,JOR,2008-03-31,2.6595200454,36,17,-0.0684089307588235,-0.160205360415502,-0.148707547163233
at_me,1,JOR,2008-05-31,2.98552657375,36,18,-0.0542993118166667,-0.00755644009604073,-0.0149362954269507
