characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,KEN,2013-04-30,-228,54,1,0.172606514443396,0.189110048074807,0.189110048074807
age,-1,KEN,2013-05-31,-228,54,1,-0.0495311823,-0.0762644012743893,-0.0762644012743893
age,-1,KEN,2013-06-30,-228,53,1,0.0129163057576923,0.0332919755671866,0.0332919755671866
age,-1,KEN,2013-07-31,-228,54,1,-0.114334230286792,-0.13244772842327,-0.13244772842327
age,-1,KEN,2013-09-30,-276,55,2,-0.238896948796226,-0.579875850549984,-0.579875850549984
age,-1,KEN,2014-08-31,-276,53,2,0.072842253854902,0.231765578245711,0.231765578245711
age,-1,KEN,2014-09-30,-276,53,2,0.0895449989794117,-0.058529328997488,-0.058529328997488
age,-1,KEN,2014-10-31,-276,55,2,-0.108338115364151,-0.0554411859150772,-0.0554411859150772
age,-1,KEN,2014-11-30,-276,55,2,0.0041724953481132,0.0329572424522572,0.0329572424522572
age,-1,KEN,2014-12-31,-324,56,3,0.0145108474660377,-0.0342909798874787,-0.0342909798874787
age,-1,KEN,2015-01-31,-324,56,3,-0.0805803806320755,-0.0379935398226116,-0.0379935398226116
age,-1,KEN,2015-02-28,-324,56,3,-0.0319695267899371,-0.0502991748221972,-0.0502991748221972
age,-1,KEN,2015-03-31,-324,56,3,-0.0158467464641509,-0.0440533611630706,-0.0440533611630706
age,-1,KEN,2016-03-31,-324,56,3,-0.0441663092962264,-0.0596277665068063,-0.0596277665068063
age,-1,KEN,2020-04-30,-330,53,4,0.00185609916377551,-0.055680140551495,-0.055680140551495
ami_126d,1,KEN,2009-04-30,9.20861463,28,3,0.160809066402667,0.118570292662328,0.118570292662328
ami_126d,1,KEN,2013-04-30,15.61482774,41,3,-0.00430764982982456,-0.0603021332818792,-0.0603021332818792
ami_126d,1,KEN,2013-05-31,7.915416995,43,3,-0.0360022882983333,-0.019301712553542,-0.019301712553542
ami_126d,1,KEN,2013-06-30,18.292139275,39,3,0.0541939384527778,0.060353628685257,0.060353628685257
ami_126d,1,KEN,2013-07-31,15.12822467,40,3,-0.064919116181982,-0.0716172076194395,-0.0716172076194395
ami_126d,1,KEN,2013-09-30,22.33235926,38,3,-0.0929741125247619,-0.0946782128693445,-0.0946782128693445
ami_126d,1,KEN,2014-08-31,11.06288435,37,3,-0.0484706370784314,-0.0104706385047258,-0.0104706385047258
ami_126d,1,KEN,2014-10-31,28.33275133,32,4,0.0306108524035714,0.0746794926077191,0.0746794926077191
ami_126d,1,KEN,2014-11-30,15.11180838,37,3,-0.0763528286647059,-0.125843142272693,-0.125843142272693
ami_126d,1,KEN,2014-12-31,16.49456702,39,3,-0.0302967352083333,-0.0369526170155055,-0.0369526170155055
ami_126d,1,KEN,2015-01-31,4.40042618,50,3,0.0229883721361702,0.000467933619110203,0.000467933619110203
ami_126d,1,KEN,2015-02-28,7.66664196,45,3,0.00318035353571428,-0.0418868579796755,-0.0418868579796755
ami_126d,1,KEN,2015-03-31,5.7276358,50,3,-0.0925127314007092,-0.0944740732966082,-0.0944740732966082
ami_126d,1,KEN,2016-03-31,52.35108986,39,4,-0.0517756352471429,0.00185598785009349,0.00185598785009349
ami_126d,1,KEN,2020-04-30,97.72593137,38,3,-0.102995910395238,-0.0684039268311298,-0.0684039268311298
at_be,-1,KEN,2009-02-28,-7.3665207786,15,4,-0.0492539407954545,-0.0279037067714024,-0.0279037067714024
at_be,-1,KEN,2009-03-31,-7.3665207786,15,4,0.051140553775,0.00939599572645715,0.00939599572645715
at_be,-1,KEN,2009-04-30,-7.3665207786,15,4,0.0194362558227273,-0.045950981812485,-0.045950981812485
at_be,-1,KEN,2013-04-30,-6.0851411017,27,8,0.0576419860677632,0.0864086173637147,0.0864086173637147
at_be,-1,KEN,2013-05-31,-5.72801829605,27,8,-0.0291619186118421,-0.0374833176843865,-0.0374833176843865
at_be,-1,KEN,2013-06-30,-5.74470405815,26,8,0.0127980092972222,0.000844618695565153,0.000844618695565153
at_be,-1,KEN,2013-07-31,-5.76138982025,27,8,-0.0233768951394737,0.0246414764371944,0.0246414764371944
at_be,-1,KEN,2013-09-30,-4.89368308605,43,9,-0.0157554876522876,0.0469707374853522,0.0469707374853522
at_be,-1,KEN,2014-08-31,-5.0861660313,42,11,-0.0856092058592375,0.000288328398549711,0.000288328398549711
at_be,-1,KEN,2014-09-30,-4.89808019495,47,11,0.0454821864633838,-0.0136782896968174,-0.0136782896968174
