characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,KWT,2003-11-30,-228,76,2,-0.0305564088878378,-0.034025584953861,-0.03399999459512
age,-1,KWT,2003-12-31,-228,76,2,-0.072735286877027,-0.067279460666891,-0.0681037723424431
age,-1,KWT,2004-01-31,-228,76,3,-0.0594275058155251,-0.036672948115026,-0.0385049653566141
age,-1,KWT,2004-02-29,-228,75,1,0.1341786824,0.125117075924232,0.12541654583673
age,-1,KWT,2004-03-31,-228,75,1,-0.112090552183784,-0.0980916626605995,-0.0986247217300151
age,-1,KWT,2004-04-30,-228,78,2,-0.0996878349973684,-0.0959791948980509,-0.0959791948980509
age,-1,KWT,2004-05-31,-228,75,1,0.116210661658108,0.115191451332395,0.115191451332395
age,-1,KWT,2004-06-30,-228,75,1,-0.00430624532837838,0.0190715233668984,0.0190715233668984
age,-1,KWT,2004-07-31,-228,76,1,-0.0211082192666667,-0.0397932755875865,-0.0397932755875865
age,-1,KWT,2004-08-31,-228,77,2,-0.0625113216286667,-0.0364032582391357,-0.0365307218916602
age,-1,KWT,2004-09-30,-228,76,2,0.00553333933918919,0.0100933730706998,0.0100933730706998
age,-1,KWT,2004-10-31,-228,76,3,-0.0545967144557078,-0.0605362646865315,-0.0605362646865315
age,-1,KWT,2004-11-30,-228,75,2,-0.0181038829116438,-0.0367046605454945,-0.0367364281689
age,-1,KWT,2004-12-31,-228,75,2,0.124704503236986,0.130558515797623,0.130558515797623
age,-1,KWT,2005-01-31,-228,76,2,-0.0221579678716216,-0.0619738690911979,-0.0619738690911979
age,-1,KWT,2005-02-28,-228,77,2,-0.00396355577333334,-0.0148289016997045,-0.0148289016997045
age,-1,KWT,2005-03-31,-228,77,3,-0.120359049444595,-0.135258276497317,-0.135258276497317
age,-1,KWT,2005-04-30,-228,78,3,-0.106786249861333,-0.111739114235853,-0.111803258643303
age,-1,KWT,2005-05-31,-228,77,3,0.0398113589509009,0.0822259952278524,0.071515268097235
age,-1,KWT,2005-06-30,-228,76,2,0.0736284684459459,0.0539644968485748,0.0527740143294677
age,-1,KWT,2005-07-31,-228,76,2,-0.0361128411310811,-0.0554438885254962,-0.0544640509421512
age,-1,KWT,2005-08-31,-228,77,2,-0.0490252085513333,-0.0233923027623488,-0.0257243434410614
age,-1,KWT,2005-09-30,-228,78,3,0.00813493164266665,0.0192323550353859,0.0205210018882036
age,-1,KWT,2005-10-31,-228,75,2,-0.0297147303363014,-0.0113092584797319,-0.0120408379327472
age,-1,KWT,2005-11-30,-228,77,2,-0.0462662677353333,-0.089593004521607,-0.0860963293403933
age,-1,KWT,2005-12-31,-228,79,3,0.011873560597807,0.022224568864088,0.0200143650804758
age,-1,KWT,2006-01-31,-228,85,2,9.43366506024126e-05,0.000542897365784858,-0.00503819340369083
age,-1,KWT,2006-02-28,-240,138,7,-0.00426085023500545,-0.00747327279041479,-0.00523738104622114
age,-1,KWT,2006-03-31,-240,140,8,-0.121496745640909,-0.183074652686293,-0.177525524184518
age,-1,KWT,2006-04-30,-240,141,8,-0.0819526311149436,-0.00561047517276322,-0.00683640712443313
age,-1,KWT,2006-05-31,-240,144,8,-0.000454396984558823,-0.0461911172210406,-0.0452221969839868
age,-1,KWT,2006-06-30,-240,151,10,0.0560883994307801,0.128762564161015,0.130257788762866
age,-1,KWT,2006-07-31,-240,152,9,-0.076930934667366,-0.099413421142982,-0.0973326420371874
age,-1,KWT,2006-08-31,-240,149,9,-0.0516437592461111,-0.110100252781174,-0.111464010406013
age,-1,KWT,2006-09-30,-240,150,9,0.0342577539089834,0.0937136620892843,0.093426607738047
age,-1,KWT,2006-10-31,-240,151,9,-0.0540234734203443,-0.108978085662724,-0.107132475755895
age,-1,KWT,2006-11-30,-240,152,9,-0.0494727308967366,-0.0523477302176377,-0.0511300212804387
age,-1,KWT,2006-12-31,-240,157,9,0.0143310791683934,0.0249514867643017,0.0251530264066132
age,-1,KWT,2007-01-31,-240,152,9,-0.0531954044183372,-0.107605731219292,-0.107071091350894
age,-1,KWT,2007-02-28,-240,153,10,-0.000524559295524476,-0.0802882829008802,-0.0739935996953668
age,-1,KWT,2007-03-31,-240,159,10,0.0385256926369128,0.0879195464334579,0.0959006483928255
age,-1,KWT,2007-04-30,-240,159,10,-0.0475429543278524,-0.0704626312913612,-0.0693548152491644
age,-1,KWT,2007-05-31,-240,162,10,-0.015335208104079,-0.100246170220273,-0.0821100130794565
age,-1,KWT,2007-06-30,-240,166,11,0.0635782189457478,0.053176513439951,0.0454181384555006
age,-1,KWT,2007-07-31,-240,166,11,0.0166137935205279,-0.0145187985314896,-0.0304755788823512
age,-1,KWT,2007-08-31,-240,164,11,0.0320138519726084,0.0361624824490331,0.0425916052266656
age,-1,KWT,2007-09-30,-240,162,11,-0.0742966110025286,-0.0870340973610405,-0.0914831520074005
age,-1,KWT,2007-10-31,-240,167,11,-0.00718502682097902,-0.00983155903631091,-0.0147777394234515
age,-1,KWT,2007-11-30,-246,166,10,-0.0196691907774359,0.0241872626429583,0.0253838003784239
age,-1,KWT,2007-12-31,-252,172,11,-0.0456125442842462,0.00988002907105103,0.00758713946540773
age,-1,KWT,2008-01-31,-252,171,11,-0.0319412626975568,-0.0740442365337327,-0.0692070524457735
age,-1,KWT,2008-02-29,-246,173,10,-0.0146298716139264,-0.0493115071478898,-0.0475162249110531
age,-1,KWT,2008-03-31,-240,174,11,-0.051985166962744,-0.010711537102914,-0.0136507561420432
age,-1,KWT,2008-04-30,-246,174,10,0.0680994906556098,-0.0714450595562599,-0.0725622258422312
age,-1,KWT,2008-05-31,-246,172,8,0.0273789382158537,0.0488975622949828,0.0361143330039014
age,-1,KWT,2008-06-30,-240,174,9,0.0160276370634343,-0.00647470941543671,-0.00999670012891462
age,-1,KWT,2008-07-31,-246,175,8,-0.0668176560597305,-0.0806990444178704,-0.0707330416796142
age,-1,KWT,2008-08-31,-240,174,8,0.0775070206034639,0.0877751326471834,0.096914153863478
age,-1,KWT,2008-09-30,-240,174,9,-0.0175176588551515,0.0333496572532398,0.0279604839582218
age,-1,KWT,2008-10-31,-240,177,11,-0.0489918925321468,-0.118237897487057,-0.108460761062586
age,-1,KWT,2008-11-30,-246,176,12,-0.0549781181148374,-0.0832048169376466,-0.0699879673571838
age,-1,KWT,2008-12-31,-240,174,11,-0.0120264654747909,0.040492930588617,0.0207413609135722
age,-1,KWT,2009-01-31,-240,177,13,0.0516282858034709,0.0255547920350607,0.03645014920655
