characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,LUX,1998-11-30,-102,13,2,-0.2752005721,-0.182041456287388,-0.182041456287388
age,-1,LUX,1998-12-31,-102,15,2,-0.0517779632923077,-0.0282757098020732,-0.0282757098020732
age,-1,LUX,1999-01-31,-102,16,2,0.361497186685714,0.121418658176003,0.121418658176003
age,-1,LUX,1999-02-28,-102,15,2,0.273647709746154,0.166180862937761,0.166180862937761
age,-1,LUX,1999-03-31,-102,13,2,-0.0586401022545455,-0.045225249299903,-0.045225249299903
age,-1,LUX,1999-04-30,-102,14,2,-0.154124173816667,-0.0883682497668832,-0.14888671040972
age,-1,LUX,1999-05-31,-144,13,1,0.0066847446,0.0451338933162179,0.0389009976905496
age,-1,LUX,1999-06-30,-144,13,1,-0.220951996625,-0.180792962089161,-0.194105470541025
age,-1,LUX,1999-07-31,-144,15,1,-0.0502233323785714,-0.0607648669313728,-0.0570794491943267
age,-1,LUX,2000-07-31,-162,13,2,-0.0129149245409091,0.242713399016553,0.242713399016553
age,-1,LUX,2000-08-31,-162,13,2,-0.00618605357727273,0.0341414974679664,0.0341414974679664
age,-1,LUX,2000-09-30,-162,14,2,0.0173630704666667,0.0431557303160228,0.0431557303160228
age,-1,LUX,2000-10-31,-180,11,1,0.06276245043,0.0516773450907792,0.0516773450907792
age,-1,LUX,2000-11-30,-180,11,1,-0.03332588573,-0.0178118148671557,-0.0178118148671557
age,-1,LUX,2000-12-31,-144,14,3,-0.121175988006061,-0.108020265303423,-0.108020265303423
age,-1,LUX,2001-01-31,-156,14,3,-0.0156108337484849,-0.00728358098654021,-0.00728358098654021
age,-1,LUX,2001-02-28,-156,15,3,-0.141412773166667,0.012688991220237,0.012688991220237
age,-1,LUX,2001-05-31,-120,15,2,-0.0466136122192308,0.0271542300080996,0.0271542300080996
age,-1,LUX,2001-06-30,-156,16,3,0.0689630721564103,0.0718119614348444,0.0718119614348444
age,-1,LUX,2001-07-31,-156,16,3,-0.0174247402769231,-0.0132088808346276,-0.0132088808346276
age,-1,LUX,2001-08-31,-156,17,3,0.0874124638642857,0.0733887193623175,0.0733887193623175
age,-1,LUX,2001-09-30,-120,17,2,0.13126737522,0.145299833181491,0.145299833181491
age,-1,LUX,2001-10-31,-60,16,1,-0.0637290343066667,-0.0841387447882107,-0.0841387447882107
age,-1,LUX,2001-11-30,-108,18,2,-0.03836539223125,0.050174560569309,0.050174560569309
age,-1,LUX,2001-12-31,-108,18,2,-0.0668694650875,-0.0489102919685824,-0.0489102919685824
