characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,MAR,1997-02-28,-120,18,2,-0.017445100175,-0.00988946371952602,-0.00988946371952602
age,-1,MAR,1997-03-31,-120,18,2,0.1931959991,0.165779163738718,0.165779163738718
age,-1,MAR,1997-04-30,-120,25,2,-0.0439483846869565,-0.0482040254987522,-0.0482040254987522
age,-1,MAR,1997-05-31,-120,25,2,-0.0617354096217391,-0.0498493368040936,-0.0498493368040936
age,-1,MAR,1997-06-30,-132,23,1,0.0371707684181818,0.0320617936165718,0.0320617936165718
age,-1,MAR,1997-07-31,-132,23,1,-0.0426794508909091,-0.0453896832888133,-0.0453896832888133
age,-1,MAR,1997-08-31,-132,24,1,0.0147775732434783,0.0136464009680925,0.0136464009680925
age,-1,MAR,1997-09-30,-132,23,1,0.0157987765772727,0.0217745622308874,0.0217745622308874
age,-1,MAR,1997-10-31,-132,23,1,-0.0410236898863636,-0.0503010101886573,-0.0503010101886573
age,-1,MAR,1997-11-30,-132,24,1,-0.0284291831478261,-0.0224251597689472,-0.0224251597689472
age,-1,MAR,1997-12-31,-132,24,1,0.0582216159043478,0.0523717028335834,0.0523717028335834
age,-1,MAR,1998-01-31,-132,24,1,-0.0180705219521739,-0.0117260900682324,-0.0117260900682324
age,-1,MAR,1998-02-28,-132,24,1,-0.101769278869565,-0.104444507218465,-0.104444507218465
age,-1,MAR,1998-03-31,-132,25,1,-0.1335247038125,-0.133598220732706,-0.133598220732706
age,-1,MAR,1998-04-30,-132,25,1,-0.0755858458541667,-0.071025480320723,-0.071025480320723
age,-1,MAR,1998-05-31,-132,25,1,-0.141282875320833,-0.141310686352553,-0.141310686352553
age,-1,MAR,1998-06-30,-132,25,1,-0.255515307170833,-0.272520920786602,-0.272520920786602
age,-1,MAR,1998-07-31,-132,21,1,-0.03815973651,-0.0503966124353504,-0.0503966124353504
age,-1,MAR,1998-08-31,-132,20,1,-0.0831235978631579,-0.0806898102517084,-0.0806898102517084
age,-1,MAR,1998-09-30,-132,22,1,0.0143209676857143,0.00639809776434247,0.00639809776434247
age,-1,MAR,1998-10-31,-132,25,1,-0.0741434480291667,-0.0742424020729708,-0.0742424020729708
