characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,NGA,2006-09-30,-180,49,1,0.456762638141667,0.539838277660515,0.539838277660515
age,-1,NGA,2006-10-31,-180,50,1,-0.132524016063265,-0.0717463381520627,-0.0717463381520627
age,-1,NGA,2006-11-30,-180,50,1,-0.226786148914286,-0.161303679653782,-0.161303679653782
age,-1,NGA,2006-12-31,-180,51,1,0.01560649564,-0.013304798351897,-0.013304798351897
age,-1,NGA,2007-01-31,-192,52,2,-0.022893715716,-0.128662388620217,-0.128662388620217
age,-1,NGA,2007-02-28,-192,54,2,0.285292469373077,0.037760586666243,0.037760586666243
age,-1,NGA,2007-03-31,-216,85,5,-0.16558202078375,-0.147745129962898,-0.147745129962898
age,-1,NGA,2007-04-30,-216,82,5,-0.0369460272883117,0.0296255892106517,0.0296255892106517
age,-1,NGA,2007-05-31,-216,83,5,0.600238209332051,0.302179525378366,0.302179525378366
age,-1,NGA,2007-06-30,-216,88,5,0.0712924684686747,0.144364640939438,0.144364640939438
age,-1,NGA,2007-07-31,-216,89,5,-0.0501033207054762,-0.146428172715933,-0.146428172715933
age,-1,NGA,2007-08-31,-216,89,5,-0.0897413699219048,-0.0823592917704877,-0.0823592917704877
age,-1,NGA,2007-09-30,-228,93,6,-0.0359233449091954,-0.0466713360880316,-0.0466713360880316
age,-1,NGA,2007-10-31,-276,102,11,0.0620509398684316,-0.00538258193198936,-0.00538258193198936
age,-1,NGA,2007-11-30,-276,150,32,-0.0477072321801377,0.120343230857836,0.120343230857836
age,-1,NGA,2007-12-31,-276,150,32,-0.0987857780592161,-0.103526927963563,-0.103526927963563
age,-1,NGA,2008-01-31,-276,150,32,0.0671535249977754,0.153628610554424,0.153628610554424
age,-1,NGA,2008-02-29,-276,167,40,0.0806341457002953,0.351439092609529,0.351439092609529
age,-1,NGA,2008-03-31,-276,169,47,0.322707024299128,-0.0358792962985458,-0.0358792962985458
age,-1,NGA,2008-04-30,-276,160,42,0.234805958779338,0.127157350389578,0.127157350389578
age,-1,NGA,2008-05-31,-276,161,42,0.0482973771901961,-0.03882993768462,-0.03882993768462
age,-1,NGA,2008-06-30,-276,161,43,0.096660394482637,-0.00431222695062648,-0.00431222695062648
age,-1,NGA,2008-07-31,-276,161,38,0.0819098758013051,-0.0129719133905045,-0.0129719133905045
age,-1,NGA,2008-08-31,-276,161,35,0.0413565367661905,0.0200253642040787,0.0200253642040787
age,-1,NGA,2008-09-30,-276,165,32,-0.0383386019856673,0.0266072408010427,0.0266072408010427
age,-1,NGA,2008-10-31,-252,162,26,0.0805968693378959,0.119228092039898,0.119228092039898
age,-1,NGA,2008-11-30,-240,160,22,0.0556136776943347,-0.0059642608498728,-0.0059642608498728
age,-1,NGA,2008-12-31,-264,160,23,-0.0122236490904157,-0.0183575464894804,-0.0183575464894804
age,-1,NGA,2009-01-31,-276,161,25,0.138413728380647,0.160091807564164,0.160091807564164
age,-1,NGA,2009-02-28,-270,160,24,-0.157822809833824,-0.206715432844652,-0.206715432844652
age,-1,NGA,2009-03-31,-276,157,20,0.0572768145882847,0.104374797698419,0.104374797698419
age,-1,NGA,2009-04-30,-264,152,17,-0.0700313862759041,-0.140149291533898,-0.140149291533898
age,-1,NGA,2009-05-31,-252,148,16,-0.232519163493182,-0.365101308110036,-0.365101308110036
age,-1,NGA,2009-06-30,-276,155,21,0.0494204630385217,0.046603099217264,0.046603099217264
age,-1,NGA,2009-07-31,-276,159,21,0.0466235464042443,-0.0119243113766855,-0.0119243113766855
age,-1,NGA,2009-08-31,-276,164,24,0.0423181560397619,0.0491376274754378,0.0491376274754378
age,-1,NGA,2009-09-30,-252,160,20,-0.0490956380771429,-0.233045961540281,-0.233045961540281
age,-1,NGA,2009-10-31,-240,160,21,-0.0684237590103118,-0.176893468429194,-0.176893468429194
age,-1,NGA,2009-11-30,-270,162,22,-0.0151992539691558,-0.0112727185028647,-0.0112727185028647
age,-1,NGA,2009-12-31,-270,161,20,-0.0519972984185816,-0.0674213222388214,-0.0674213222388214
age,-1,NGA,2010-01-31,-234,167,24,-0.0858257029961247,-0.0728345480025776,-0.0728345480025776
age,-1,NGA,2010-02-28,-264,163,21,-0.0244517156662895,-0.0488508498487643,-0.0488508498487643
age,-1,NGA,2010-03-31,-264,165,21,-0.0884049984602182,0.00499556913205951,0.00499556913205951
age,-1,NGA,2010-04-30,-264,164,19,-0.0327192427320145,-0.0623501256783838,-0.0623501256783838
age,-1,NGA,2010-05-31,-252,160,18,-0.0198706134233959,-0.0359398139509165,-0.0359398139509165
age,-1,NGA,2010-06-30,-264,168,23,0.0038448374277961,-0.0301628586511141,-0.0301628586511141
age,-1,NGA,2010-07-31,-270,171,26,-0.0289658756290186,-0.0918475122601986,-0.0918475122601986
age,-1,NGA,2010-08-31,-276,170,24,0.046683770570605,0.0689148924975071,0.0689148924975071
age,-1,NGA,2010-09-30,-264,167,25,0.0703445225339155,0.0176561667859775,0.0176561667859775
age,-1,NGA,2010-10-31,-240,155,17,-0.0589912770207161,-0.0735183796043715,-0.0735183796043715
age,-1,NGA,2010-11-30,-240,159,17,0.0295415927344242,0.0180065072159242,0.0110179571863094
age,-1,NGA,2010-12-31,-240,162,17,0.0199582763839351,-0.0937435364682892,-0.0967061034784937
age,-1,NGA,2011-01-31,-240,165,19,-0.00988366017746936,0.0216625670876696,0.0210779009468571
age,-1,NGA,2011-02-28,-240,163,21,0.00958613807951039,-0.03464650376783,-0.0341403066545838
age,-1,NGA,2011-03-31,-234,166,24,0.0126700286460094,-0.0179714104211262,-0.0155476579962887
age,-1,NGA,2011-04-30,-252,168,24,-0.003981204475,-0.0473322894982906,-0.0494114905426766
age,-1,NGA,2011-05-31,-234,165,22,-0.0361725475548951,-0.107653429036851,-0.105655248684971
age,-1,NGA,2011-06-30,-240,169,23,-0.0290202265294521,-0.0521503048148067,-0.0502507912966837
age,-1,NGA,2011-07-31,-264,166,23,0.0458966140692004,0.0567324878213436,0.0542461539218089
age,-1,NGA,2011-08-31,-240,160,19,0.0234208711298619,0.0777203164995408,0.0763215334274482
age,-1,NGA,2011-09-30,-228,151,17,0.0339144018273047,0.0492654090405924,0.0492781468119329
age,-1,NGA,2011-10-31,-240,150,16,-0.0272641117404851,-0.0628083534601329,-0.0604029550824589
age,-1,NGA,2011-11-30,-264,149,17,0.0314900714924688,0.0311818195772165,0.0320199247718215
age,-1,NGA,2011-12-31,-252,149,18,-0.005021811271162,-0.0475293224170569,-0.046713876460411
age,-1,NGA,2012-01-31,-264,142,13,-0.00416380152927847,-0.00384309775545138,0.000408889760054435
age,-1,NGA,2012-02-29,-270,140,12,0.007891066465625,0.00702947694966914,0.00119647823417303
age,-1,NGA,2012-03-31,-276,142,12,-0.0285380717201282,-0.0383837807550846,-0.0367572166628392
age,-1,NGA,2012-04-30,-270,146,14,-0.0254157124484849,-0.0809577873154747,-0.0811940258833722
age,-1,NGA,2012-05-31,-270,149,14,-0.00819430767666667,-0.00329468686341018,-0.00215932532612092
age,-1,NGA,2012-06-30,-252,155,18,-0.00868874159728305,0.0182473647323465,0.0184382242909458
age,-1,NGA,2012-07-31,-252,154,18,-0.040334327869281,-0.0903545124009362,-0.0930224707520044
age,-1,NGA,2012-08-31,-264,153,19,-0.0278044653796544,-0.0371133523704324,-0.0396783534895693
age,-1,NGA,2012-09-30,-264,148,15,-0.0986497620255639,-0.10407294177845,-0.105543763945644
age,-1,NGA,2012-10-31,-264,146,13,-0.0575014443360324,-0.0211490046516279,-0.0249205647047972
age,-1,NGA,2012-11-30,-252,148,16,0.0237031265106061,-0.00751678200259081,-0.00789024367732317
age,-1,NGA,2012-12-31,-234,144,16,-0.03602454178125,-0.0723825105761396,-0.0732461499095201
age,-1,NGA,2013-01-31,-252,145,16,-0.15901178938014,-0.134625822636259,-0.1387041557382
age,-1,NGA,2013-02-28,-270,150,16,-0.0686329377889925,-0.0374971328744058,-0.0369019665806068
age,-1,NGA,2013-03-31,-264,147,13,-0.00349111354958565,-0.0194835911557154,-0.0195716338213401
age,-1,NGA,2013-04-30,-240,150,15,0.00989721980854815,-0.0308472964000206,-0.02329219441723
age,-1,NGA,2013-05-31,-240,154,20,-0.0888274678348508,-0.13697014387552,-0.130091537718591
age,-1,NGA,2013-06-30,-240,156,22,-0.0084428729288331,0.0770765611255977,0.0795465625109843
age,-1,NGA,2013-07-31,-240,158,23,-0.0437249505243156,0.0264870642972973,0.0293926239930087
age,-1,NGA,2013-08-31,-240,156,21,0.151799099986138,0.11076286910009,0.113654326587136
age,-1,NGA,2013-09-30,-240,158,21,0.0530784293596107,-0.00327967643672027,-0.0051538398903513
age,-1,NGA,2013-10-31,-252,151,18,-0.0522170544192147,-0.0535417747089921,-0.0584582348349356
age,-1,NGA,2013-11-30,-276,154,20,-0.019598697100597,-0.0160666034790869,-0.0171836927533548
age,-1,NGA,2013-12-31,-252,162,24,-0.0391604864251812,-0.0596589153943065,-0.0511045991709476
age,-1,NGA,2014-01-31,-252,162,22,0.0178088861148701,0.00368531736201768,0.0185534481176284
age,-1,NGA,2014-02-28,-240,160,22,-0.00996625869011858,0.00393502920612768,0.0146231220598433
age,-1,NGA,2014-03-31,-240,160,24,0.0166608764534314,-0.00886472416964502,-0.00499276143315968
age,-1,NGA,2014-04-30,-240,162,24,-0.00718662286612319,-0.0128723325661345,-0.0230710498096163
age,-1,NGA,2014-05-31,-240,166,25,-0.045233969302383,-0.101049325739718,-0.110414593231344
age,-1,NGA,2014-06-30,-240,165,26,-0.039554441397565,-0.0716375858824162,-0.0725354950327133
age,-1,NGA,2014-07-31,-252,163,28,-0.0135822132470635,-0.0158396027111804,-0.0229507102339161
age,-1,NGA,2014-08-31,-240,163,27,0.109116378828965,0.189005109004642,0.187220483581015
age,-1,NGA,2014-09-30,-240,162,27,0.0540361862481482,0.123061253397457,0.121846434570291
age,-1,NGA,2014-10-31,-240,157,24,0.0474627806443609,0.293653806997633,0.303366276143022
age,-1,NGA,2014-11-30,-234,155,22,0.0450315143603554,-0.0950526714141236,-0.109231451251307
age,-1,NGA,2014-12-31,-240,154,20,-0.0113773561774627,-0.165395868144115,-0.154599146618735
age,-1,NGA,2015-01-31,-252,148,16,0.025484119257197,0.0407504215656938,0.0311674285751672
age,-1,NGA,2015-02-28,-234,150,18,-0.0191832388936869,-0.0480528790689188,-0.0498687649195504
age,-1,NGA,2015-03-31,-252,156,24,-0.0378734914943182,0.0515090665242443,0.0505092176630363
age,-1,NGA,2015-04-30,-270,157,26,-0.0286576637058931,-0.0911975842693687,-0.0872784749917778
age,-1,NGA,2015-05-31,-270,152,20,0.00734532237930303,-0.0299048284713414,-0.0311064087695921
age,-1,NGA,2015-06-30,-252,155,20,-0.0120740676253704,-0.0180539642894529,-0.0163586217793287
age,-1,NGA,2015-07-31,-240,160,25,0.0362808282791111,0.0275530329533296,0.0311682694487938
age,-1,NGA,2015-08-31,-240,155,21,0.0108773253309524,-0.0743763576334841,-0.0730556749025234
age,-1,NGA,2015-09-30,-240,153,19,-0.0337776595237406,-0.0500636375486485,-0.0510477611668591
age,-1,NGA,2015-10-31,-240,154,22,0.0221375817522727,0.064560776106698,0.0614953766769747
age,-1,NGA,2015-11-30,-240,149,21,0.0116587047740327,0.00890763510053611,0.010657251118081
age,-1,NGA,2015-12-31,-240,153,21,-0.0123800243138528,-0.0840065867794452,-0.0816353217187722
age,-1,NGA,2016-01-31,-234,153,20,0.0480298918893564,0.13997283462765,0.132356715713707
age,-1,NGA,2016-02-29,-234,156,24,0.016482926144697,-0.0402801843275737,-0.0368187216811958
age,-1,NGA,2016-03-31,-264,146,17,-0.00974011029297766,-0.028378909248903,-0.0190776636925863
age,-1,NGA,2016-04-30,-264,142,15,-0.011225423115958,-0.0271274231661468,-0.0256924254484381
age,-1,NGA,2016-05-31,-270,151,18,-0.089228291717711,-0.112083749443763,-0.119572349713613
age,-1,NGA,2016-06-30,-228,153,16,0.0365085144018248,0.0941126123339011,0.0982866948815185
age,-1,NGA,2016-07-31,-228,154,15,0.00998506126268584,-0.0218788513065158,-0.0220966180001972
age,-1,NGA,2017-06-30,-228,150,17,-0.0791564541362229,-0.0468746879077093,-0.0468746879077093
age,-1,NGA,2017-07-31,-228,142,15,-0.0176471474120735,-0.0994385527852189,-0.0994385527852189
age,-1,NGA,2017-08-31,-222,137,12,-0.00697755333333333,-0.0405495325516917,-0.0405495325516917
age,-1,NGA,2017-09-30,-228,135,11,0.00377961064032258,-0.00225690351560767,-0.00225690351560767
age,-1,NGA,2017-10-31,-228,137,11,-0.0285168083849206,-0.0373622202800489,-0.0373622202800489
age,-1,NGA,2017-11-30,-228,134,12,-0.00918403874043716,-0.0243579427315629,-0.0243579427315629
age,-1,NGA,2017-12-31,-228,135,14,-0.0197483210826446,0.00733332874530088,0.00733332874530088
age,-1,NGA,2018-01-31,-228,134,14,-0.134903088658452,-0.0387022052089571,-0.0387022052089571
age,-1,NGA,2018-02-28,-228,133,13,0.0261800684716026,-0.0239815449702291,-0.0239815449702291
age,-1,NGA,2018-03-31,-228,137,13,-0.0851653694774814,-0.0730593275207031,-0.0730593275207031
age,-1,NGA,2018-04-30,-228,137,14,-0.00440603874715447,-0.0218501567171554,-0.0218501567171554
age,-1,NGA,2018-05-31,-228,139,15,0.0263295769166667,0.0267338792540693,0.0267338792540693
age,-1,NGA,2018-06-30,-228,140,15,-0.0256215101250667,-0.00966774512896769,-0.00966774512896769
age,-1,NGA,2018-07-31,-228,135,13,-0.0328748202165826,-0.0252796856805279,-0.0252796856805279
age,-1,NGA,2018-08-31,-228,133,13,-0.00349836568891026,0.0156258770539654,0.0156258770539654
age,-1,NGA,2018-10-31,-228,157,19,0.0233153635667811,0.00600514161671657,0.00600514161671657
age,-1,NGA,2018-11-30,-228,157,19,0.0182795648684973,0.0362299719152397,0.0362299719152397
age,-1,NGA,2018-12-31,-228,157,19,-0.0223970064001907,0.0163089280096618,0.0163089280096618
age,-1,NGA,2019-01-31,-228,156,19,0.00540100199446792,0.00876648485256967,0.00876648485256967
age,-1,NGA,2019-02-28,-228,156,19,-0.0625113144192086,-0.0589231075884623,-0.0589231075884623
