characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,OMN,2008-01-31,-192,62,1,-0.00178927841311476,-0.0351393223248251,-0.0351393223248251
age,-1,OMN,2008-02-29,-192,63,1,-0.102724206883871,-0.0922121652082823,-0.0922121652082823
age,-1,OMN,2008-03-31,-198,66,2,0.0566160191421875,0.137257395258927,0.137257395258927
age,-1,OMN,2008-04-30,-192,67,3,-0.0809019087015625,0.0204710014653172,0.0204710014653172
age,-1,OMN,2008-05-31,-192,67,3,0.0687075025682292,0.0786708706362969,0.0786708706362969
age,-1,OMN,2008-06-30,-192,64,3,-0.0901380503803279,-0.0537668373005729,-0.0537668373005729
age,-1,OMN,2008-07-31,-192,63,1,0.0196527598354839,0.0517904103518943,0.0517904103518943
age,-1,OMN,2008-09-30,-288,63,1,0.136750776169355,0.165212958993861,0.165212958993861
age,-1,OMN,2008-10-31,-288,61,1,0.23732017149,0.262522713745436,0.262522713745436
age,-1,OMN,2008-11-30,-288,58,1,0.0410300893789474,-0.0020647914183115,-0.0020647914183115
age,-1,OMN,2008-12-31,-288,54,1,-0.279277846102117,-0.304647645299743,-0.304647645299743
age,-1,OMN,2009-03-31,-204,56,1,-0.0442297798981818,0.00143827757394512,0.00143827757394512
age,-1,OMN,2009-04-30,-204,58,1,-0.206774929121053,-0.177732089588257,-0.177732089588257
age,-1,OMN,2009-09-30,-192,65,1,-0.0763547692578125,-0.0405495429941636,-0.0405495429941636
age,-1,OMN,2009-10-31,-192,64,2,0.0249720154080645,0.0307199340527328,0.0307199340527328
age,-1,OMN,2009-11-30,-192,63,1,0.00898118613064516,0.0140407236715091,0.0140407236715091
age,-1,OMN,2010-01-31,-192,64,1,0.0123927215204968,-0.0236381309394259,-0.0236381309394259
age,-1,OMN,2010-03-31,-204,75,5,-0.0335831796728571,-0.0728671999541636,-0.0728671999541636
age,-1,OMN,2010-04-30,-192,73,3,0.574005980292051,0.202859107316851,0.202859107316851
age,-1,OMN,2010-07-31,-192,68,1,-0.0253733246179104,-0.0336685899143903,-0.0336685899143903
age,-1,OMN,2010-08-31,-192,71,3,-0.00452742542832157,-0.0214002505245397,-0.0214002505245397
age,-1,OMN,2010-09-30,-192,70,1,-0.0266057138304348,-0.0214123063381293,-0.0214123063381293
age,-1,OMN,2010-10-31,-192,69,2,-0.0263283071940299,-0.0174111361973724,-0.0174111361973724
age,-1,OMN,2010-11-30,-192,66,1,-0.0734807516830769,-0.100241586390531,-0.100241586390531
age,-1,OMN,2010-12-31,-192,65,1,-0.013481585996875,-0.0230370141202933,-0.0230370141202933
age,-1,OMN,2011-09-30,-192,66,2,0.0130511119078125,0.0114333038476411,0.0114333038476411
age,-1,OMN,2011-10-31,-192,67,2,0.0133468255130769,-0.00958468696854369,-0.00958468696854369
age,-1,OMN,2012-06-30,-192,78,8,0.0198627395564286,7.23999860054966e-05,7.23999860054966e-05
age,-1,OMN,2012-09-30,-192,80,8,0.0650378042013889,0.0759440513663944,0.0759440513663944
age,-1,OMN,2012-11-30,-192,78,7,0.00160516173802817,0.0142424309040645,0.0142424309040645
age,-1,OMN,2014-10-31,-192,80,11,0.065435227796029,-0.0057715134355583,-0.0057715134355583
age,-1,OMN,2014-11-30,-192,82,11,0.024394550919293,0.0568176223353134,0.0568176223353134
age,-1,OMN,2015-09-30,-192,71,10,0.0189327476462295,-0.018152216907104,-0.018152216907104
age,-1,OMN,2015-10-31,-192,70,9,-0.0180511300326047,0.0659891576877994,0.0659891576877994
age,-1,OMN,2015-11-30,-192,76,9,0.0373273071640133,-0.0344552802979851,-0.0344552802979851
age,-1,OMN,2016-01-31,-192,72,10,0.0408641666119355,0.0133381974476221,0.0133381974476221
age,-1,OMN,2016-02-29,-192,71,9,-0.0729752799763441,-0.0839342283495066,-0.0839342283495066
age,-1,OMN,2016-03-31,-192,73,9,-0.0423136020796875,0.00281702495598538,0.00281702495598538
age,-1,OMN,2016-04-30,-192,76,9,-0.0559561870452736,-0.0611502950198863,-0.0611502950198863
age,-1,OMN,2016-05-31,-192,80,9,-0.022059077314554,-0.00834636282667895,-0.00834636282667895
age,-1,OMN,2016-06-30,-192,76,9,0.0031320430946932,0.011859713087406,0.011859713087406
age,-1,OMN,2016-07-31,-192,73,10,-0.00205961488577778,0.0388992594161545,0.0388992594161545
age,-1,OMN,2020-04-30,-192,106,15,-0.00984792223692308,0.0059953383109683,0.0059953383109683
age,-1,OMN,2020-08-31,-192,106,15,-0.0234150329892308,0.0012315415982898,0.0012315415982898
age,-1,OMN,2020-09-30,-192,106,15,0.0108088224542125,0.0248327350434156,0.0248327350434156
age,-1,OMN,2020-10-31,-192,106,15,0.0130775393117216,-0.0112093861881418,-0.0112093861881418
age,-1,OMN,2020-11-30,-192,106,15,-0.00748165999311355,-0.050279182951021,-0.050279182951021
age,-1,OMN,2021-05-31,-192,109,17,-0.0235338163315857,-0.0151621897003908,-0.0151621897003908
age,-1,OMN,2021-10-31,-192,108,17,0.00518873683548804,-0.116977349414409,-0.116977349414409
age,-1,OMN,2021-12-31,-192,108,17,-0.00749855611047188,-0.026581490336926,-0.026581490336926
age,-1,OMN,2022-01-31,-192,108,17,0.00360460940588235,-0.0145611096617256,-0.0145611096617256
age,-1,OMN,2022-02-28,-192,108,17,-0.0220213061467356,-0.0343063287078218,-0.0343063287078218
age,-1,OMN,2022-03-31,-192,108,16,-0.0138570276980978,-0.210310886368084,-0.210310886368084
age,-1,OMN,2022-04-30,-192,108,16,-0.0411487198744565,0.00748661760698742,0.00748661760698742
age,-1,OMN,2022-05-31,-192,108,16,0.0532566000491848,0.0307589939580288,0.0307589939580288
age,-1,OMN,2022-06-30,-192,108,16,0.00543695887119565,-0.0673868868807124,-0.0673868868807124
age,-1,OMN,2022-07-31,-192,108,16,-0.0374953556535326,-0.114284766957002,-0.114284766957002
age,-1,OMN,2022-08-31,-192,108,16,-0.028908395855163,0.0370523439619053,0.0370523439619053
age,-1,OMN,2022-09-30,-192,108,16,0.0258274872035326,0.0510329254950207,0.0510329254950207
age,-1,OMN,2022-10-31,-192,108,16,0.0378978231894022,-0.0136455926543335,-0.0136455926543335
age,-1,OMN,2022-11-30,-192,107,15,-0.021937262217029,-0.0477681769979544,-0.0477681769979544
age,-1,OMN,2022-12-31,-192,107,15,-0.00412638206260869,0.0845729668135349,0.0845729668135349
ami_126d,1,OMN,2008-02-29,0.292575965,37,3,0.0300555665333333,0.0572651528637093,0.0572651528637093
ami_126d,1,OMN,2008-03-31,0.28797779,41,3,0.0312208245517544,0.0767374722923079,0.0767374722923079
