characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,PER,2005-05-31,-204,49,3,-0.0409429317833333,-0.0256080324767962,-0.0256080324767962
age,-1,PER,2006-07-31,-186,53,2,0.294931919106863,0.189744298010425,0.189744298010425
age,-1,PER,2006-08-31,-186,54,2,-0.212389638875,-0.191031549075647,-0.191031549075647
age,-1,PER,2006-09-30,-186,54,2,-0.0654787117826923,-0.109439188584118,-0.109439188584118
age,-1,PER,2006-10-31,-204,55,3,-0.0788767120288462,-0.068269046298751,-0.068269046298751
age,-1,PER,2006-11-30,-186,53,2,0.143665305395098,0.180109792388503,0.180109792388503
age,-1,PER,2006-12-31,-186,52,2,-0.098099820028,-0.035255597736996,-0.035255597736996
age,-1,PER,2007-01-31,-186,51,2,0.140867028033673,0.15342972311259,0.15342972311259
age,-1,PER,2007-02-28,-186,51,2,-0.136051558761225,-0.113954788244204,-0.113954788244204
age,-1,PER,2007-03-31,-186,55,2,0.988177855275472,1.05742157446835,1.05742157446835
age,-1,PER,2007-04-30,-186,56,2,0.047717044162963,0.0328284073076009,0.0328284073076009
age,-1,PER,2007-05-31,-186,56,2,-0.129205601327778,-0.144295378409674,-0.144295378409674
age,-1,PER,2007-06-30,-204,62,3,0.434633283732203,0.406575406481022,0.406575406481022
age,-1,PER,2007-07-31,-204,62,3,-0.0260222076282486,-0.0277977252053055,-0.0277977252053055
age,-1,PER,2007-08-31,-204,67,3,0.00953703836041667,0.0196183111725154,0.0196183111725154
age,-1,PER,2007-09-30,-204,67,3,-0.0542625719546875,-0.0727239457835023,-0.0727239457835023
age,-1,PER,2007-10-31,-204,64,3,-0.114178427742077,-0.141234327758999,-0.141234327758999
age,-1,PER,2007-11-30,-204,64,3,-0.0757855452502732,-0.0618608343670196,-0.0626866008903508
age,-1,PER,2007-12-31,-204,66,3,-0.047838444052381,-0.0437342902149238,-0.0438897787062256
age,-1,PER,2008-01-31,-204,68,3,-0.0488967824892308,-0.0302471200257321,-0.0302471200257321
age,-1,PER,2008-02-29,-204,66,3,0.0231088195714286,0.00591059636861988,0.00590225992137508
age,-1,PER,2008-03-31,-234,66,4,-0.105781796216935,-0.0332854003440289,-0.0363560626644733
age,-1,PER,2008-04-30,-234,67,4,0.114085170928968,0.257012517742884,0.257176954688037
age,-1,PER,2008-05-31,-234,66,4,0.0262195272080645,0.197331008125103,0.196705277176893
age,-1,PER,2008-06-30,-234,69,4,0.0617654170973077,0.19022144590822,0.190212521136658
