characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,POL,1994-03-31,-108,21,5,-0.00213494368124995,0.00922299369589597,0.00922299369589597
age,-1,POL,1996-02-29,-132,63,14,0.0376899113153061,0.0506799271406696,0.0506799271406696
age,-1,POL,1996-03-31,-132,66,14,-0.0381152649206044,0.0110100312912094,0.0110100312912094
age,-1,POL,1996-05-31,-132,66,14,0.0179247051431319,0.0141814077577518,0.0141814077577518
age,-1,POL,1996-07-31,-132,66,14,0.00720799194423077,0.0193628394605478,0.0193628394605478
age,-1,POL,1996-08-31,-132,66,14,0.0211905752409341,0.0270592607770712,0.0270592607770712
age,-1,POL,1996-09-30,-132,66,14,-0.0149478258741758,0.000272652131251008,0.000272652131251008
age,-1,POL,1996-10-31,-132,66,14,-0.0324980828192308,-0.00705404310359646,-0.00705404310359646
age,-1,POL,1996-11-30,-132,66,14,-0.0687773130228022,-0.105635203166999,-0.105635203166999
age,-1,POL,1996-12-31,-132,66,14,0.0592829259395604,0.0135556222288932,0.0135556222288932
age,-1,POL,1997-01-31,-132,80,16,-0.019643523334375,-0.0282050603859464,-0.0282050603859464
age,-1,POL,1997-02-28,-132,80,16,0.0371557996671875,0.0145108509331181,0.0145108509331181
age,-1,POL,1997-03-31,-132,80,16,-0.008625227615625,0.0279424765626436,0.0279424765626436
age,-1,POL,1997-04-30,-132,80,16,0.02789185595,0.0821775322525443,0.0821775322525443
age,-1,POL,1997-05-31,-132,81,16,0.0265292794088462,0.00589787918343956,0.00589787918343956
age,-1,POL,1997-06-30,-132,81,16,0.0143100498143269,0.0311379717119621,0.0311379717119621
age,-1,POL,1997-08-31,-132,83,16,-0.0492584637443097,-0.000725507191896097,-0.000725507191896097
age,-1,POL,1997-09-30,-132,83,16,0.0685999154669776,0.0464490468854773,0.0464490468854773
age,-1,POL,1997-10-31,-132,82,15,-0.0343751383661692,-0.0600979239912217,-0.0600979239912217
age,-1,POL,1997-11-30,-150,123,30,0.0220494232648387,0.034621594000589,0.034621594000589
age,-1,POL,1997-12-31,-150,122,30,0.053123985425942,0.0312326465821406,0.0312326465821406
age,-1,POL,1998-01-31,-150,122,30,0.0147840097150725,-0.0447461125172983,-0.0447461125172983
age,-1,POL,1998-02-28,-150,122,30,-0.0541544345289131,-0.035421800239128,-0.035421800239128
age,-1,POL,1998-03-31,-150,122,30,-0.0412780545065942,-0.0500857035317305,-0.0500857035317305
age,-1,POL,1998-04-30,-150,123,30,-0.0178359697830108,-0.115771987562554,-0.115771987562554
age,-1,POL,1998-05-31,-150,122,30,0.00797555963478261,-0.0450503917294474,-0.0450503917294474
