characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,QAT,2016-05-31,-300,44,1,-0.0929449743790698,-0.071391812117828,-0.0749257893239736
age,-1,QAT,2016-06-30,-300,44,1,-0.0563293260465116,-0.0728476378854213,-0.0696371358986133
age,-1,QAT,2016-07-31,-300,44,1,0.0110973815837209,-0.00702738097684447,-0.00319305274255883
age,-1,QAT,2016-08-31,-300,44,1,-0.0630796460837209,-0.091640687277012,-0.0846255631575357
age,-1,QAT,2016-09-30,-300,44,1,-0.00842184596976744,-0.00183505045196499,-0.00126569564400569
age,-1,QAT,2016-10-31,-300,44,1,-0.0474083480465116,-0.0659550961954738,-0.0587294894235219
age,-1,QAT,2016-11-30,-300,44,1,0.0388733508837209,0.0320491789960577,0.0290724282964711
age,-1,QAT,2016-12-31,-300,44,1,-0.0156348192697674,-0.0212359131441332,-0.014069348738389
age,-1,QAT,2017-01-31,-300,44,1,-0.0696356871906977,-0.0678091607919078,-0.0724001912058498
age,-1,QAT,2017-02-28,-300,44,1,-0.0179167475325581,-0.0131545300242941,-0.00721948441640665
age,-1,QAT,2017-03-31,-300,44,1,-0.117867511072093,-0.0996458999275613,-0.104011023828354
age,-1,QAT,2017-04-30,-300,44,1,0.0154936976395349,0.0112391353486424,0.011447894665533
age,-1,QAT,2017-05-31,-300,44,1,0.0134242576,0.00679682732299302,0.0151740390184704
age,-1,QAT,2017-06-30,-300,44,1,-0.00788350509767442,-0.0046281680524083,-0.0163769906353563
age,-1,QAT,2017-07-31,-300,44,1,-0.0405904794697674,-0.0626048374520401,-0.0554411499850281
age,-1,QAT,2017-08-31,-300,44,1,-0.0333221317418605,-0.0292706386785991,-0.0269197746909348
age,-1,QAT,2017-09-30,-300,45,1,0.072478551875,0.0918992626985393,0.0894597030626825
age,-1,QAT,2017-10-31,-300,45,1,-0.0724933072909091,-0.118323199463483,-0.113940611413561
age,-1,QAT,2017-11-30,-300,45,1,-0.0634179100363636,-0.06853925123221,-0.0651946546049527
age,-1,QAT,2017-12-31,-300,45,1,0.0707088223204545,0.0874345848466109,0.0783824644581007
age,-1,QAT,2018-01-31,-300,45,1,0.0574582894704546,0.0167069971110856,0.0196461336500098
age,-1,QAT,2018-02-28,-300,45,1,-0.0251283717136364,4.66116637591399e-05,-0.00332912242831004
age,-1,QAT,2018-03-31,-300,45,1,-0.05263208055,-0.0813952388140966,-0.0726342358247786
age,-1,QAT,2018-04-30,-300,45,1,-0.0860165569522727,-0.151275480478123,-0.137856947083238
age,-1,QAT,2018-05-31,-300,45,1,-0.0577841194136364,-0.0563105196239775,-0.0395614939628946
age,-1,QAT,2018-06-30,-300,45,1,-0.0644024004863636,-0.0502015845950573,-0.0604337032871021
age,-1,QAT,2018-07-31,-300,45,1,-0.0407554059351273,-0.101466998432942,-0.0856960893540544
age,-1,QAT,2018-08-31,-300,45,1,-0.004547228725,-0.0158503693113288,-0.0153887226793073
age,-1,QAT,2018-09-30,-300,45,1,-0.0625875061977273,-0.0708325093723281,-0.071560903734833
age,-1,QAT,2018-10-31,-300,45,1,-0.0886692952727273,-0.142817521296671,-0.128937865758227
age,-1,QAT,2018-11-30,-300,45,1,-0.024712909475,-0.0297109677017752,-0.030878226369424
age,-1,QAT,2018-12-31,-300,45,1,-0.0399103641590909,-0.0368718556976597,-0.0405210953480615
age,-1,QAT,2019-01-31,-300,46,1,-0.0345166040733333,-0.0339047869455957,-0.0415695622727238
age,-1,QAT,2019-02-28,-300,46,1,0.0179926192666667,0.0267364443222468,0.0319709200234816
age,-1,QAT,2019-03-31,-300,46,1,0.0115266103533333,0.0728280116037204,0.0582990301345319
age,-1,QAT,2019-04-30,-300,46,1,0.139958334428889,0.107693304893061,0.119987620439067
age,-1,QAT,2019-05-31,-300,46,1,-0.132204700577778,-0.129711867828226,-0.135224382682521
age,-1,QAT,2019-06-30,-300,46,1,-0.0715687884288889,-0.0406849135457834,-0.0395732972893499
age,-1,QAT,2019-07-31,-300,46,1,-0.0754118618644444,-0.0918777186847399,-0.0886904572048121
age,-1,QAT,2019-08-31,-300,46,1,-0.161195095837778,-0.183646455209493,-0.182322388555814
age,-1,QAT,2019-09-30,-300,46,1,0.0368016454711111,0.0492745163365279,0.0452164739718719
age,-1,QAT,2019-10-31,-300,46,1,0.00911555870888889,0.0165845579087986,0.0204540603462471
age,-1,QAT,2019-11-30,-300,46,1,-0.0320287105155556,-0.023373668738322,-0.0230256761771296
age,-1,QAT,2019-12-31,-300,46,1,-0.0784663706955556,-0.0923120627012213,-0.0813306628082101
age,-1,QAT,2020-01-31,-300,47,1,0.321664918934783,0.326253900071082,0.325374231626278
age,-1,QAT,2020-02-29,-300,47,1,0.0497167562456522,0.0317978586414466,0.0402145003428791
age,-1,QAT,2020-03-31,-300,47,1,-0.016299476576087,-0.0323943068507136,-0.0346043950625244
age,-1,QAT,2020-04-30,-300,47,1,-0.00572883468913044,0.101779184483619,0.0842076291524161
age,-1,QAT,2020-05-31,-300,47,1,-0.140727857497826,-0.12321375623537,-0.129192056184065
age,-1,QAT,2020-06-30,-300,47,1,0.0245469536021739,0.0886570129469597,0.0815712056264698
age,-1,QAT,2020-07-31,-300,47,1,0.196828143293478,0.229338900820997,0.224374980574486
age,-1,QAT,2020-08-31,-300,47,1,-0.0163319522978261,0.0149645065559495,0.00393209987439446
age,-1,QAT,2020-09-30,-300,47,1,-0.0996925139804348,-0.112366319580119,-0.118026614538245
age,-1,QAT,2020-10-31,-300,47,1,0.286410148756522,0.280521082314726,0.28228931233568
age,-1,QAT,2020-11-30,-300,47,1,-0.0166701418782609,-0.00984085318256729,-0.0191341564782509
age,-1,QAT,2020-12-31,-300,47,1,-0.0132794866391304,0.00645049654702476,0.00253098751373074
age,-1,QAT,2021-01-31,-300,47,1,0.0222784823630435,0.0332416527745896,0.0339099811659354
age,-1,QAT,2021-02-28,-300,48,1,-0.00857053907659574,0.0220156571083164,0.0208354951482922
age,-1,QAT,2021-03-31,-300,48,1,-0.0143848129744681,0.00363670135497662,0.00664268438408525
age,-1,QAT,2021-04-30,-300,48,1,-0.0194124001659574,-0.0207386767523606,-0.0289024604638785
age,-1,QAT,2021-05-31,-300,49,1,-0.00867457794166667,0.00871704395660229,0.00730220958276364
age,-1,QAT,2021-06-30,-300,49,1,0.0109688246645833,-0.0102417265309707,-0.00579212152842682
age,-1,QAT,2021-07-31,-300,49,1,-0.04995736235625,-0.0638784323845716,-0.060463421514235
age,-1,QAT,2021-08-31,-300,49,1,-0.00786564911041667,-0.00592198010573617,-0.0033647747268668
age,-1,QAT,2021-09-30,-300,50,1,-0.00939511768367347,-0.0271594439648972,-0.0293985586354461
age,-1,QAT,2021-10-31,-300,50,1,-0.0202564302836735,-0.0373528728612404,-0.0271188317174855
age,-1,QAT,2021-11-30,-300,49,1,0.0149449980479167,0.0285407562031162,0.0211112667906427
age,-1,QAT,2021-12-31,-300,49,1,0.0164636458895833,-0.0178373780088799,-0.0101677507075855
age,-1,QAT,2022-01-31,-300,49,1,-0.0624953942541667,-0.0731572855108658,-0.0709037101967196
age,-1,QAT,2022-02-28,-300,49,1,-0.0281061843291667,-0.0349366831212262,-0.0329157154970799
age,-1,QAT,2022-03-31,-300,49,1,-0.0997102202416667,-0.118822879401246,-0.114279855176749
age,-1,QAT,2022-04-30,-300,49,1,0.0689269932770833,0.0627170314027608,0.0629976279242237
age,-1,QAT,2022-05-31,-300,49,1,-0.06128604885,-0.0239021976441119,-0.0312772395123861
age,-1,QAT,2022-06-30,-300,49,1,-0.138727094547917,-0.122234404362576,-0.130761383009355
age,-1,QAT,2022-07-31,-300,49,1,-0.0573528033083333,-0.0813246789653149,-0.0915086603287451
age,-1,QAT,2022-08-31,-300,49,1,0.0952028239104166,0.109620586857785,0.108007091380968
age,-1,QAT,2022-09-30,-300,49,1,-0.0171817651979167,-0.0248190423552494,-0.0204510927186797
age,-1,QAT,2022-10-31,-300,49,1,0.0241471324166667,0.0200633387862886,0.0187869939787489
