characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,ROU,2007-07-31,-168,36,5,0.063194422443871,0.105614322176093,0.105394125162324
age,-1,ROU,2007-08-31,-168,36,5,-0.0615714672909678,0.128296536190368,0.124656660203066
age,-1,ROU,2007-09-30,-168,36,5,-0.0493981715845161,-0.0563820565573234,-0.0550251065532021
age,-1,ROU,2007-10-31,-168,36,5,-0.0374026575670968,0.0385105552555777,0.0396890875621308
age,-1,ROU,2007-11-30,-168,36,5,0.0376664684341936,0.00685565018709558,0.00841172179916172
age,-1,ROU,2007-12-31,-168,36,5,-0.0876874356148387,-0.0293178092261124,-0.0334746760744594
age,-1,ROU,2008-01-31,-240,36,5,0.284142549246452,0.0684313562247346,0.0702301335463681
age,-1,ROU,2008-02-29,-240,37,5,-0.174599444535625,-0.109549666660408,-0.109549666660408
age,-1,ROU,2008-03-31,-240,38,6,-0.05068468858125,-0.0900851359908011,-0.0893895799001505
age,-1,ROU,2008-04-30,-240,37,5,-0.025811210555625,-0.219917169176699,-0.214272289125856
age,-1,ROU,2008-05-31,-240,37,5,-0.084859113379375,-0.0777040134644243,-0.0737614439658328
age,-1,ROU,2008-06-30,-240,37,5,0.140299522720625,0.0648683003583446,0.0654843653589119
age,-1,ROU,2008-07-31,-240,37,5,0.0493805154525,0.00578115267636411,0.011462531404961
age,-1,ROU,2020-04-30,-240,69,12,-0.0678365515921053,0.0352835869098627,0.0352835869098627
age,-1,ROU,2020-05-31,-240,70,13,-0.0303003318318488,-0.098207199089007,-0.098207199089007
age,-1,ROU,2020-06-30,-240,69,13,0.0211351647803571,-0.001894158925986,-0.001894158925986
age,-1,ROU,2020-11-30,-240,74,14,0.0102794114416667,-0.0190595499384565,-0.0190595499384565
age,-1,ROU,2021-05-31,-240,73,14,0.106723004475545,0.0640393607744026,0.0640393607744026
age,-1,ROU,2021-08-31,-240,75,13,0.0176796963251861,-0.0251798010518948,-0.0251798010518948
age,-1,ROU,2021-09-30,-240,73,13,0.0632590615964103,0.0127668166210423,0.0127668166210423
age,-1,ROU,2021-10-31,-240,72,12,0.0104642266866667,0.0438902689950053,0.0438902689950053
age,-1,ROU,2021-11-30,-240,74,12,-0.00748823907661291,0.0447484719343847,0.0447484719343847
age,-1,ROU,2021-12-31,-240,75,13,0.141787737659801,0.261309087223908,0.261309087223908
age,-1,ROU,2022-01-31,-240,74,12,0.00578122707688172,-0.0160666783646152,-0.0160666783646152
age,-1,ROU,2022-02-28,-240,73,12,-0.0558192344833333,-0.0210995857031614,-0.0210995857031614
