characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,RUS,1995-08-31,-132,16,4,-0.0316902561166667,-0.0375258971544488,-0.0532814136777813
age,-1,RUS,1995-09-30,-132,41,13,0.0206793235252747,0.0520445002420785,0.0545063299930697
age,-1,RUS,1995-10-31,-132,45,13,-0.102138467357212,-0.0394573888147446,-0.0437213736091977
age,-1,RUS,1995-11-30,-132,41,14,0.0152374468433863,-0.00252524209907989,-0.00252524209907989
age,-1,RUS,1995-12-31,-132,41,14,0.0183327205365079,-0.0177823131321638,-0.0177823131321638
age,-1,RUS,1996-01-31,-132,38,11,0.038557915769697,0.0392710526784904,0.0392710526784904
age,-1,RUS,1996-02-29,-132,57,18,0.0764189053551282,0.0295976309991535,0.029648126221124
age,-1,RUS,1996-03-31,-132,61,17,0.0103812923796791,-0.0381328914010752,-0.0381328914010752
age,-1,RUS,1996-04-30,-132,62,17,-0.0507731976580392,-0.135141934268622,-0.135141934268622
age,-1,RUS,1996-05-31,-132,58,14,-0.176508198773701,-0.20112729949376,-0.200301603594833
age,-1,RUS,1996-06-30,-132,53,11,-0.153439986955195,-0.169414089174916,-0.180456625681067
age,-1,RUS,1996-07-31,-132,53,11,0.0184592774378788,-0.0878447556421627,-0.123717836316231
age,-1,RUS,1996-08-31,-132,54,12,-0.0774050604642857,-0.227934193573221,-0.204472704606417
age,-1,RUS,1996-09-30,-132,50,10,-0.07199024798,-0.00732328308642671,-0.0146901248595157
age,-1,RUS,1996-10-31,-132,51,11,-0.0308707606168182,-0.0688409631029358,-0.0405964932608691
age,-1,RUS,1996-11-30,-132,52,10,-0.0526945003428571,0.105424377271048,0.0646083324062402
age,-1,RUS,1996-12-31,-132,55,11,-0.0244530500818182,0.0494475145815586,0.0396187518699178
age,-1,RUS,1997-01-31,-132,65,13,0.0116939796346153,-0.276194439109754,-0.303884419756326
age,-1,RUS,1997-02-28,-132,68,13,0.112804804651748,-0.0377960441984204,-0.0368276364988257
age,-1,RUS,1997-03-31,-132,74,15,-0.0231141597145763,0.180650034959902,0.17543715570215
age,-1,RUS,1997-04-30,-132,74,15,0.0540077481642938,-0.0796861125220475,-0.0749473552037958
age,-1,RUS,1997-05-31,-132,74,15,0.0636826637868927,0.033289397705506,0.0266835073318796
age,-1,RUS,1997-06-30,-132,73,15,-0.0852658603831035,0.0148700918083561,-0.0381164573834604
age,-1,RUS,1997-07-31,-132,73,14,0.465497374804843,0.307173703674315,0.284017892678429
age,-1,RUS,1997-08-31,-132,74,14,0.0500341358230952,-0.0782301925301697,-0.0435911303578715
age,-1,RUS,1997-09-30,-132,75,14,-0.0988722226831382,-0.146852210350931,-0.0991773976902642
age,-1,RUS,1997-10-31,-132,76,15,-0.00943952214786886,-0.00215199553218735,0.0536586165130618
age,-1,RUS,1997-11-30,-132,96,16,0.0989594813925,0.0344372769650563,0.0316521139115771
age,-1,RUS,1997-12-31,-132,95,16,-0.105302093567009,-0.279491547825073,-0.275945057813791
age,-1,RUS,1998-01-31,-132,96,16,0.04784127940625,0.0169290059048818,-0.000770594504631517
age,-1,RUS,1998-02-28,-132,96,16,0.00535262711499999,-0.0719044287283564,-0.0643164202721401
age,-1,RUS,1998-03-31,-132,96,16,0.0663763613975,-0.103829336172889,-0.0881692776835648
age,-1,RUS,1998-04-30,-132,95,16,-0.106889481956329,-0.164544858352828,-0.153191697449254
age,-1,RUS,1998-05-31,-132,95,16,0.0197121021776108,0.103703608671015,0.0748989532408546
age,-1,RUS,1998-06-30,-132,96,16,-0.10355391177375,-0.119526946903502,-0.126422155476158
age,-1,RUS,1998-07-31,-132,99,16,0.138741369813102,-0.076651066362112,-0.0832115665445279
age,-1,RUS,1998-08-31,-132,103,17,0.266838619060055,0.529923966736793,0.495043157106172
age,-1,RUS,1998-09-30,-132,109,17,0.0114505601627238,0.228340248422111,0.228340248422111
age,-1,RUS,1998-10-31,-132,109,17,-0.163861485531522,-0.405314236442339,-0.405314236442339
age,-1,RUS,1998-11-30,-132,109,17,-0.189514598103133,-0.197341077099303,-0.197341077099303
age,-1,RUS,1998-12-31,-132,109,17,0.0721547865652813,0.0609035577924351,0.0609035577924351
age,-1,RUS,1999-01-31,-132,107,17,-0.233268679590131,-0.575586826961535,-0.575586826961535
age,-1,RUS,1999-04-30,-144,63,6,-0.0140125280736842,-0.0799719420266447,-0.0734276322171573
age,-1,RUS,1999-05-31,-138,67,6,0.157788723241257,0.787348921341128,0.776396539261127
age,-1,RUS,1999-06-30,-138,66,6,0.637793324635,0.928800400395138,0.908085117681656
age,-1,RUS,1999-07-31,-144,62,5,0.111525662904561,-0.140609704679753,-0.147024334311659
age,-1,RUS,1999-08-31,-144,62,5,0.0499228197007018,0.174346241404764,0.173219097989246
age,-1,RUS,1999-09-30,-144,60,5,0.0534244475090909,-0.0813852710089026,-0.0767372435782555
age,-1,RUS,1999-10-31,-144,61,5,-0.13505300247,-0.0153867309953406,-0.0159761939042968
age,-1,RUS,1999-11-30,-138,63,4,-0.292112039326271,-0.0186653184659398,-0.0267734007614254
age,-1,RUS,1999-12-31,-132,69,7,0.324062269073733,-0.379374236612568,-0.376218440019837
age,-1,RUS,2000-01-31,-132,68,7,-0.474644897604684,0.427168880678932,0.374994126811429
age,-1,RUS,2000-02-29,-138,65,6,0.118488655370904,0.00354563059544294,-0.0158587810001842
age,-1,RUS,2000-03-31,-138,65,6,-0.10143963000791,1.03535848062773,1.02091989560622
age,-1,RUS,2000-04-30,-144,68,5,0.0667717003523809,0.0449813676512078,0.0491936566907884
age,-1,RUS,2000-05-31,-144,66,5,0.222936149597049,-0.0696711056260383,-0.0598751911572006
age,-1,RUS,2000-06-30,-138,69,6,0.232561718002381,-0.177418212065002,-0.172662600732909
age,-1,RUS,2000-07-31,-144,64,5,-0.0493230248623729,-0.215444795140813,-0.222435133121114
age,-1,RUS,2000-08-31,-144,65,5,-0.0473424504366667,-0.104835977936198,-0.116206328253301
age,-1,RUS,2000-09-30,-138,69,4,0.272035193942692,-0.021424449720247,-0.0330669708251843
age,-1,RUS,2000-10-31,-138,69,4,0.341209375370769,0.18786091036881,0.17692168204637
age,-1,RUS,2000-11-30,-144,69,5,-0.12554711025625,0.00654798525295144,-0.00996012958746542
age,-1,RUS,2000-12-31,-138,69,4,0.0990366660180769,-0.235181025515645,-0.225438669515954
age,-1,RUS,2001-01-31,-132,64,3,-0.184159435420219,-0.00245665464201539,-0.00913336690816013
age,-1,RUS,2001-02-28,-132,63,3,0.167767420423333,0.00700499843860813,-0.00172264188473176
age,-1,RUS,2001-03-31,-132,66,3,-0.231580582607937,-0.184311012199504,-0.197745637560795
age,-1,RUS,2001-04-30,-144,65,5,0.105515021206667,-0.248781749963279,-0.240052733579509
age,-1,RUS,2001-05-31,-138,65,4,0.505368763564344,0.983887724225068,0.994403478443288
age,-1,RUS,2001-06-30,-138,70,4,0.191945272179545,-0.0521602801841405,-0.0585078440058659
age,-1,RUS,2001-07-31,-132,73,5,0.057566098975,-0.0305782300044944,-0.0237639372129481
age,-1,RUS,2001-08-31,-132,65,4,0.0284647220577869,-0.122712477455275,-0.132646497245204
age,-1,RUS,2001-09-30,-132,65,3,-0.00140454491989248,-0.0174510451360376,-0.00991883110684175
age,-1,RUS,2001-10-31,-132,66,3,-0.204476127053968,-0.252519083645311,-0.26378229501665
age,-1,RUS,2001-11-30,-132,69,5,0.00459151744843753,0.0716597913752527,0.0575394722839812
age,-1,RUS,2001-12-31,-144,71,5,-0.0373995005315152,-0.474910009891791,-0.485174103937938
age,-1,RUS,2002-01-31,-150,73,4,0.0772414818166667,0.260052474632226,0.259650074769595
age,-1,RUS,2002-02-28,-150,75,4,0.39555188385493,0.208537289595826,0.195830384939277
age,-1,RUS,2002-03-31,-144,74,5,-0.0872622711724638,-0.130811084516294,-0.132059203325266
age,-1,RUS,2002-04-30,-150,72,4,0.104031835380882,-0.19490345630536,-0.154670643808376
age,-1,RUS,2002-05-31,-150,75,4,0.105351382948592,0.0257436745224739,0.0599075983567333
age,-1,RUS,2002-06-30,-150,75,4,0.0510864967517606,-0.0811361117660825,-0.0767741020276745
age,-1,RUS,2002-07-31,-150,70,4,-0.00457382732424242,0.000503379589419303,0.00460024808536239
age,-1,RUS,2002-08-31,-150,70,4,0.0532037448439394,0.103240775894715,0.0950171433337153
age,-1,RUS,2002-09-30,-150,66,4,-0.156539152635484,-0.187345384925203,-0.193105545947285
age,-1,RUS,2002-10-31,-150,67,4,0.0905313078912699,0.129713507229204,0.107376690106955
age,-1,RUS,2002-11-30,-156,64,3,-0.0754606857027322,-0.00693933085183833,-0.0251653761355747
age,-1,RUS,2002-12-31,-156,59,3,-0.0149240476232143,-0.00205534270840778,-0.000915705127256826
age,-1,RUS,2003-01-31,-150,63,4,-0.125735906006356,-0.0125904215888627,-0.0327707966082923
age,-1,RUS,2003-02-28,-138,73,6,0.0798021175258706,-0.0330691998896496,-0.0204504165675328
age,-1,RUS,2003-03-31,-132,74,5,-0.0798924307623188,0.00285934716374574,-0.0152182395694021
age,-1,RUS,2003-04-30,-132,75,6,-0.144548423569565,-0.206035711925032,-0.173895865726649
age,-1,RUS,2003-05-31,-150,69,6,-0.0579805144706349,-0.00884041253240875,-0.0334661668365378
age,-1,RUS,2003-06-30,-150,70,6,0.049655127940625,0.120996385119881,0.125296937314785
age,-1,RUS,2003-07-31,-150,78,8,0.0300332496189286,0.0970631759015885,0.0834846534592463
age,-1,RUS,2003-08-31,-150,82,8,-0.0522037182929054,-0.00232267460080271,-0.0119284450426862
age,-1,RUS,2003-09-30,-150,86,8,-0.0597249276705128,0.09336002892641,0.0851150919098247
age,-1,RUS,2003-10-31,-162,94,10,-0.13976770666619,-0.0123157815618047,-0.0348201528086452
age,-1,RUS,2003-11-30,-162,96,10,0.0151547586227907,-0.065278688154165,-0.0662598517678455
age,-1,RUS,2003-12-31,-156,95,9,0.0084180885374677,0.022494205853124,0.00564950988705705
age,-1,RUS,2004-01-31,-156,94,9,0.000520467154509791,-0.0146145872599774,-0.0401916502436001
age,-1,RUS,2004-02-29,-162,94,8,0.139905598212791,0.0570985985762147,0.0783553924336849
age,-1,RUS,2004-03-31,-156,94,9,0.0354263183410458,0.113154772823583,0.112444014604301
age,-1,RUS,2004-04-30,-144,93,8,-0.0300863900419118,0.0060369233737623,-0.00592464458694027
age,-1,RUS,2004-05-31,-144,96,8,-0.0703287729102273,0.00773115818041197,-0.0192267059394145
age,-1,RUS,2004-06-30,-162,96,6,-0.04885100889,-0.0911563621435826,-0.06228942371285
age,-1,RUS,2004-07-31,-162,96,6,-0.02037279593,-0.0563517550071865,-0.0458414477172271
age,-1,RUS,2004-08-31,-174,90,4,0.0261372473715116,0.0968970550560748,0.0610587072943899
age,-1,RUS,2004-09-30,-156,88,5,-0.0159271759826506,-0.11748029668228,-0.102827960209772
age,-1,RUS,2004-10-31,-162,91,6,0.0377253410062745,0.179484544208533,0.183556518043342
age,-1,RUS,2004-11-30,-156,93,7,0.0267754547541528,0.110961511817541,0.128418386345478
age,-1,RUS,2004-12-31,-162,91,6,-0.0210947827590196,-0.0404691405171064,-0.0378450981773428
