characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,SAU,2001-11-30,-192,41,6,0.00438444736809524,0.0445304862077094,0.0427053600194704
age,-1,SAU,2001-12-31,-192,48,9,-0.0338520479752137,-0.0391302906278724,-0.045524611854493
age,-1,SAU,2002-01-31,-192,48,9,-0.00315165333333333,-0.012537227255774,-0.0159913374126073
age,-1,SAU,2002-02-28,-192,48,9,-0.0245156224290598,-0.0125161744608525,-0.0168404142593825
age,-1,SAU,2002-03-31,-192,50,9,-0.0465953062598916,-0.0700455649835521,-0.076768052960337
age,-1,SAU,2002-04-30,-192,50,9,0.258431121025745,0.475839736972874,0.475839009024869
age,-1,SAU,2002-05-31,-192,49,9,0.0294405715302778,0.0196454849413608,0.0250211415455743
age,-1,SAU,2002-06-30,-192,49,9,-0.0178599652436111,0.0190895362211495,0.0152904040539802
age,-1,SAU,2002-07-31,-192,46,5,0.091747932382439,0.110238415505922,0.102046757795467
age,-1,SAU,2002-08-31,-192,46,5,0.0698521881912195,0.0754405275320529,0.0711528437859588
age,-1,SAU,2002-09-30,-192,46,5,0.0631047088517073,0.086275211646556,0.0841134720699573
age,-1,SAU,2002-10-31,-192,45,5,-0.0191632208725,-0.0205853776258773,-0.0242193801622472
age,-1,SAU,2002-11-30,-192,45,5,-0.039340946995,-0.0421810407427659,-0.045472492264225
age,-1,SAU,2002-12-31,-192,45,5,-0.0128295551525,-0.0259621165388263,-0.0269933897454663
age,-1,SAU,2003-01-31,-192,45,5,-0.031826026625,-0.0303762463699763,-0.029262588484586
age,-1,SAU,2003-02-28,-192,45,5,-0.0163047684425,0.0027300696933034,0.00706007121116831
age,-1,SAU,2003-03-31,-192,45,5,-0.00474147545250001,-0.013492014480045,-0.0111798789758782
age,-1,SAU,2003-04-30,-192,46,5,-0.0182552626380488,-0.0128785410768399,-0.00999357669323348
age,-1,SAU,2003-05-31,-192,46,5,-0.0540640709473171,-0.00234809260465732,-0.00311628294927255
age,-1,SAU,2003-06-30,-192,47,5,0.00526043500238095,-0.0230133587847761,-0.0100956376304098
age,-1,SAU,2003-07-31,-192,46,5,-0.0421341270360976,-0.0246789341965433,0.0179303696624897
age,-1,SAU,2003-08-31,-192,47,5,0.41687274486381,0.516881040449812,0.529185564366702
age,-1,SAU,2003-09-30,-192,48,5,-0.0553554430186047,-0.0628927781897367,-0.0647162133437772
age,-1,SAU,2003-10-31,-192,48,5,-0.0901621918023256,-0.12158330780224,-0.125137476328669
age,-1,SAU,2003-11-30,-192,48,5,0.0535217319762791,0.0940634932637227,0.0918839091390787
age,-1,SAU,2003-12-31,-192,49,5,0.034747259205,0.0165541641687048,0.0142204088795139
age,-1,SAU,2004-01-31,-192,49,5,0.0997563306831818,0.13330257065069,0.135951955009752
