characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,SVN,2007-10-31,-252,66,16,0.07914087875725,0.0535614028177269,0.0535614028177269
age,-1,SVN,2007-11-30,-252,62,15,-0.0181440328987234,0.0113100220038022,0.0113100220038022
age,-1,SVN,2007-12-31,-252,59,13,0.0362339778366221,-0.0197006160901286,-0.0197006160901286
age,-1,SVN,2008-01-31,-252,57,12,0.0690399407383333,0.0832806561689687,0.0832806561689687
age,-1,SVN,2008-02-29,-252,61,14,-0.0511981269168693,-0.0534997483188068,-0.0534997483188068
age,-1,SVN,2008-03-31,-252,58,13,0.039103738745641,0.0757873457554441,0.0757873457554441
age,-1,SVN,2008-04-30,-252,57,13,0.00548582295157343,0.0413702730461006,0.0413702730461006
age,-1,SVN,2008-05-31,-252,52,12,-0.0178034112258333,-0.0116550946231874,-0.0116550946231874
age,-1,SVN,2008-06-30,-252,51,12,0.0180408469205128,-0.0216555104952451,-0.0216555104952451
age,-1,SVN,2008-07-31,-252,54,12,-0.0646069690892857,-0.085237677095615,-0.085237677095615
age,-1,SVN,2008-08-31,-252,55,14,0.00496127461393728,0.0487984928661464,0.0487984928661464
age,-1,SVN,2008-09-30,-252,54,13,0.031724687158349,0.0490911049122915,0.0490911049122915
age,-1,SVN,2008-11-30,-252,46,10,0.065729288995,0.0976696367127119,0.0976696367127119
age,-1,SVN,2008-12-31,-252,48,11,0.0521397503687961,0.120634573690094,0.120634573690094
age,-1,SVN,2009-01-31,-252,47,10,-0.143907491624324,-0.183570492394177,-0.183570492394177
age,-1,SVN,2009-02-28,-252,42,10,0.08226465805875,0.134483798044847,0.134483798044847
age,-1,SVN,2009-03-31,-252,43,10,-0.129418849950909,-0.140650909785222,-0.140650909785222
age,-1,SVN,2009-04-30,-252,46,8,-0.0439269947855263,-0.058901804332478,-0.058901804332478
age,-1,SVN,2009-05-31,-252,46,8,-0.260391439190132,-0.183451116264511,-0.183451116264511
age,-1,SVN,2009-06-30,-252,44,8,-0.0108067006138889,-0.0701698455610813,-0.0701698455610813
age,-1,SVN,2009-07-31,-252,43,9,-0.0435975360415033,-0.0818454115802484,-0.0818454115802484
age,-1,SVN,2009-08-31,-252,44,9,-0.13714170933619,-0.0649447851843791,-0.0649447851843791
aliq_at,-1,SVN,2007-10-31,-0.2196654509,16,7,-0.0244158461396825,0.0121501398077247,0.0121501398077247
aliq_at,-1,SVN,2007-11-30,-0.19785123165,17,7,-0.0111629345785714,-0.0195577807615453,-0.0195577807615453
aliq_at,-1,SVN,2007-12-31,-0.2134086732,16,8,-0.0104311982625,-0.00865360552619054,-0.00865360552619054
aliq_at,-1,SVN,2008-01-31,-0.2134086732,16,8,-0.0479523629125,-0.0928226053114071,-0.0928226053114071
aliq_at,-1,SVN,2008-02-29,-0.1611119245,17,8,-0.0205451004333333,-0.0320667023583802,-0.0320667023583802
aliq_at,-1,SVN,2008-03-31,-0.1611119245,17,8,-0.00643791005138889,-0.0288330461429897,-0.0288330461429897
aliq_at,-1,SVN,2008-04-30,-0.170783983,16,7,-0.0481519389936508,-0.0356505909888009,-0.0356505909888009
