characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
at_be,-1,TTO,2020-04-30,-6.0308872836,10,4,-0.0837942403083333,-0.0958424711436971,-0.0958424711436971
at_be,-1,TTO,2022-09-30,-7.05128560945,15,4,-0.0254129225363636,-0.0331096530150406,-0.0331096530150406
at_be,-1,TTO,2022-10-31,-7.05128560945,15,4,0.0139650977863636,0.00797790236588023,0.00797790236588023
at_be,-1,TTO,2022-11-30,-6.8817465141,15,4,-0.0341988213090909,-0.0376906058846581,-0.0376906058846581
at_be,-1,TTO,2022-12-31,-6.8817465141,15,4,-0.0111156063795455,-0.0173042189153429,-0.0173042189153429
at_gr1,-1,TTO,2020-04-30,-0.11787698575,12,6,-0.0811293206333333,-0.038401501791745,-0.038401501791745
at_gr1,-1,TTO,2022-09-30,-0.14463948,14,6,-0.0140545952833333,0.0147875612254084,0.0147875612254084
at_gr1,-1,TTO,2022-10-31,-0.127362515,16,7,0.0110508085079365,0.0190107878975139,0.0190107878975139
at_gr1,-1,TTO,2022-11-30,-0.1238796511,16,6,0.00173997589333333,0.0193822428058904,0.0193822428058904
at_gr1,-1,TTO,2022-12-31,-0.142544997,16,5,-0.0569112024636364,-0.0461122261434459,-0.0461122261434459
at_me,1,TTO,2020-04-30,2.7915503317,13,6,0.13049033302381,0.0706681645697095,0.0706681645697095
at_me,1,TTO,2022-09-30,5.06069519165,9,3,0.01279246635,0.0295443435457514,0.0295443435457514
at_me,1,TTO,2022-10-31,4.7793613167,10,4,0.0236653607166667,0.00167935412808353,0.00167935412808353
at_me,1,TTO,2022-11-30,4.8105746672,10,3,0.0293135154571429,0.0542037980355261,0.0542037980355261
at_me,1,TTO,2022-12-31,4.5475256614,10,3,0.0072745915952381,0.00153324754269962,0.00153324754269962
at_turnover,1,TTO,2020-04-30,0.8526049334,12,3,0.0853885439666667,0.00636457358144179,0.00636457358144179
at_turnover,1,TTO,2022-09-30,0.9121718986,12,5,-0.0161407853,-0.0207883733268426,-0.0207883733268426
at_turnover,1,TTO,2022-10-31,0.9121718986,12,5,-0.00184250661428571,-0.000866457222378655,-0.000866457222378655
at_turnover,1,TTO,2022-11-30,0.91650096865,11,4,-0.0181126150214286,-0.0305928679192887,-0.0305928679192887
at_turnover,1,TTO,2022-12-31,0.91645299515,11,4,-0.0276442548964286,-0.014610823235621,-0.014610823235621
be_gr1a,-1,TTO,2020-04-30,-0.0764127251,15,7,0.002310706525,-0.0219949938215152,-0.0219949938215152
be_gr1a,-1,TTO,2022-09-30,-0.04203267165,16,4,-0.00952375025833333,0.0168577091950216,0.0168577091950216
be_gr1a,-1,TTO,2022-10-31,-0.07690304625,13,5,0.01458952447,0.0143816406807674,0.0143816406807674
be_gr1a,-1,TTO,2022-11-30,-0.0384789273,17,4,-0.0108496360480769,-0.0341564665036572,-0.0341564665036572
be_gr1a,-1,TTO,2022-12-31,-0.0529758774,17,4,-0.0377586044019231,-0.0122552463968426,-0.0122552463968426
be_me,1,TTO,2020-04-30,0.94242268975,11,3,0.0240879045458333,-0.0133509663833798,-0.0133509663833798
be_me,1,TTO,2022-09-30,1.30630512865,15,3,0.0165140052583333,0.00850574654268907,0.00850574654268907
be_me,1,TTO,2022-10-31,1.4396913737,15,4,0.00792115467272727,-0.0103024786621461,-0.0103024786621461
be_me,1,TTO,2022-11-30,1.1684167461,16,3,0.0139940111897436,-0.00026071107005802,-0.00026071107005802
be_me,1,TTO,2022-12-31,1.2171957294,16,3,0.0443199704051282,0.0442234134883257,0.0442234134883257
beta_60m,-1,TTO,2020-04-30,-1.09027950715,10,4,-0.021484852475,-0.0370976298927907,-0.0370976298927907
beta_60m,-1,TTO,2022-09-30,-0.74104481775,14,6,0.0105594826291667,0.00703205156099824,0.00703205156099824
beta_60m,-1,TTO,2022-10-31,-1.0999809084,9,4,-0.02334402104,-0.0174916979690847,-0.0174916979690847
beta_60m,-1,TTO,2022-11-30,-0.69821208635,15,7,0.0155468292482143,-0.0413295666414087,-0.0413295666414087
beta_60m,-1,TTO,2022-12-31,-0.70376189685,15,7,0.00927563666785714,0.0538099662079507,0.0538099662079507
bev_mev,1,TTO,2020-04-30,0.754696107,13,5,0.0527405532125,0.00757793297441755,0.00757793297441755
bev_mev,1,TTO,2022-09-30,1.2903469983,14,3,0.0179381945030303,0.00996327449212134,0.00996327449212134
bev_mev,1,TTO,2022-10-31,1.25182013765,14,4,-0.00165495492,-0.0168206820652695,-0.0168206820652695
bev_mev,1,TTO,2022-11-30,1.2354923192,14,3,0.00675730073939394,-0.0154453582908884,-0.0154453582908884
bev_mev,1,TTO,2022-12-31,1.16072393125,15,3,0.0429181127333333,0.059565350431985,0.059565350431985
bidaskhl_21d,1,TTO,2020-04-30,0.02396884,14,5,0.00289647125555556,-0.0337925422794256,-0.0337925422794256
bidaskhl_21d,1,TTO,2022-09-30,0.03390316,15,5,-0.02016570497,-0.0162817736965114,-0.0162817736965114
bidaskhl_21d,1,TTO,2022-10-31,0.023773055,15,7,-0.0021728887125,0.000811062145156291,0.000811062145156291
bidaskhl_21d,1,TTO,2022-11-30,0.01411971,15,4,-0.0236524856886364,-0.0380806941087743,-0.0380806941087743
bidaskhl_21d,1,TTO,2022-12-31,0.014981005,17,6,-0.0835279030454545,-0.00476912004318261,-0.00476912004318261
cash_at,1,TTO,2020-04-30,0.2727504373,11,4,0.00722915957857143,0.0339180287623073,0.0339180287623073
cash_at,1,TTO,2022-09-30,0.29877409835,16,4,-0.00961423718333333,-0.00596558401480109,-0.00596558401480109
cash_at,1,TTO,2022-10-31,0.29877409835,16,4,-0.0202631661833333,-0.0156042065720917,-0.0156042065720917
cash_at,1,TTO,2022-11-30,0.24743775,16,4,0.0192688448333333,0.0336295284579636,0.0336295284579636
cash_at,1,TTO,2022-12-31,0.2517415652,16,4,-0.046132786475,-0.0625366074011803,-0.0625366074011803
chcsho_12m,-1,TTO,2020-04-30,-0.0005387538,19,3,-0.00241900470625,0.0267853888414617,0.0267853888414617
chcsho_12m,-1,TTO,2022-09-30,-0.002216765,20,1,-0.0490205734631579,-0.0562559098372172,-0.0562559098372172
chcsho_12m,-1,TTO,2022-10-31,-0.002216765,20,1,0.0147840136,0.0300159349950089,0.0300159349950089
chcsho_12m,-1,TTO,2022-11-30,-0.002216765,20,1,-0.0583869208736842,-0.0695801168752979,-0.0695801168752979
chcsho_12m,-1,TTO,2022-12-31,-0.002216765,20,1,-0.0206049095368421,-0.0109506689056627,-0.0109506689056627
dbnetis_at,-1,TTO,2020-04-30,-0.0325670652,13,6,-0.0116890802928571,0.00156367517759649,0.00156367517759649
dbnetis_at,-1,TTO,2022-09-30,-0.0356415289,15,5,-0.00424686691,0.0124148551389341,0.0124148551389341
dbnetis_at,-1,TTO,2022-10-31,-0.0324843574,16,5,0.0474807151636364,0.0351513822461406,0.0351513822461406
dbnetis_at,-1,TTO,2022-11-30,-0.02597040705,14,6,0.0140315863,-0.0112572297438225,-0.0112572297438225
dbnetis_at,-1,TTO,2022-12-31,-0.0222552605,14,7,-0.0213148464285714,0.0348079396073988,0.0348079396073988
debt_me,1,TTO,2020-04-30,0.635803869,10,3,0.115605973761905,0.0527883570142086,0.0527883570142086
debt_me,1,TTO,2022-09-30,0.3772226066,14,5,-0.000159451664444445,0.00809183394659411,0.00809183394659411
debt_me,1,TTO,2022-10-31,0.3798369442,14,5,-0.00937441198,-0.0132622546399126,-0.0132622546399126
debt_me,1,TTO,2022-11-30,0.38916274145,15,5,0.00731260804,0.0301486960176203,0.0301486960176203
debt_me,1,TTO,2022-12-31,0.3860939851,15,5,0.04902401058,0.0299692519372164,0.0299692519372164
div12m_me,1,TTO,2020-04-30,0.0324195316,11,4,0.0587480655642857,0.0449777748560491,0.0449777748560491
div12m_me,1,TTO,2022-09-30,0.0231652973,15,6,0.0187892102555556,0.0239357388251081,0.0239357388251081
div12m_me,1,TTO,2022-10-31,0.03457654895,14,6,6.03421208333326e-05,-0.00292018493537068,-0.00292018493537068
div12m_me,1,TTO,2022-11-30,0.0355922127,14,5,0.0102551792933333,-0.00977727656254079,-0.00977727656254079
