characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,UKR,2008-12-31,-288,32,10,-0.120864841682727,-0.0699085209070602,-0.0699085209070602
age,-1,UKR,2009-01-31,-288,37,13,0.00519156948782051,-0.0246571325658956,-0.0246571325658956
age,-1,UKR,2009-05-31,-288,37,10,-0.192723034175185,-0.248867296732757,-0.248867296732757
age,-1,UKR,2009-06-30,-288,34,9,0.0673530929671111,0.053583387570485,0.053583387570485
age,-1,UKR,2009-10-31,-288,36,9,0.112156428107407,0.109459145339522,0.109459145339522
age,-1,UKR,2009-11-30,-288,32,8,-0.0710140088041667,-0.0516052687883165,-0.0516052687883165
age,-1,UKR,2009-12-31,-288,35,10,0.053842044794,0.0244306659733337,0.0244306659733337
age,-1,UKR,2010-02-28,-288,37,11,-0.107867885317133,0.126994279817771,0.126994279817771
age,-1,UKR,2010-03-31,-288,42,13,0.00211292696180371,0.321026076323514,0.321026076323514
age,-1,UKR,2010-04-30,-300,20,7,0.171706989026374,-0.107267875893612,-0.107267875893612
age,-1,UKR,2010-05-31,-300,20,8,0.144816958625,0.0479028619885369,0.0479028619885369
age,-1,UKR,2010-06-30,-288,46,13,-0.0492947195130536,-0.041416332595674,-0.041416332595674
age,-1,UKR,2010-07-31,-288,46,14,-0.00228557007366071,0.0613949681977532,0.0613949681977532
age,-1,UKR,2010-08-31,-288,46,13,-0.0576173356130536,0.0610733530760689,0.0610733530760689
age,-1,UKR,2010-09-30,-306,23,10,0.0495938639307692,0.107303683644898,0.107303683644898
age,-1,UKR,2010-10-31,-288,50,13,0.00417057343409563,-0.0116340621177772,-0.0116340621177772
age,-1,UKR,2010-11-30,-288,45,13,-0.0541168914088942,-0.0207064227447289,-0.0207064227447289
age,-1,UKR,2010-12-31,-288,47,14,-0.00463697966515152,-0.0532400031719473,-0.0532400031719473
age,-1,UKR,2011-01-31,-288,51,14,-0.00521944199305019,0.0404110217396418,0.0404110217396418
age,-1,UKR,2011-02-28,-288,48,14,-0.0404826727180672,-0.131177306915381,-0.131177306915381
age,-1,UKR,2011-03-31,-288,48,15,-0.0124399896642424,0.00177113996527239,0.00177113996527239
age,-1,UKR,2011-04-30,-288,44,14,-0.0149854611495238,-0.0923086812894618,-0.0923086812894618
age,-1,UKR,2011-05-31,-288,45,14,0.0171677841147466,0.0412692844685207,0.0412692844685207
age,-1,UKR,2011-06-30,-288,44,13,0.0366899742808933,0.0474948777985942,0.0474948777985942
age,-1,UKR,2011-07-31,-288,41,13,0.00142557997747253,0.0488730162911845,0.0488730162911845
age,-1,UKR,2011-08-31,-288,41,13,0.0883221182142857,0.0823092970649512,0.0823092970649512
age,-1,UKR,2011-09-30,-288,42,14,0.032155210225,0.000271867944469303,0.000271867944469303
age,-1,UKR,2011-10-31,-288,43,15,0.0217775685597619,0.194169514353007,0.194169514353007
age,-1,UKR,2011-11-30,-288,44,15,0.0319306686662069,-0.0588002276338909,-0.0588002276338909
age,-1,UKR,2012-01-31,-300,22,9,0.0760921818435897,0.256367008606608,0.256367008606608
ami_126d,1,UKR,2010-03-31,4.46655405,13,4,0.0299659993583333,0.055997952785273,0.055997952785273
ami_126d,1,UKR,2010-04-30,5.51391129,12,4,0.0623847871,0.0266065897368365,0.0266065897368365
ami_126d,1,UKR,2010-05-31,4.29063779,12,4,-0.01113812075,-0.0338694202026725,-0.0338694202026725
ami_126d,1,UKR,2010-06-30,7.832547105,13,6,0.10409169882381,0.129452847173814,0.129452847173814
ami_126d,1,UKR,2010-07-31,5.02439916,16,7,-0.0144850006698413,-0.066345837318911,-0.066345837318911
ami_126d,1,UKR,2010-08-31,4.35322776,19,8,-0.122034489729545,-0.156455046544395,-0.156455046544395
ami_126d,1,UKR,2010-09-30,8.469405245,14,6,-0.0553223084125,-0.142179961594419,-0.142179961594419
ami_126d,1,UKR,2010-10-31,8.324778905,15,6,-0.0387608665555556,-0.0618366638060976,-0.0618366638060976
ami_126d,1,UKR,2010-11-30,15.12398736,17,8,-0.1010055200625,-0.148570288035546,-0.148570288035546
ami_126d,1,UKR,2010-12-31,5.20666589,15,6,-0.0406476571888889,-0.210224115940302,-0.210224115940302
ami_126d,1,UKR,2011-01-31,4.169667835,17,6,-0.0658424397681818,-0.0203706885902355,-0.0203706885902355
ami_126d,1,UKR,2011-02-28,1.05320865,18,5,-0.0238770929907692,-0.247970221658528,-0.247970221658528
ami_126d,1,UKR,2011-03-31,0.846544455,19,7,0.01370541695,0.0355643079114152,0.0355643079114152
ami_126d,1,UKR,2011-04-30,3.71314888,20,7,-0.106536236949451,-0.132828177844171,-0.132828177844171
ami_126d,1,UKR,2011-05-31,10.601855345,19,5,-0.0550487696714286,-0.0213134444108672,-0.0213134444108672
ami_126d,1,UKR,2011-06-30,19.64945221,16,5,-0.00141209122727273,0.0691498120914857,0.0691498120914857
ami_126d,1,UKR,2011-07-31,27.25046076,20,5,-0.03465479738,0.0295373812928126,0.0295373812928126
ami_126d,1,UKR,2011-08-31,38.42395985,22,5,0.0544730003647059,0.0715581205310249,0.0715581205310249
ami_126d,1,UKR,2011-10-31,299.99382811,20,7,-0.111138676678022,-0.0979041249572957,-0.0979041249572957
at_be,-1,UKR,2010-05-31,-5.9283475838,14,5,0.00718036080000001,-0.0334360193842583,-0.0334360193842583
at_be,-1,UKR,2010-06-30,-5.18922880885,16,6,0.08244634351,0.22532942705522,0.22532942705522
at_be,-1,UKR,2010-07-31,-5.18922880885,16,6,-0.0151866554466667,-0.0730285064469984,-0.0730285064469984
at_be,-1,UKR,2010-08-31,-6.1253109025,14,6,-0.0138150587,-0.0689978295084906,-0.0689978295084906
at_be,-1,UKR,2010-09-30,-6.1253109025,14,6,0.00353908121666667,0.00195657345473878,0.00195657345473878
at_be,-1,UKR,2010-10-31,-6.1253109025,14,6,-0.0387329680625,-0.0189722331771116,-0.0189722331771116
at_be,-1,UKR,2010-11-30,-6.1253109025,14,6,0.0305467377666667,0.0388449127374765,0.0388449127374765
at_be,-1,UKR,2010-12-31,-6.1253109025,14,6,0.0871571264166667,0.127951906363952,0.127951906363952
at_be,-1,UKR,2011-01-31,-5.7383204237,15,6,0.0397631163722222,0.0189653244232233,0.0189653244232233
at_be,-1,UKR,2011-02-28,-4.9502273855,15,6,0.0617530276333333,0.0224277473074954,0.0224277473074954
at_be,-1,UKR,2011-03-31,-4.9502273855,15,6,-0.00108779187777778,-0.0160767132349918,-0.0160767132349918
at_be,-1,UKR,2011-04-30,-4.02467021655,16,6,0.0114614161666667,0.00256726781548611,0.00256726781548611
at_be,-1,UKR,2011-05-31,-3.0265838676,16,5,-0.0198730143836364,-0.0484855343721397,-0.0484855343721397
at_be,-1,UKR,2011-06-30,-2.527015486,15,5,0.05510045342,0.0430613377224737,0.0430613377224737
at_be,-1,UKR,2011-07-31,-3.0265838676,16,5,-0.104229792003636,-0.175771611426544,-0.175771611426544
at_be,-1,UKR,2011-08-31,-2.91171018255,15,7,0.229882706155357,0.077584093923804,0.077584093923804
at_gr1,-1,UKR,2011-05-31,-0.43106590305,11,5,-0.0102566497966667,0.0547684210370789,0.0547684210370789
at_gr1,-1,UKR,2011-06-30,-0.2930718931,9,4,-0.06329675076,-0.0693552570137878,-0.0693552570137878
at_gr1,-1,UKR,2011-07-31,-0.2930718931,9,4,-0.01398422126,-0.0650933480517725,-0.0650933480517725
at_me,1,UKR,2010-05-31,6.0761289069,13,3,0.09561169938,0.0633689569336,0.0633689569336
at_me,1,UKR,2010-06-30,3.49716867105,15,3,-0.4199494375,-0.614341840451408,-0.614341840451408
at_me,1,UKR,2010-07-31,3.78734521335,16,4,-0.0425473715916667,0.0419580144566619,0.0419580144566619
at_me,1,UKR,2010-08-31,5.62668203295,13,4,0.12006825395,0.18320254975752,0.18320254975752
at_me,1,UKR,2010-09-30,5.61141691065,13,4,0.0248116236361111,0.100579350089428,0.100579350089428
at_me,1,UKR,2010-10-31,6.0204446263,13,4,-0.0127404978777778,-0.0141531199386711,-0.0141531199386711
at_me,1,UKR,2010-11-30,7.19729826185,13,4,0.0587030018611111,0.0981904474625881,0.0981904474625881
at_me,1,UKR,2010-12-31,5.5099189665,14,4,-0.034890597935,-0.11037739901275,-0.11037739901275
at_me,1,UKR,2011-01-31,5.42536411425,13,4,0.0116007269361111,0.0241602957119136,0.0241602957119136
at_me,1,UKR,2011-02-28,4.78895257965,13,4,0.000121536522222222,-0.00451450634221755,-0.00451450634221755
at_me,1,UKR,2011-03-31,4.3274543932,14,4,0.03792317487,0.0682551530532935,0.0682551530532935
at_me,1,UKR,2011-04-30,4.1781386595,16,6,0.0172878844133333,-0.0505049803308777,-0.0505049803308777
at_me,1,UKR,2011-05-31,1.9660104476,19,5,0.00210714372714286,0.00034352233081715,0.00034352233081715
at_me,1,UKR,2011-06-30,2.8636238006,16,5,-0.0127676568,-0.0499542594956819,-0.0499542594956819
at_me,1,UKR,2011-07-31,4.5202301298,16,5,-0.0633761939836364,-0.200661624897599,-0.200661624897599
at_me,1,UKR,2011-08-31,2.0778370453,17,4,0.0701697456,0.0351877480993059,0.0351877480993059
at_turnover,1,UKR,2011-05-31,1.395138903,17,8,-0.00436970297361111,-0.0226433468798713,-0.0226433468798713
at_turnover,1,UKR,2011-06-30,1.277863861,15,7,-0.00754111317321429,-0.0145041372478866,-0.0145041372478866
at_turnover,1,UKR,2011-07-31,1.2858445519,16,7,-0.103371322957143,-0.0978810097028055,-0.0978810097028055
be_gr1a,-1,UKR,2011-05-31,-0.1956340737,15,5,-0.0342396604,-0.00920449477076227,-0.00920449477076227
be_gr1a,-1,UKR,2011-06-30,-0.2029608925,13,4,0.015523797125,0.0640144468541045,0.0640144468541045
be_gr1a,-1,UKR,2011-07-31,-0.1962413142,14,4,0.068879004545,0.109075695793974,0.109075695793974
be_me,1,UKR,2010-05-31,0.6301382796,14,3,0.0661519081030303,0.0208461650861418,0.0208461650861418
be_me,1,UKR,2010-06-30,0.72827972565,15,3,-0.069016941725,-0.107576096793335,-0.107576096793335
be_me,1,UKR,2010-07-31,0.75051606005,15,3,-0.00265921819166667,0.0112087109845054,0.0112087109845054
be_me,1,UKR,2010-08-31,0.7122014649,12,3,0.1260136303,0.189513011639361,0.189513011639361
be_me,1,UKR,2010-09-30,0.5840833464,12,3,0.0482119591666667,0.109468787509496,0.109468787509496
be_me,1,UKR,2010-10-31,0.6175882329,12,3,-0.0125441850444444,-0.0139946636442577,-0.0139946636442577
be_me,1,UKR,2010-11-30,0.74457748655,12,4,0.082861609625,0.115552387714197,0.115552387714197
be_me,1,UKR,2010-12-31,0.64616583105,13,4,-0.0107719629694445,-0.0392912251679852,-0.0392912251679852
be_me,1,UKR,2011-01-31,0.5513408164,14,5,0.0397859847444444,0.0316236699899043,0.0316236699899043
be_me,1,UKR,2011-02-28,0.5705380401,14,4,0.01649039938,0.0361901308721676,0.0361901308721676
be_me,1,UKR,2011-03-31,0.5809665601,14,4,0.03881445462,0.0762001848540835,0.0762001848540835
be_me,1,UKR,2011-04-30,0.5453659578,15,5,0.03113748523,-0.0868916142360719,-0.0868916142360719
be_me,1,UKR,2011-05-31,0.5681458734,15,4,0.0268152703363636,0.00833984172862999,0.00833984172862999
be_me,1,UKR,2011-06-30,0.59059730745,13,4,0.0151347200611111,-0.0436329765265431,-0.0436329765265431
be_me,1,UKR,2011-07-31,0.8343896274,13,4,-0.112354372108333,-0.226184848558283,-0.226184848558283
be_me,1,UKR,2011-08-31,0.600075004,15,5,0.12263994922,0.0564674915925628,0.0564674915925628
beta_dimson_21d,-1,UKR,2010-03-31,-1.379438355,11,5,-0.0865209996766667,0.00786638348966995,0.00786638348966995
beta_dimson_21d,-1,UKR,2010-04-30,-1.3585977,16,7,0.056611990231746,0.153952885669726,0.153952885669726
beta_dimson_21d,-1,UKR,2010-05-31,-0.837362035,17,6,0.0325222740454545,0.00320722823079062,0.00320722823079062
beta_dimson_21d,-1,UKR,2010-06-30,-0.700797895,13,6,-0.0387502853571429,0.0196653571972567,0.0196653571972567
beta_dimson_21d,-1,UKR,2010-07-31,-0.574574825,19,6,0.044872856098718,0.0756726385915959,0.0756726385915959
beta_dimson_21d,-1,UKR,2010-08-31,-1.06660049,16,8,0.0391305009875,0.0795517390751497,0.0795517390751497
beta_dimson_21d,-1,UKR,2010-09-30,-1.66485706,16,5,0.0108114697472727,-0.0267451113861458,-0.0267451113861458
beta_dimson_21d,-1,UKR,2010-10-31,-1.19574892,14,4,0.01735114078,0.060287186769905,0.060287186769905
beta_dimson_21d,-1,UKR,2010-11-30,-0.64012932,21,8,0.00710714263557691,0.0143917050877929,0.0143917050877929
beta_dimson_21d,-1,UKR,2010-12-31,-1.52094964,18,9,-0.183067278433333,-0.0209147246637774,-0.0209147246637774
beta_dimson_21d,-1,UKR,2011-01-31,-1.01861929,20,9,-0.0151761406212121,-0.0109636209844903,-0.0109636209844903
beta_dimson_21d,-1,UKR,2011-02-28,-2.727117315,13,4,0.156494886491667,0.323411717194934,0.323411717194934
beta_dimson_21d,-1,UKR,2011-03-31,-1.259907445,15,5,-0.05036615448,-0.0632219233349477,-0.0632219233349477
beta_dimson_21d,-1,UKR,2011-04-30,-1.16455331,15,5,-0.1023522476,-0.109909848807533,-0.109909848807533
beta_dimson_21d,-1,UKR,2011-05-31,-1.659637495,19,9,0.0758902598777778,0.0399530119895819,0.0399530119895819
beta_dimson_21d,-1,UKR,2011-06-30,-0.781961155,19,7,-0.0583768896964286,-0.0790784560529522,-0.0790784560529522
beta_dimson_21d,-1,UKR,2011-07-31,-2.32212382,16,6,0.01439089837,0.00399660101764579,0.00399660101764579
beta_dimson_21d,-1,UKR,2011-08-31,-1.171401575,16,6,0.156388174416667,0.0490907662542978,0.0490907662542978
beta_dimson_21d,-1,UKR,2011-10-31,-1.14884932,15,7,-0.0890655920267857,-0.097423304715769,-0.097423304715769
