characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,VEN,1991-01-31,-72,15,1,0.405119416035714,0.356261293893442,0.356261293893442
age,-1,VEN,1991-02-28,-72,15,1,-0.229882171042857,-0.178815618596728,-0.178815618596728
age,-1,VEN,1991-03-31,-72,15,1,0.60722603805,0.580554441593037,0.580554441593037
age,-1,VEN,1991-04-30,-72,15,1,-0.112719167528571,-0.0942406939159843,-0.0942406939159843
age,-1,VEN,1991-05-31,-72,15,1,-0.0266449244071429,-0.0160032061712497,-0.0160032061712497
age,-1,VEN,1991-06-30,-72,15,1,-0.04427803785,-0.0508700836974064,-0.0508700836974064
age,-1,VEN,1991-07-31,-72,15,1,-0.629552501435714,-0.615366477145967,-0.615366477145967
age,-1,VEN,1991-08-31,-72,15,1,0.355554976142857,0.346146849502631,0.346146849502631
age,-1,VEN,1991-09-30,-72,15,1,0.513171044471429,0.540533042942718,0.540533042942718
age,-1,VEN,1991-10-31,-72,15,1,-0.118911321185714,-0.181177252448662,-0.181177252448662
age,-1,VEN,1991-11-30,-72,15,1,-0.154576662571429,-0.117129044173725,-0.117129044173725
age,-1,VEN,1991-12-31,-72,15,1,-0.138505733485714,-0.135636065168405,-0.135636065168405
age,-1,VEN,1992-01-31,-72,15,1,-0.0976881925714286,-0.0934190872242723,-0.0934190872242723
age,-1,VEN,1992-02-29,-72,15,1,-0.114742125292857,-0.022602115460805,-0.0235703053552357
age,-1,VEN,1992-03-31,-72,15,1,0.130624710578571,0.188116329607994,0.182992216579517
age,-1,VEN,1992-04-30,-84,19,2,-0.181185561541176,-0.0881035926893219,-0.0881035926893219
age,-1,VEN,1992-05-31,-84,19,2,0.196161524426471,0.0579313209550218,0.0579313209550218
age,-1,VEN,1992-06-30,-96,19,3,0.0293479729020833,0.0526565383801357,0.0526565383801357
age,-1,VEN,1992-07-31,-84,17,2,-0.00329229164333333,-0.0627983779245876,-0.0627983779245876
age,-1,VEN,1992-08-31,-84,18,2,0.1436646380625,0.101084986788691,0.101084986788691
age,-1,VEN,1992-09-30,-84,19,2,-0.0337966160941177,-0.0551802958784718,-0.00965821629065089
age,-1,VEN,1992-10-31,-84,17,2,-0.084786915,-0.0899749883460287,-0.0899749883460287
age,-1,VEN,1992-11-30,-72,15,1,0.0161285821214286,-0.0123774671492746,-0.0123774671492746
age,-1,VEN,1992-12-31,-72,16,1,0.0325469111666667,0.0423739544226383,0.0423739544226383
age,-1,VEN,1993-01-31,-72,16,1,-0.000925327780000006,0.0793297744507469,0.0793297744507469
age,-1,VEN,1993-02-28,-90,18,2,0.07009723156875,-0.0444679994533373,-0.0444679994533373
age,-1,VEN,1993-03-31,-96,20,3,0.0439137601235294,0.0745595773361612,0.0745595773361612
age,-1,VEN,1993-04-30,-96,20,3,-0.152980791133333,-0.223675035952385,-0.223675035952385
age,-1,VEN,1993-05-31,-90,19,2,-0.0625800572617647,-0.0791747040275079,-0.0791747040275079
age,-1,VEN,1993-06-30,-90,19,2,-0.0975995358294118,-0.0824049157984641,-0.0824049157984641
age,-1,VEN,1997-10-31,-144,41,1,0.0104321572275,0.0556091222391708,0.0556091222391708
age,-1,VEN,2015-04-30,-342,19,2,-0.226391386770588,-0.285218707505442,-0.237458703390229
age,-1,VEN,2015-05-31,-342,17,2,-0.505214209753367,-0.684463898852983,-0.679255452962488
age,-1,VEN,2015-06-30,-342,17,2,-0.320374057366467,-0.122162338448382,-0.184858498951333
age,-1,VEN,2015-07-31,-342,18,2,-0.60522424030625,-0.146145555761681,-0.255664441548744
age,-1,VEN,2015-08-31,-342,19,2,-0.0126769691235294,0.0221778289293973,0.0415348991593395
age,-1,VEN,2015-09-30,-342,17,2,0.0677480874671333,0.154289592214828,0.129783490580051
age,-1,VEN,2015-10-31,-342,18,2,-0.00127124665625,0.0916167924422887,0.0117161928463198
age,-1,VEN,2015-11-30,-342,19,2,-0.1643894155618,-0.191515531422813,-0.158721543446961
