characteristic,direction,excntry,eom,signal,n_stocks,n_stocks_min,ret_ew,ret_vw,ret_vw_cap
age,-1,ZWE,2007-01-31,-246,52,2,-0.3104236166,-0.135189369697269,-0.135189369697269
age,-1,ZWE,2007-02-28,-246,52,2,-0.165873665298,-0.411441507518683,-0.411441507518683
age,-1,ZWE,2007-03-31,-264,67,8,-0.113682459130932,-0.214689295898581,-0.214689295898581
age,-1,ZWE,2007-04-30,-264,67,8,-0.0585208318881355,0.12935034576283,0.100729224388827
age,-1,ZWE,2007-05-31,-264,67,8,0.340689114376483,0.219720761389732,0.167111379146038
age,-1,ZWE,2007-06-30,-264,67,8,-0.0272518091300849,-0.0680620854692975,-0.0451525755739417
age,-1,ZWE,2007-07-31,-264,67,8,0.0100113400364407,-0.00619884103524293,0.000769399742679117
age,-1,ZWE,2007-08-31,-264,67,8,-0.0809640105576271,-0.0658175293140749,-0.137878948690291
age,-1,ZWE,2007-09-30,-264,68,8,0,0,0
age,-1,ZWE,2007-10-31,-264,69,8,-0.436652297689139,-0.430803329558624,-0.430803329558624
age,-1,ZWE,2007-11-30,-264,69,8,0.0669741374969264,0.113274684736828,0.111918013570271
age,-1,ZWE,2007-12-31,-264,69,8,0.116814743357172,-0.0403989625455851,-0.0360660777753324
age,-1,ZWE,2008-01-31,-264,69,8,0.404206755709836,0.47734084574809,0.398674372443656
age,-1,ZWE,2008-02-29,-264,67,8,-0.334721618730085,-0.369380566179582,-0.30158903225855
age,-1,ZWE,2008-03-31,-264,67,8,-0.43695032590572,-0.668770607664742,-0.55889249089379
age,-1,ZWE,2008-04-30,-264,67,8,-5.76221438559621e-05,-0.00285231519319074,-0.000646289774529185
age,-1,ZWE,2008-05-31,-264,67,8,0.124423508626907,0.232344226247925,0.113738358119487
age,-1,ZWE,2008-06-30,-264,64,8,0.0904302647589286,0.125767987183255,0.0948204026422613
age,-1,ZWE,2008-07-31,-264,64,8,0,-1.11022302462516e-16,0
age,-1,ZWE,2008-08-31,-264,67,8,-0.266659137426907,-0.456623170934889,-0.456623170934889
age,-1,ZWE,2008-09-30,-264,67,8,0,1.11022302462516e-16,0
age,-1,ZWE,2008-10-31,-264,68,8,-0.647608497465,-0.997087306307391,-0.648816872652076
age,-1,ZWE,2008-11-30,-276,63,7,0.766637527125,2.23338732614974,0.847588680542034
aliq_at,-1,ZWE,2007-04-30,-67.451334323,17,7,-0.309227126771429,0.154809683007896,0.167811464879912
aliq_at,-1,ZWE,2007-05-31,-59079.3683071304,14,6,0.876716946745833,1.00544366191002,0.967814968548704
aliq_at,-1,ZWE,2007-06-30,-59079.355758799,14,6,-0.2381773362,-0.106031771390045,-0.268961744226445
aliq_at,-1,ZWE,2007-07-31,-59079.2289835317,15,7,-0.081144388275,-0.208080934420694,-0.0433050759362631
aliq_at,-1,ZWE,2007-08-31,-4450.47281783055,16,8,0.0665791288375,-0.000522050679964414,-0.00747781201483201
aliq_at,-1,ZWE,2007-09-30,-4451.2978849277,15,7,0,0,0
aliq_at,-1,ZWE,2007-11-30,-119795.176518833,12,5,0.186743897697143,0.117175431225463,0.111937641125416
aliq_at,-1,ZWE,2007-12-31,-86315.7368430144,17,8,-0.0396338900902777,0.057228609548476,0.0190153108004397
aliq_at,-1,ZWE,2008-01-31,-69395.3089896817,17,7,0.168580614181429,-0.170586815808511,-0.0906009919236635
aliq_at,-1,ZWE,2008-02-29,-33713.3559491758,16,7,0.132986199134921,-0.111860962915499,-0.136909113019607
aliq_at,-1,ZWE,2008-03-31,-43096.8959537725,16,8,0.1617341065125,-0.131872684447103,0.126754585962053
aliq_at,-1,ZWE,2008-04-30,-43096.8959537725,16,8,0,0,0
aliq_at,-1,ZWE,2008-05-31,-553.3483119535,17,8,0.197596542554167,0.310389686626857,0.196154496997987
aliq_at,-1,ZWE,2008-06-30,-496.0451095085,16,8,0.3739681163125,0.199207843229107,0.3739681163125
aliq_at,-1,ZWE,2008-07-31,-496.0451095085,16,8,0,0,1.11022302462516e-16
aliq_at,-1,ZWE,2008-08-31,-6128.41857492645,15,6,0.135735365483333,-0.217883345798663,-0.217883345798663
aliq_at,-1,ZWE,2008-09-30,-6128.41857492645,15,6,0,1.11022302462516e-16,0
aliq_at,-1,ZWE,2008-10-31,-19921.2406061535,16,8,0.4071878131625,-0.329172269368265,0.411596157370095
aliq_at,-1,ZWE,2008-11-30,-232.07616330465,12,6,0.0514307543333334,0.150557711667304,0.0159192809990076
aliq_mat,-1,ZWE,2007-04-30,-1.77294756175,16,8,-0.2600915183875,-0.103266171639723,-0.0681171478090948
aliq_mat,-1,ZWE,2007-05-31,-3448.0550257761,14,7,0.5276756212,0.59643132786019,0.499950968549566
aliq_mat,-1,ZWE,2007-06-30,-3203.8633344212,14,7,-0.204152002457143,-0.0816707179239251,-0.199076056960634
aliq_mat,-1,ZWE,2007-07-31,-2612.7618452852,14,7,-0.109651237085714,-0.228456840884104,-0.0470194009077166
aliq_mat,-1,ZWE,2007-08-31,-51.5164626685,15,7,-0.0534835530785714,-0.0931844593117441,-0.0255943489622995
aliq_mat,-1,ZWE,2007-09-30,-74.9199360367,15,7,0,0,0
aliq_mat,-1,ZWE,2007-11-30,-485.60984897895,12,6,0.104732671216667,-0.0361666759638006,-0.0361666759638006
aliq_mat,-1,ZWE,2007-12-31,-39.1457927405,16,7,-0.126100374557143,0.0563230261758365,-0.0139651028179399
aliq_mat,-1,ZWE,2008-01-31,-43.2021673191,16,7,0.231485212460317,-0.108295999853833,0.118430821363091
aliq_mat,-1,ZWE,2008-02-29,-7.6302297121,15,7,0.2737750905375,0.0225225713869732,0.0499620712849966
aliq_mat,-1,ZWE,2008-03-31,-11.33723116515,16,8,0.1933365868125,-0.0784084144909031,0.0916219926220061
aliq_mat,-1,ZWE,2008-04-30,-7.78796408615,16,8,0,2.22044604925031e-16,0
aliq_mat,-1,ZWE,2008-05-31,-3.6634954726,17,8,0.182930983323611,0.14128980288543,0.182930983323611
aliq_mat,-1,ZWE,2008-06-30,-0.9915368365,17,8,0.224730470868056,0.0766986558257932,0.224730470868055
aliq_mat,-1,ZWE,2008-07-31,-0.1871525955,17,8,0,0,-1.11022302462516e-16
aliq_mat,-1,ZWE,2008-08-31,-1.0818502688,16,5,0.0273479336418182,-0.438371039021718,-0.438371039021718
aliq_mat,-1,ZWE,2008-09-30,-1.0371090969,16,5,0,0,0
